answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
20324;social;post;"i need to submit a complaint";"i need to submit a complaint";"I need to submit a complaint."
17350;social;post;"open [media_type : twitter] type my complaint and post to [business_name : @consumer service]";"open twitter type my complaint and post to @consumer service";"Open twitter type my complaint and post to @consumer service"
18591;social;post;"[media_type : tweet] [business_name : consumer service] that the quantity is wrong";"tweet consumer service that the quantity is wrong";"Tweet consumer service that the quantity is wrong."
21789;social;post;"send a [media_type : tweet] to [business_name : kroger] about being overcharged for groceries";"send a tweet to kroger about being overcharged for groceries";"send a tweet to kroger about being overcharged for groceries"
26388;social;post;"send [media_type : twitter] to [business_name : mattel] that they need to stop making toys in china";"send twitter to mattel that they need to stop making toys in china";"Send twitter to mattel that they need to stop making toys in china."
23742;social;post;"post a [media_type : tweet] as follows very bad follow up by abc company not satisfied in my account";"post a tweet as follows very bad follow up by abc company not satisfied in my account";"Post a tweet as follows' very bad follow up by abc company. Not satisfied' in my account"
26315;social;post;"it would be nice if you post status for me";"it would be nice if you post status for me";"It would be nice if you post status for me."
22055;social;post;"send a [media_type : tweet] to [business_name : kroger] about spoiled milk";"send a tweet to kroger about spoiled milk";"send a tweet to kroger about spoiled milk"
18166;social;post;"bring up [media_type : twitter] to target customer service";"bring up twitter to target customer service";"Bring up Twitter to Target Customer Service."
22848;social;post;"tell company their service is bad";"tell company their service is bad";"Tell company their service is bad"
27332;social;post;"please send a complaint to [business_name : someone]";"please send a complaint to someone";"PDA please send a complaint tot someone"
19015;social;post;"tell [business_name : comcast] their customer service is slow";"tell comcast their customer service is slow";"tell comcast their customer service is slow"
26149;social;post;"[media_type : tweet] [business_name : consumer service] that i am very disappointed with my recent interaction";"tweet consumer service that i am very disappointed with my recent interaction";"Tweet consumer service that I am very disappointed with my recent interaction."
27407;social;post;"write a [media_type : tweet] to this company";"write a tweet to this company";"PDA, write a tweet to this company."
26512;social;post;"post complaint about service a";"post complaint about service a";"post complaint about servcie A"
19350;social;post;"let [business_name : national grid] know the power is out again";"let national grid know the power is out again";"Let national grid know the power is out again."
25364;social;post;"[business_name : @nikesupport] i need some assistance regarding some shoes i bought last week";"@nikesupport i need some assistance regarding some shoes i bought last week";"@NikeSupport I need some assistance regarding some shoes I bought last week."
25960;social;post;"hello my item which i bought from some one has gone out of order";"hello my item which i bought from some one has gone out of order";"hello my item which i bought from some one has gone out of order."
8275;social;post;"please post so bored to [media_type : facebook]";"please post so bored to facebook";"Please post so bored to facebook"
