answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9064;recommendation;movies;"how is the new movie [movie_name : swat]";"how is the new movie swat";"Olly how is the new movie SWAT"
19062;recommendation;movies;"what time does [movie_name : thor] start";"what time does thor start";"What time does *** start?"
10202;recommendation;movies;"[movie_name : logan]";"logan";"Logan"
22579;recommendation;movies;"what movies are playing at [business_name : carmike cinemas]";"what movies are playing at carmike cinemas";"Olly, what movies are playing at Carmike Cinemas?"
17930;recommendation;movies;"give me a movie for [timeofday : tonight]";"give me a movie for tonight";"Olly, give me a movie for tonight?"
16483;recommendation;movies;"what movies are playing near me";"what movies are playing near me";"Olly what movies are playing near me?"
13052;recommendation;movies;"recommend a movie playing in me area";"recommend a movie playing in me area";"Recommend a movie playing in my area."
2400;recommendation;movies;"recommend a [event_name : movie] with [movie_type : justin bieber]";"recommend a movie with justin bieber";"Recommend a movie with Justin Bieber."
17745;recommendation;movies;"what is a good movie to see right now";"what is a good movie to see right now";"What is a good movie to see right now"
17738;recommendation;movies;"recommend a [movie_type : romantic comedy] in me area";"recommend a romantic comedy in me area";"Olly, recommend a romantic comedy in my area"
