answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16403;iot;hue_lightup;"light up";"light up";"light up"
1863;iot;hue_lightup;"lighten the light";"lighten the light";"Lighten the light"
14532;iot;hue_lightup;"i need the lights in here to be turned up to [time : seven]";"i need the lights in here to be turned up to seven";"I need the lights in here to be turned up to 7."
1943;iot;hue_lightup;"increase brightness [change_amount : by twenty percent]";"increase brightness by twenty percent";"increase brightness by 20 percent"
5801;iot;hue_lightup;"increase the light in the [house_place : room]";"increase the light in the room";"Increase the light in the room"
8203;iot;hue_lightup;"can you turn up the lights";"can you turn up the lights";"Can you turn up the lights?"
13682;iot;hue_lightup;"i would like all the lights on when i enter";"i would like all the lights on when i enter";"I would like all the lights on when I enter."
22731;iot;hue_lightup;"please arrange to make [device_type : all lights] to show brighter";"please arrange to make all lights to show brighter";"please arrange to make all lights to show  brighter"
15067;iot;hue_lightup;"brighten [house_place : living room] lights";"brighten living room lights";"Brighten living room lights"
12231;iot;hue_lightup;"raise all the lights on";"raise all the lights on";"raise all the lights on"
14128;iot;hue_lightup;"raise the lights";"raise the lights";"raise the lights"
7858;iot;hue_lightup;"brighten the light [change_amount : at seventy percent]";"brighten the light at seventy percent";"BRIGTEN THE LIGHT AT 70 PERCENT"
9639;iot;hue_lightup;"increase";"increase";"Increase the light level."
7275;iot;hue_lightup;"brighten the lights";"brighten the lights";"brighten the lights"
