answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
19732;music;likeness;"save this song in my favorites";"save this song in my favorites";"Save this song in my favorites."
12412;music;likeness;"please rate this song five stars please";"please rate this song five stars please";"Please rate this song <insert rating here>"
16543;music;likeness;"i like [music_genre : alt rock] music";"i like alt rock music";"I like alt rock music."
7767;music;likeness;"add song to [playlist_name : running] list";"add song to running list";"Add song to running list"
10814;music;likeness;"i like to be it";"i like to be it";"i like to be it"
10392;music;likeness;"add this channel to [app_name : pandora]";"add this channel to pandora";"PDA: Add this channel to Pandora"
14945;music;likeness;"this song should be on my playlist";"this song should be on my playlist";"This song should be on my playlist"
731;music;likeness;"i like it";"i like it";"I like it"
14133;music;likeness;"add this song to favorites playlist";"add this song to favorites playlist";"Add this song to favorites playlist."
5006;music;likeness;"i favorite singer is [artist_name : arijit singh] find his voice on radio";"i favorite singer is arijit singh find his voice on radio";"I FAVORITE SINGER IS ARIJIT SINGH, FIND HIS VOICE ON RADIO."
18253;music;likeness;"i really enjoy this song";"i really enjoy this song";"I really enjoy this song"
14823;music;likeness;"i'd like you to remember that i like this song";"i'd like you to remember that i like this song";"I'd like you to remember that I like this song."
18846;music;likeness;"what is in my favorites music folder";"what is in my favorites music folder";"What is in my favorites music folder?"
11524;music;likeness;"please save the current song to favorites";"please save the current song to favorites";"Alexa, please save the current song to favorites."
4468;music;likeness;"all i ever want to hear is [music_genre : rap]";"all i ever want to hear is rap";"All I ever want to hear is rap."
598;music;likeness;"the song you are playing is amazing";"the song you are playing is amazing";"The song you are playing is amazing"
12413;music;likeness;"please thumbs up this song";"please thumbs up this song";"Please thumbs up this song"
16632;music;likeness;"remember that this song is good but too slow to exercise to";"remember that this song is good but too slow to exercise to";"Remember that this song is good, but too slow to exercise to."
21976;music;likeness;"save my last playlist";"save my last playlist";"Save my last playlist"
21081;music;likeness;"save this song in my great songs category";"save this song in my great songs category";"save this song in my great songs category"
5201;music;likeness;"i love the songs of [artist_name : micheal jackson] can you save some songs of jackson for me";"i love the songs of micheal jackson can you save some songs of jackson for me";"I love the songs of micheal Jackson, can you save some songs of jackson for me"
6087;music;likeness;"i love that song who sings it";"i love that song who sings it";"I love that song. Who sings it?"
3759;music;likeness;"make this my favorite";"make this my favorite";"make this my favorite"
25386;music;likeness;"I love the eternal voice of the singer she is my favourite";"I love the eternal voice of the singer she is my favourite";"I love the eternal voice of the singer, she is my favourite"
5218;music;likeness;"i like a song sing by [artist_name : arijit singh]";"i like a song sing by arijit singh";"I LIKE A SONG SING BY ARIJIT SINGH."
22944;music;likeness;"the song touches my heart";"the song touches my heart";"the song touches my heart"
5202;music;likeness;"i like the songs of [artist_name : yeshudas] please play it";"i like the songs of yeshudas please play it";"I like the songs of Yeshudas please play it."
736;music;likeness;"i like this song";"i like this song";"I like this song."
8129;music;likeness;"save the information which is provided by [artist_name : aman] on this song";"save the information which is provided by aman on this song";"save the information which is provided by aman on this song."
22943;music;likeness;"the song makes me remember certain memories";"the song makes me remember certain memories";"the song makes me remember certain memories"
10813;music;likeness;"i have to done it on the post important music file";"i have to done it on the post important music file";"i have to done it on the post important music file"
22942;music;likeness;"the song in background is cool";"the song in background is cool";"the song in background is cool"
12414;music;likeness;"please save my rating on this song it is five stars please";"please save my rating on this song it is five stars please";"Please save my rating on this song.. it is <insert rating here>"
8128;music;likeness;"record the opinion of each individual about this song";"record the opinion of each individual about this song";"record the opinion of each individual about this song."
6403;music;likeness;"please save my opinion about the song that is currently playing";"please save my opinion about the song that is currently playing";"Please save my opinion about the song that is currently playing."
13437;music;likeness;"this song is too good";"this song is too good";"this song is too good"
10610;music;likeness;"this song is my favourite";"this song is my favourite";"This song is my favourite"
12655;music;likeness;"i'm into music";"i'm into music";"PDA, I'm into 80's music."
10390;music;likeness;"save this channel on [app_name : pandora] please";"save this channel on pandora please";"PDA: Save this channel on Pandora please"
7624;music;likeness;"my favorite singer is [artist_name : shakira]";"my favorite singer is shakira";"My favorite singer is shakira"
21414;music;likeness;"add this song to my music";"add this song to my music";"Add this song to my music"
12215;music;likeness;"give five stars to this song";"give five stars to this song";"Give five stars to this song!"
5200;music;likeness;"i like [artist_name : justin beibers] music please play it";"i like justin beibers music please play it";"I like Justin Beibers music, please play it"
7765;music;likeness;"add that song to my top ten favorites list";"add that song to my top ten favorites list";"Add that song to my Top 10 favorites list"
20154;music;likeness;"[music_genre : slow rock] it's ok";"slow rock it's ok";"slow rock it's ok"
729;music;likeness;"that's a good song";"that's a good song";"That's a good song"
9629;music;likeness;"isn't it a lovely song please save this for me";"isn't it a lovely song please save this for me";"Isn't it a lovely song? please save this for me."
8421;music;likeness;"put that song in my favourite list";"put that song in my favourite list";"put that song in my favourite list"
589;music;likeness;"my favourite music band is [artist_name : queen]";"my favourite music band is queen";"My favourite music band is Queen"
732;music;likeness;"i like [music_genre : jazz]";"i like jazz";"I like Jazz"
4142;music;likeness;"please save this song to my favorites";"please save this song to my favorites";"Please save this song to my favorites"
12090;music;likeness;"super song";"super song";"Super song!"
735;music;likeness;"this song was very good";"this song was very good";"This song was very good!"
7089;music;likeness;"this is my favorite song";"this is my favorite song";"This is my favorite song."
16377;music;likeness;"i like [music_genre : classic rock]";"i like classic rock";"I like classic rock"
22832;music;likeness;"favorite this music";"favorite this music";"Favorite this music"
20911;music;likeness;"i like this song that is playing";"i like this song that is playing";"I like this song that is playing"
12838;music;likeness;"save this music to my favorites";"save this music to my favorites";"Save this music to my favorites."
2113;music;likeness;"can save this music in my playlist";"can save this music in my playlist";"Can save this music in my playlist?"
27007;music;likeness;"save opinion on song";"save opinion on song";"save opinion on song"
16630;music;likeness;"rate this song five stars and save the rating";"rate this song five stars and save the rating";"Rate this song five stars and save the rating."
4204;music;likeness;"save information about [song_name : love] of [artist_name : beyonc]";"save information about love of beyonc";"Save information about love of BeyoncΓö£┬«"
16329;music;likeness;"[player_setting : replay] this song i really like it";"replay this song i really like it";"Replay this song, I really like it."
14007;music;likeness;"please keep everything i have on this song";"please keep everything i have on this song";"Please keepo everything I have on this song."
15351;music;likeness;"nice music";"nice music";"Nice music"
14735;music;likeness;"i like music from when i was a teenager in the";"i like music from when i was a teenager in the";"I like music from when I was a teenager in the 80's."
7132;music;likeness;"save [song_name : chhana mereya] song in my playlist";"save chhana mereya song in my playlist";"Save chhana mereya song in my playlist"
14338;music;likeness;"please rate current song as five stars";"please rate current song as five stars";"Please rate current song as five stars."
20152;music;likeness;"i like [music_genre : r n b]";"i like r n b";"i like R n B"
6085;music;likeness;"add that song to my playlist";"add that song to my playlist";"Add that song to my playlist."
19502;music;likeness;"save my opinion on [artist_name : adele's] song";"save my opinion on adele's song";"Save my opinion on Adele's song."
9252;music;likeness;"i am the living [music_genre : blues]";"i am the living blues";"PDA I am the living blues."
7781;music;likeness;"that song was awesome can you repeat";"that song was awesome can you repeat";"That song was awesome, can you repeat?"
19501;music;likeness;"save the opinion that i just posted to this song";"save the opinion that i just posted to this song";"Save the opinion that I just posted to this song."
15349;music;likeness;"this is a nice song";"this is a nice song";"This is a nice song."
11969;music;likeness;"save this song as a favorite";"save this song as a favorite";"Save this song as a favorite"
14822;music;likeness;"save this songs genre for me";"save this songs genre for me";"Save this songs genre for me."
14946;music;likeness;"add this song to my catalogue";"add this song to my catalogue";"Add this song to my catalogue"
22833;music;likeness;"remember this music";"remember this music";"Remember this music"
599;music;likeness;"this is one of the best songs for me";"this is one of the best songs for me";"This is one of the best songs for me"
17386;music;likeness;"save my song preferences on playlist";"save my song preferences on playlist";"Save my song preferences on playlist"
17387;music;likeness;"compile favorites list according to my song feedback";"compile favorites list according to my song feedback";"Compile favorites list according to my song feedback"
2609;music;likeness;"its peaceful";"its peaceful";"its peaceful"
14734;music;likeness;"i enjoy music";"i enjoy music";"I enjoy 80's music."
21298;music;likeness;"i like [music_descriptor : top twenty] music";"i like top twenty music";"I like top 20 music."
4303;music;likeness;"i really ska music";"i really ska music";"I really ska music."
4886;music;likeness;"this song is amazing is not it";"this song is amazing is not it";"THIS SONG IS AMAZING, IS NOT IT ?"
11525;music;likeness;"save this song as my favorite";"save this song as my favorite";"Alexa, save this song as my favorite."
12089;music;likeness;"this is a five star song";"this is a five star song";"This is a five star song!"
19942;music;likeness;"yes i like to save opinion on song playing and which player support that song";"yes i like to save opinion on song playing and which player support that song";"yes, I Like to save opinion on song playing and which player suppoert that song."
10611;music;likeness;"i want to listen [general_frequency : daily] to this song";"i want to listen daily to this song";"I want to listen daily to this song"
14724;music;likeness;"this is a good tune please notate file accordingly";"this is a good tune please notate file accordingly";"This is a good tune, please notate file accordingly."
11534;music;likeness;"i love [music_genre : hip hop]";"i love hip hop";"PDA I love hip-hop"
3758;music;likeness;"please save this song";"please save this song";"please save this song"
14722;music;likeness;"please note on song title good tune";"please note on song title good tune";"Please note on song title, good tune."
3157;music;likeness;"save my music preferences";"save my music preferences";"Save my music preferences"
17710;music;likeness;"hey i like music by [artist_name : sigur ros]";"hey i like music by sigur ros";"Hey Olly I like music by Sigur Ros"
13943;music;likeness;"you have to check out [artist_name : kfi] he's the best";"you have to check out kfi he's the best";"Olly you have to check out Kfix he's the best"
4305;music;likeness;"i find [music_genre : rap] music really enjoyable";"i find rap music really enjoyable";"I find rap music really enjoyable."
10391;music;likeness;"add this song to my playlist";"add this song to my playlist";"PDA: Add this song to my playlist"
11439;music;likeness;"i like this song what is it can you please repeat it once";"i like this song what is it can you please repeat it once";"I like this song, what is it? Can you please repeat it once?"
14339;music;likeness;"note current song as awesome please";"note current song as awesome please";"Note current song as awesome please."
8557;music;likeness;"i love anything by [artist_name : elton john]";"i love anything by elton john";"I love anything by Elton John."
9251;music;likeness;"i am forever [music_genre : hip hop]";"i am forever hip hop";"PDA I am forever hip hop."
7828;music;likeness;"save that song and my opinion";"save that song and my opinion";"save that song and my opinion"
9095;music;likeness;"send this song to my favorites";"send this song to my favorites";"Send this song to my favorites"
2114;music;likeness;"how about you save this music";"how about you save this music";"How about you save this music?"
5679;music;likeness;"please save that song";"please save that song";"please save that song"
597;music;likeness;"i'm really enjoying this song";"i'm really enjoying this song";"Olly, I'm really enjoying this song"
4315;music;likeness;"save all songs from [artist_name : katy perry]";"save all songs from katy perry";"Save all songs from Katy perry"
7088;music;likeness;"this is a good song put it on [player_setting : repeat]";"this is a good song put it on repeat";"This is a good song. Put it on repeat."
3793;music;likeness;"i like the [music_descriptor : background] song";"i like the background song";"I like the background song"
7230;music;likeness;"i love the song do you";"i love the song do you";"I love the song, do you?"
15065;music;likeness;"isn't [artist_name : keith urban] wonderful";"isn't keith urban wonderful";"Isn't Keith Urban wonderful"
9250;music;likeness;"i love to [music_genre : rock] out with my sock out";"i love to rock out with my sock out";"PDA I love to rock out with my sock out."
6405;music;likeness;"save my opinion on the currently playing song";"save my opinion on the currently playing song";"Save my opinion on the currently playing song."
11533;music;likeness;"i like [music_genre : electronic] music";"i like electronic music";"PDA I like electronic music"
9034;music;likeness;"save my spotify preferences";"save my spotify preferences";"Save my spotify preferences"
11759;music;likeness;"i love this song";"i love this song";"i love this song"
4470;music;likeness;"my favorite music is [music_genre : rock] from the [date : early two thousands]";"my favorite music is rock from the early two thousands";"My favorite music is rock from the early two thousands."
9035;music;likeness;"save the last radio stations of the [date : last month]";"save the last radio stations of the last month";"Save the last radio stations of the last month"
21412;music;likeness;"save this song to playlist";"save this song to playlist";"Save this song to playlist"
7766;music;likeness;"great song for the commute";"great song for the commute";"Great song for the commute"
21080;music;likeness;"add my opinion to this song great";"add my opinion to this song great";"add my opinion to this song: great"
2866;music;likeness;"rate this song to the maximum";"rate this song to the maximum";"Rate this song to the maximum."
21079;music;likeness;"tag this song with five stars";"tag this song with five stars";"Tag this song with 5 stars"
21977;music;likeness;"remember [artist_name : metallica] selections for next time";"remember metallica selections for next time";"Remember Metallica selections for next time"
10574;music;likeness;"make a note please i like [music_genre : modern alternative rock] music";"make a note please i like modern alternative rock music";"Make a note, please: I like modern alternative rock music"
