answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
19557;general;joke;"are you aware this joke";"are you aware this joke";"Are you aware this joke."
27195;general;joke;"find [joke_type : funny] jokes";"find funny jokes";"Find funny jokes"
25813;general;joke;"let me laugh hearing some [joke_type : good] joke";"let me laugh hearing some good joke";"Let me laugh hearing some good joke"
8057;general;joke;"[joke_type : funny] joke";"funny joke";"Funny joke"
6319;general;joke;"tell me a good [joke_type : doctor] joke";"tell me a good doctor joke";"Tell me a good doctor joke."
18462;general;joke;"what is your [joke_type : best] joke";"what is your best joke";"What is your best joke"
13256;general;joke;"[joke_type : funny] story";"funny story";"funny story"
25814;general;joke;"tell me some [joke_type : funny] joke to laugh";"tell me some funny joke to laugh";"Tell me some funny joke to laugh"
19304;general;joke;"[joke_type : sarcastic] jokes";"sarcastic jokes";"Sarcastic jokes"
11873;general;joke;"let me hear a joke";"let me hear a joke";"Let me hear a joke"
12708;general;joke;"knock knock";"knock knock";"Knock, knock."
11874;general;joke;"say a joke";"say a joke";"Say a joke"
