answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
21900;email;query;"what is the last email i received";"what is the last email i received";"What is the last email I received?"
10570;email;query;"refresh the [email_folder : inbox] and update about any unread mails";"refresh the inbox and update about any unread mails";"Refresh the inbox and update about any unread mails"
23654;email;query;"check [email_folder : inbox] for mail from [person : sarah]";"check inbox for mail from sarah";"check inbox for mail from X"
14635;email;query;"any recent emails";"any recent emails";"any recent emails olly"
13649;email;query;"have i gotten any emails from [relation : mom] lately";"have i gotten any emails from mom lately";"Olly have i gotten any emails from mom lately?"
4805;email;query;"tell me when i get new emails from [person : principal lowry]";"tell me when i get new emails from principal lowry";"Tell me when I get new emails from Principal Lowry."
20083;email;query;"are there any unread messages in my [email_folder : inbox]";"are there any unread messages in my inbox";"Are there any unread messages in my inbox?"
9788;email;query;"what did the [business_name : clinic] say about my exams";"what did the clinic say about my exams";"What did the clinic say about my exams"
3434;email;query;"are there any unread emails from [person : patrick]";"are there any unread emails from patrick";"Are there any unread emails from Patrick?"
3451;email;query;"list new emails";"list new emails";"list new emails"
19045;email;query;"have i gotten any new emails from [person : mary]";"have i gotten any new emails from mary";"PDA, have I gotten any new emails from ****?"
26565;email;query;"did [person : bert] write me [date : today]";"did bert write me today";"Did Bert write me today?"
27315;email;query;"please check recent emails from new contact";"please check recent emails from new contact";"PDA please check recent emails from new contact"
3009;email;query;"please check if there is a new email on the [email_folder : inbox]";"please check if there is a new email on the inbox";"please check if there is a new email on the inbox"
18045;email;query;"have i received any emails since [timeofday : noon]";"have i received any emails since noon";"Have I received any emails since noon?"
26865;email;query;"read new messages from my [relation : wife]";"read new messages from my wife";"read new messages from my wife"
8143;email;query;"check if there any new email";"check if there any new email";"check if there any new email."
650;email;query;"what new emails do i have form [person : amie]";"what new emails do i have form amie";"what new emails do I have form Amie."
9787;email;query;"tell me who send the email about the boss [date : yesterday]";"tell me who send the email about the boss yesterday";"Tell me who send the email about the boss yesterday"
3359;email;query;"check all the new them emails and mark them star";"check all the new them emails and mark them star";"Check all the new them wmails and mark them star"
9983;email;query;"can you check to see if i have any recent email alerts";"can you check to see if i have any recent email alerts";"Can you check to see if I have any recent email alerts?"
18414;email;query;"tell me my latest email";"tell me my latest email";"Tell me my latest email"
8199;email;query;"what is the email i got from my [relation : girlfriend]";"what is the email i got from my girlfriend";"what is the emai i got from my girlfriend."
5258;email;query;"when did [person : dave matthews] email me about the contract";"when did dave matthews email me about the contract";"When did dave matthews email me about the contract?"
16934;email;query;"look at my email";"look at my email";"Look at my email"
17824;email;query;"have i received any mail in the [time : last hour]";"have i received any mail in the last hour";"have I received any mail in the last hour"
3253;email;query;"do i have any new emails from my [relation : dad]";"do i have any new emails from my dad";"Do I have any new emails from...?"
15192;email;query;"what was the name of my last email";"what was the name of my last email";"What was the name of my last email"
17447;email;query;"compile information on the data breach";"compile information on the data breach";"Compile information on the data breach"
1295;email;query;"tell me about new emails";"tell me about new emails";"Tell me about new emails."
18489;email;query;"check for all emails from [person : tom brady]";"check for all emails from tom brady";"Check for all emails from Tom Brady"
5432;email;query;"update my [email_folder : inbox] please";"update my inbox please";"Update my Inbox please"
14844;email;query;"how many emails do i have from work [date : today]";"how many emails do i have from work today";"How many emails do I have from work today?"
9423;email;query;"how many emails have i got since [date : yesterday]";"how many emails have i got since yesterday";"how many emails have i got since yesterday"
6347;email;query;"any new emails after [time : five pm]";"any new emails after five pm";"Any new emails after 5 pm?"
21282;email;query;"is there anything new in my email folder";"is there anything new in my email folder";"Is there anything new in my email folder?"
18852;email;query;"did [person : paul] email me recently";"did paul email me recently";"Did Paul email me recently?"
10169;email;query;"do i have any new emails from [person : sarah]";"do i have any new emails from sarah";"Do I have any new emails from Sarah?"
14152;email;query;"read email";"read email";"read email"
13650;email;query;"please check if i got any emails from [relation : mom]";"please check if i got any emails from mom";"Olly please check if i got any emails from mom"
24768;email;query;"do i have any new entries in my [email_folder : inbox]";"do i have any new entries in my inbox";"Do I have any new entries in my inbox?"
26785;email;query;"check mails";"check mails";"check mails"
24771;email;query;"how is my [email_folder : inbox] looking at the moment";"how is my inbox looking at the moment";"How is my inbox looking at the moment?"
19011;email;query;"[person : jane doe] emails";"jane doe emails";"jane doe emails"
25;email;query;"read me the last email from [person : stefan] and oil change";"read me the last email from stefan and oil change";"Read me the last email from Stefan and oil change"
11804;email;query;"all new mail";"all new mail";"Olly, all new mail"
10383;email;query;"inform me of my new emails";"inform me of my new emails";"Inform me of my new emails"
3406;email;query;"check emails for [time : last hour]";"check emails for last hour";"Check emails for last hour"
13396;email;query;"show me my emails from the [time : past hour]";"show me my emails from the past hour";"Show me my emails from the past hour."
20246;email;query;"please check my gmail for new mail";"please check my gmail for new mail";"Please check my Gmail for new mail"
9439;email;query;"scan my [email_folder : inbox] for any new emails from [person : robert]";"scan my inbox for any new emails from robert";"Scan my inbox for any new emails from Robert."
10337;email;query;"did [person : linda connors] reply to any of my emails this [timeofday : morning]";"did linda connors reply to any of my emails this morning";"Did Linda Connors reply to any of my emails this morning?"
12709;email;query;"how many emails [date : today]";"how many emails today";"How many e-mails today?"
16666;email;query;"did [person : mike] send me an email";"did mike send me an email";"did Mike send me an email"
6000;email;query;"have i gotten any new emails";"have i gotten any new emails";"Have I gotten any new emails?"
21400;email;query;"check email for otp sent by my bank";"check email for otp sent by my bank";"Check email for OTP sent by my bank."
1926;email;query;"did i get any replies from [person : jan]";"did i get any replies from jan";"did I get any replies from Jan?"
18298;email;query;"please alert me when [person : john] emails me";"please alert me when john emails me";"Please alert me when John emails me"
15684;email;query;"what are my new contact emails";"what are my new contact emails";"What are my new contact emails?"
13819;email;query;"check my email";"check my email";"Olly, check my email."
25848;email;query;"please archive my read messages";"please archive my read messages";"PDA, please archive my read messages."
27400;email;query;"do i have new emails from [person : john]";"do i have new emails from john";"Do I have new emails from John"
14316;email;query;"can you please read the my [relation : mom] sent this [timeofday : morning] at [time : ten am]";"can you please read the my mom sent this morning at ten am";"Can you please read the my Mom sent this morning at 10am"
6256;email;query;"show unread new emails";"show unread new emails";"Olly show unread new emails."
1270;email;query;"is there any new email";"is there any new email";"Is there any new email?"
15388;email;query;"Has [person : john] sent me any new emails";"Has john sent me any new emails";"Has (sender) sent me any new emails?"
10656;email;query;"has [person : tom] emailed me about ammunition";"has tom emailed me about ammunition";"Has Tom emailed me about ammunition?"
11157;email;query;"can you see if [person : john] has replied to my email yet";"can you see if john has replied to my email yet";"Can you see if John has replied to my email yet?"
22871;email;query;"what is my recent email activity";"what is my recent email activity";"what is my recent email activity?"
17853;email;query;"can you tell me my recent emails";"can you tell me my recent emails";"Can you tell me my recent emails?"
27314;email;query;"check someone's recent emails";"check someone's recent emails";"PDA check someones recent emails"
16290;email;query;"what is my email from [person : steve] about";"what is my email from steve about";"What is my email from Steve about?"
10811;email;query;"how many new emails since i last checked";"how many new emails since i last checked";"How many new emails since I last checked?"
1294;email;query;"update me on my emails";"update me on my emails";"Update me on my emails."
24258;email;query;"please tell me how many emails i have";"please tell me how many emails i have";"Please tell me how many emails I have."
15261;email;query;"did [person : dan] send me any emails";"did dan send me any emails";"Did Dan send me any emails?"
22872;email;query;"check all new emails in my [email_folder : inbox]";"check all new emails in my inbox";"check all new emails in my inbox"
6300;email;query;"any incoming emails in the [time : last five minutes]";"any incoming emails in the last five minutes";"Any incoming emails in the last five minutes?"
23656;email;query;"read me new emails";"read me new emails";"Read me new emails"
9587;email;query;"any new emails for me";"any new emails for me";"Any new emails for me?"
10704;email;query;"what is the email sent by this contact read";"what is the email sent by this contact read";"What is the email sent by this contact read"
11116;email;query;"hey do i have any emails from [person : bob] about the bulldog";"hey do i have any emails from bob about the bulldog";"hey olly. do i have any emails from Bob about the bulldog?"
12850;email;query;"did my [relation : mom] send me an email";"did my mom send me an email";"Did my mom send me an email?"
4578;email;query;"read me new messages from name";"read me new messages from name";"read me new messages from NAME"
18198;email;query;"do i have a new email from [person : eric]";"do i have a new email from eric";"Do I have a new email from Eric?"
25844;email;query;"any important notifications";"any important notifications";"any important notifications."
12777;email;query;"check email client";"check email client";"Check e-mail client"
6478;email;query;"please check email from my [relation : boss]";"please check email from my boss";"Please check email from my boss"
6348;email;query;"let me know of any incoming emails for the [time : last hour] please";"let me know of any incoming emails for the last hour please";"Let me know of any incoming emails for the last hour please."
19908;email;query;"have i received any emails from [relation : my father]";"have i received any emails from my father";"Echo, have I received any emails from my father?"
26787;email;query;"new messages";"new messages";"new messages"
13481;email;query;"what is the latest email from [person : zita]";"what is the latest email from zita";"what is the latest email from xxx"
10978;email;query;"are there any new emails from [person : robert jones]";"are there any new emails from robert jones";"are there any new emails from Robert Jones?"
3101;email;query;"is there any new mail for me";"is there any new mail for me";"is there any new mail for me"
18300;email;query;"beep when i get an email from [person : john]";"beep when i get an email from john";"Beep when I get an email from John"
3433;email;query;"do i have any emails from [person : katherine]";"do i have any emails from katherine";"Do I have any emails from Katherine?"
18487;email;query;"did i get an email from [person : sarah]";"did i get an email from sarah";"Did I get an email from Sarah?"
6257;email;query;"display latest emails";"display latest emails";"display latest emails, Olly"
3008;email;query;"please read the last email for me";"please read the last email for me";"please read the last email for me"
23860;email;query;"are there any new emails in outlook";"are there any new emails in outlook";"Are there any new emails in outlook?"
1278;email;query;"do i have any new email";"do i have any new email";"Do I have any new email?"
16321;email;query;"please check new email from [person : andy]";"please check new email from andy";"Olly, please check new email from Andy"
15852;email;query;"did [person : trey] sand any messages";"did trey sand any messages";"did trey sand any messages?"
15190;email;query;"who was the last person to email me";"who was the last person to email me";"Who was the last person to email me ?"
17677;email;query;"hey read any email to me";"hey read any email to me";"Hey olly read any new email to me"
9283;email;query;"do i have any mail";"do i have any mail";"Do I have any mail"
5391;email;query;"are there any recent emails from [person : rohit]";"are there any recent emails from rohit";"are there any recent emails from rohit?"
21502;email;query;"please check all new email of [business_name : income tax department]";"please check all new email of income tax department";"Please Check all new email of Income Tax Department."
3668;email;query;"find my email for date";"find my email for date";"Find my email for.. date"
4429;email;query;"did you receive this person email";"did you receive this person email";"did you receive this person email?"
10655;email;query;"did i email [person : tom] on the subject of gun control";"did i email tom on the subject of gun control";"Did I email Tom on the subject of gun control?"
14406;email;query;"have i received any emails about [person : jared's] [event_name : birthday]";"have i received any emails about jared's birthday";"Have I received any emails about Jared's birthday?"
11181;email;query;"what and who was i emailed about [date : last week]";"what and who was i emailed about last week";"What and who was I emailed about last week?"
25054;email;query;"do have any new email";"do have any new email";"PDA name: Do have any new email?"
24168;email;query;"are there any new emails received [time : after four] o'clock [date : today]";"are there any new emails received after four o'clock today";"Are there any new emails received after 4 o'clock today?"
11805;email;query;"find new email";"find new email";"Olly, find new email."
17150;email;query;"any new email since last time";"any new email since last time";"Any new mail since last time"
4860;email;query;"are there any emails i haven't read yet";"are there any emails i haven't read yet";"Are there any emails I haven't read yet?"
9913;email;query;"check for new emails";"check for new emails";"Check for new emails"
13896;email;query;"did i get an email from [person : jen] [date : last night]";"did i get an email from jen last night";"Did I get an email from Jen last night?"
9536;email;query;"did i receive any new email";"did i receive any new email";"Did I receive any new Email"
4657;email;query;"please check whether the email of [person : jancy] has come";"please check whether the email of jancy has come";"Please check whether the email of Jancy has come."
1729;email;query;"do i have any emails from [person : robert]";"do i have any emails from robert";"Olly do I have any emails from Robert"
16482;email;query;"has any mail received with an attachment";"has any mail received with an attachment";"has any mail received with an attachment ?"
14842;email;query;"check to see if my [relation : mom] sent me any emails";"check to see if my mom sent me any emails";"Check to see if my mom sent me any emails."
25479;email;query;"check any mail from [person : amazon]";"check any mail from amazon";"Check any mail from Amazon?"
15355;email;query;"have any emails come in since [time : four hundred] [date : today]";"have any emails come in since four hundred today";"Have any emails come in since 4:00 today?"
21729;email;query;"is the mail from [person : chris] about work";"is the mail from chris about work";"is the mail from chris about work?"
10855;email;query;"who's emailed me recently";"who's emailed me recently";"Who's emailed me recently?"
18299;email;query;"please send a notification when [person : john] replies";"please send a notification when john replies";"Please send a notification when John replies"
