answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
9496;lists;remove;"can you remove this item from the list";"can you remove this item from the list";"Can you remove this item from the list"
11474;lists;remove;"delete last entry";"delete last entry";"PDA delete last entry"
3610;lists;remove;"remove books from list";"remove books from list";"Remove books from list"
14414;lists;remove;"please remove my list of [list_name : favorite albums]";"please remove my list of favorite albums";"Please remove my list of favorite albums."
15052;lists;remove;"please delete what i just typed";"please delete what i just typed";"Please delete what I just typed."
1789;lists;remove;"take bread out from the [list_name : shopping] list";"take bread out from the shopping list";"take bread out from the shopping list"
12263;lists;remove;"change that off the list";"change that off the list";"Change that off the list"
8183;lists;remove;"remove the list of apps which started with letter a";"remove the list of apps which started with letter a";"Remove the list of apps which started with letter A"
13622;lists;remove;"remove this from the list";"remove this from the list";"Remove this from the list"
22311;lists;remove;"get rid of peas";"get rid of peas";"Get rid of peas"
13623;lists;remove;"remove item three from the list";"remove item three from the list";"Remove item 3 from the list."
16894;lists;remove;"take grocery buying off of the list";"take grocery buying off of the list";"Take grocery buying off of the list"
12033;lists;remove;"i don't have enough money to buy the nintendo switch right now can you please remove it on my amazon wishlist";"i don't have enough money to buy the nintendo switch right now can you please remove it on my amazon wishlist";"I don't have enough money to buy the Nintendo Switch right now, can you please remove it on my Amazon Wishlist?"
22346;lists;remove;"i want to remove apples from list";"i want to remove apples from list";"I want to remove @ from list"
7351;lists;remove;"please remove this item from the list";"please remove this item from the list";"Please remove this item from the list"
793;lists;remove;"delete item";"delete item";"Delete item"
7931;lists;remove;"remove item four";"remove item four";"Remove item 4"
5112;lists;remove;"get rid of [person : mike stein] from contacts list";"get rid of mike stein from contacts list";"Get rid of Mike Stein from Contacts list"
4018;lists;remove;"delete my [list_name : grocery] list in my notes";"delete my grocery list in my notes";"Delete my grocery list in my notes."
4410;lists;remove;"delete the [list_name : dog list] for me";"delete the dog list for me";"Delete the dog list for me"
2811;lists;remove;"delete item on list";"delete item on list";"delete item on list"
19297;lists;remove;"remove the milk from the [list_name : shopping] list";"remove the milk from the shopping list";"remove the milk from the shopping list"
14641;lists;remove;"please delete list titled [list_name : kickball]";"please delete list titled kickball";"Please delete list titled KICKBALL."
12110;lists;remove;"remove this list from the others";"remove this list from the others";"Remove this list from the others"
14516;lists;remove;"please delete the last song that played from the playlist";"please delete the last song that played from the playlist";"Please delete the last song that played from the playlist."
15821;lists;remove;"remove my [list_name : grocery] list";"remove my grocery list";"remove my grocery list"
2138;lists;remove;"take item off list";"take item off list";"take item off list"
12877;lists;remove;"please tell me how can I remove the item";"please tell me how can I remove the item";"please tell me how cani remove the item"
16905;lists;remove;"erase [list_name : shopping] list";"erase shopping list";"Erase Shopping List"
6959;lists;remove;"all food items with the prefix dry should be taken away from the list";"all food items with the prefix dry should be taken away from the list";"All food items with the prefix dry should be taken away from the list."
13071;lists;remove;"remove [list_name : soccer] list from notes";"remove soccer list from notes";"Remove Soccer list from notes"
