answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
216;general;commandstop;"i would like you just stop it.";"i would like you just stop it.";"i would like you just stop it."
114;general;commandstop;"will you please shut down.";"will you please shut down.";"will you please shut down."
253;general;commandstop;"olly that's enough, just stop it.";"olly that's enough, just stop it.";"olly that's enough, just stop it."
188;general;commandstop;"olly can you stop it.";"olly can you stop it.";"olly can you stop it."
12;general;commandstop;"olly please would you stop.";"olly please would you stop.";"olly please would you stop."
298;general;commandstop;"please shut up.";"please shut up.";"please shut up."
310;general;commandstop;"i like you cancel.";"i like you cancel.";"i like you cancel."
195;general;commandstop;"will you just stop it please.";"will you just stop it please.";"will you just stop it please."
240;general;commandstop;"would you cancel it please.";"would you cancel it please.";"would you cancel it please."
138;general;commandstop;"olly can you shut down.";"olly can you shut down.";"olly can you shut down."
269;general;commandstop;"olly that is enough, just stop it.";"olly that is enough, just stop it.";"olly that is enough, just stop it."
305;general;commandstop;"olly will you cancel please.";"olly will you cancel please.";"olly will you cancel please."
68;general;commandstop;"will you stop.";"will you stop.";"will you stop."
66;general;commandstop;"that's all, cancel it.";"that's all, cancel it.";"that's all, cancel it."
27;general;commandstop;"olly shut down please.";"olly shut down please.";"olly shut down please."
309;general;commandstop;"olly can you just stop.";"olly can you just stop.";"olly can you just stop."
244;general;commandstop;"will you cancel it.";"will you cancel it.";"will you cancel it."
263;general;commandstop;"olly please can you shut up.";"olly please can you shut up.";"olly please can you shut up."
53;general;commandstop;"olly i want you cancel.";"olly i want you cancel.";"olly i want you cancel."
283;general;commandstop;"olly please will you shut off.";"olly please will you shut off.";"olly please will you shut off."
60;general;commandstop;"olly please shut down.";"olly please shut down.";"olly please shut down."
230;general;commandstop;"olly would you please shut up.";"olly would you please shut up.";"olly would you please shut up."
155;general;commandstop;"olly please will you shut up.";"olly please will you shut up.";"olly please will you shut up."
120;general;commandstop;"will you stop please.";"will you stop please.";"will you stop please."
18;general;commandstop;"please would you cancel.";"please would you cancel.";"please would you cancel."
258;general;commandstop;"i will talk to you later on.";"i will talk to you later on.";"i will talk to you later on."
7;general;commandstop;"can you please shut up.";"can you please shut up.";"can you please shut up."
57;general;commandstop;"olly will you stop it.";"olly will you stop it.";"olly will you stop it."
274;general;commandstop;"olly please cancel.";"olly please cancel.";"olly please cancel."
34;general;commandstop;"i would talk to you later.";"i would talk to you later.";"i would talk to you later."
278;general;commandstop;"olly that would be all.";"olly that would be all.";"olly that would be all."
213;general;commandstop;"olly that is enough, cancel.";"olly that is enough, cancel.";"olly that is enough, cancel."
129;general;commandstop;"i'd like you just stop.";"i'd like you just stop.";"i'd like you just stop."
124;general;commandstop;"please will you shut off.";"please will you shut off.";"please will you shut off."
304;general;commandstop;"olly shut down.";"olly shut down.";"olly shut down."
231;general;commandstop;"cancel.";"cancel.";"cancel."
315;general;commandstop;"please can you stop it.";"please can you stop it.";"please can you stop it."
284;general;commandstop;"olly that's all, stop it.";"olly that's all, stop it.";"olly that's all, stop it."
313;general;commandstop;"i'd like you just cancel.";"i'd like you just cancel.";"i'd like you just cancel."
125;general;commandstop;"olly will you shut up please.";"olly will you shut up please.";"olly will you shut up please."
101;general;commandstop;"that's enough, stop it.";"that's enough, stop it.";"that's enough, stop it."
56;general;commandstop;"olly could you stop.";"olly could you stop.";"olly could you stop."
33;general;commandstop;"please will you shut up.";"please will you shut up.";"please will you shut up."
225;general;commandstop;"i want you just stop it.";"i want you just stop it.";"i want you just stop it."
312;general;commandstop;"would you just stop it please.";"would you just stop it please.";"would you just stop it please."
99;general;commandstop;"will you just stop please.";"will you just stop please.";"will you just stop please."
136;general;commandstop;"olly can you just stop it please.";"olly can you just stop it please.";"olly can you just stop it please."
239;general;commandstop;"will you shut down please.";"will you shut down please.";"will you shut down please."
