answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
3165;audio;volume_down;"could you please lower the tone";"could you please lower the tone";"Could you please lower the tone?"
19709;audio;volume_down;"please talk softer";"please talk softer";"Please talk softer."
4111;audio;volume_down;"lower the speak volume";"lower the speak volume";"Lower the speak volume"
3005;audio;volume_down;"it is too loud decrease the volume";"it is too loud decrease the volume";"It is too loud, decrease the volume."
2789;audio;volume_down;"Turn down volume";"Turn down volume";"turn down volume"
23482;audio;volume_down;"reduce volume";"reduce volume";"PDA, Reduce volume."
5880;audio;volume_down;"lower the volume [change_amount : to twenty]";"lower the volume to twenty";"Lower the volume to 20"
7145;audio;volume_down;"lower volume [change_amount : by fifty percent]";"lower volume by fifty percent";"Lower volume by 50%."
7406;audio;volume_down;"decrease the volume";"decrease the volume";"decrease the volume"
15749;audio;volume_down;"lower volume [change_amount : to half]";"lower volume to half";"Lower volume to half."
3201;audio;volume_down;"decrease the volume [change_amount : to ten percent]";"decrease the volume to ten percent";"Decrease the volume to 10%"
3163;audio;volume_down;"could you please lower your volume";"could you please lower your volume";"Could you please lower your volume?"
11378;audio;volume_down;"turn down the speakers";"turn down the speakers";"turn down the speakers"
5275;audio;volume_down;"please slow down volume of speaker";"please slow down volume of speaker";"PLEASE SLOW DOWN VOLUME OF SPEAKER."
10388;audio;volume_down;"start the [device_type : radio] now on low volume";"start the radio now on low volume";"Start the radio now on low volume"
671;audio;volume_down;"set the volume [change_amount : to low]";"set the volume to low";"Set the volume to low."
11325;audio;volume_down;"lessen the speaker volume";"lessen the speaker volume";"Lesson the speaker volume"
19919;audio;volume_down;"please speak quieter to me";"please speak quieter to me";"Please speak quieter to me"
15303;audio;volume_down;"can you turn that down";"can you turn that down";"Can you turn that down"
13378;audio;volume_down;"please reduce the sound";"please reduce the sound";"pls reducw the sound"
14277;audio;volume_down;"slow the volume speaker";"slow the volume speaker";"Slow the volume speaker"
1763;audio;volume_down;"you're too loud";"you're too loud";"You're too loud"
12078;audio;volume_down;"talk quieter please";"talk quieter please";"Talk quieter please."
8930;audio;volume_down;"down the volume";"down the volume";"Down the valume"
2002;audio;volume_down;"quieter";"quieter";"quieter"
6786;audio;volume_down;"no no turn it down";"no no turn it down";"No, no, turn it down!"
23377;audio;volume_down;"please change the volume low of the speakers";"please change the volume low of the speakers";"Please change the volume low of the speakers."
16771;audio;volume_down;"lower volume of [device_type : music player]";"lower volume of music player";"Lower volume of music player"
6784;audio;volume_down;"please turn the volume down";"please turn the volume down";"PLEASE turn the volume down."
8040;audio;volume_down;"lower volume";"lower volume";"Lower volume"
25110;audio;volume_down;"decrease [change_amount : twenty percent]";"decrease twenty percent";"Decrease, 20%"
3905;audio;volume_down;"it's really loud can you please turn the music down";"it's really loud can you please turn the music down";"It's really loud, can you please turn the music down?"
6038;audio;volume_down;"decrease the volume [change_amount : to ten]";"decrease the volume to ten";"decrease the volume to 10"
null;audio;volume_down;"turn down the sound";"turn down the sound";"null"
7751;audio;volume_down;"down";"down";"down"
13065;audio;volume_down;"please lower music volume";"please lower music volume";"Please lower music volume"
16851;audio;volume_down;"turn down the volume";"turn down the volume";"Turn down the volume"
14077;audio;volume_down;"please lower the speaker volume";"please lower the speaker volume";"Please lower the speaker volume."
18065;audio;volume_down;"decrease speaker volume";"decrease speaker volume";"decrease speaker volumne alexa"
5276;audio;volume_down;"i want to slow down my speaker";"i want to slow down my speaker";"I WANT TO SLOW DOWN MY SPEAKER."
10739;audio;volume_down;"turn down volume [change_amount : twenty percent]";"turn down volume twenty percent";"Turn down volume twenty percent!"
24579;audio;volume_down;"too loud";"too loud";"too loud"
11324;audio;volume_down;"turn_down speakers";"turn_down speakers";"Turn down speakers"
4244;audio;volume_down;"your volume is too high please repeat that lower";"your volume is too high please repeat that lower";"Your volume is too high, please repeat that lower."
null;audio;volume_down;"speak quieter";"speak quieter";"null"
13100;audio;volume_down;"speak softer please";"speak softer please";"Speak softer please"
null;audio;volume_down;"I need the volume to be quieter";"I need the volume to be quieter";"null"
7129;audio;volume_down;"lower the volume [change_amount : ten percent]";"lower the volume ten percent";"lower the volume 10%"
5361;audio;volume_down;"make the volume lower";"make the volume lower";"Make the volume lower."
14275;audio;volume_down;"slow down the speaker volume";"slow down the speaker volume";"Slow down the speaker volume"
10738;audio;volume_down;"lower audio";"lower audio";"Lower audio!"
22626;audio;volume_down;"cut down the volume";"cut down the volume";"Olly, cut down the volume."
8306;audio;volume_down;"decrease volume to very soft";"decrease volume to very soft";"Decrease volume to very soft"
8381;audio;volume_down;"low the volume";"low the volume";"low the volume"
11323;audio;volume_down;"lower speaker volume";"lower speaker volume";"Lower speaker volume"
4113;audio;volume_down;"turn off the bass from the audio";"turn off the bass from the audio";"Turn off the bass from the audio"
25671;audio;volume_down;"Please lower the volume";"Please lower the volume";"please lower the volume"
18064;audio;volume_down;"turn speaker volume down";"turn speaker volume down";"turn speaker volumne down alexa"
14079;audio;volume_down;"please adjust the speakers to a lower more comfortable level";"please adjust the speakers to a lower more comfortable level";"Please adjust the speakers to a lower more comfortable level."
14078;audio;volume_down;"lower the volume on the speakers";"lower the volume on the speakers";"Lower the volume on the speakers."
5702;audio;volume_down;"please turn down the volume";"please turn down the volume";"please turn down the volume"
19856;audio;volume_down;"turn the volume down";"turn the volume down";"Turn the volume down."
8470;audio;volume_down;"turn the volume down a little please";"turn the volume down a little please";"Turn the volume down a little please"
7871;audio;volume_down;"decrease volume";"decrease volume";"decrease volume"
21543;audio;volume_down;"can you make it a little quieter";"can you make it a little quieter";"Can you make it a little quieter?"
3438;audio;volume_down;"lower all volume on speakers please";"lower all volume on speakers please";"Ok Google! Lower all volume on speakers please"
18511;audio;volume_down;"volume down";"volume down";"volume down"
21244;audio;volume_down;"please reduce the speaker volume";"please reduce the speaker volume";"Please reduce the speaker volume"
16883;audio;volume_down;"can you speak quieter please";"can you speak quieter please";"Can you speak quieter please, Olly?"
22016;audio;volume_down;"turn the music lower";"turn the music lower";"turh the music lower"
null;audio;volume_down;"speaker volume decrease";"speaker volume decrease";"null"
2003;audio;volume_down;"softer";"softer";"softer"
