answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
6940;qa;factoid;"please give height of [person : lindsey lohan]";"please give height of lindsey lohan";"Please give height of Lindsey lohan"
18335;qa;factoid;"how big is the tower of london";"how big is the tower of london";"How big is the Tower of London?"
17439;qa;factoid;"what is [person : sean connery's] birthday";"what is sean connery's birthday";"What is Sean Connery's birthday?"
22446;qa;factoid;"is [person : keith richards] dead";"is keith richards dead";"Is Keith Richards dead?"
26970;qa;factoid;"how many hook ups had [person : richard feynman]";"how many hook ups had richard feynman";"How many hook ups had Richard Feynman?"
14392;qa;factoid;"who was in the [artist_name : beatles]";"who was in the beatles";"who was in the beatles"
3688;qa;factoid;"how old is [person : cher]";"how old is cher";"How old is Cher?"
18359;qa;factoid;"where was [person : marlon brando] born";"where was marlon brando born";"Where was Marlon Brando born?"
9450;qa;factoid;"i need to know about the height of mount everest";"i need to know about the height of mount everest";"I need to know about the height of mount everest."
24345;qa;factoid;"what is the length of [place_name : amazon river]";"what is the length of amazon river";"What is the length of Amazon river"
22420;qa;factoid;"how old is [person : carrie underwood]";"how old is carrie underwood";"How old is Carrie Underwood?"
14346;qa;factoid;"can cats eat fish";"can cats eat fish";"Can cats eat fish?"
25187;qa;factoid;"is the largest ocean in the [place_name : world] [place_name : the pacific]";"is the largest ocean in the world the pacific";"alexa is the largest ocean in the world the pacific?"
19481;qa;factoid;"tell me about [person : alexander the great]";"tell me about alexander the great";"Tell me about ..."
18336;qa;factoid;"what was the date when the plum street temple in cincinnati ohio was built";"what was the date when the plum street temple in cincinnati ohio was built";"What was the date when the Plum Street Temple in Cincinnati, Ohio was built."
9227;qa;factoid;"who built the prado museum";"who built the prado museum";"Who built the Prado Museum?"
24282;qa;factoid;"how old is [person : kim kardashian]";"how old is kim kardashian";"How old is Kim Kardashian?"
21019;qa;factoid;"please tell me about our country latitude and longitude";"please tell me about our country latitude and longitude";"PLEASE TELL ME ABOUT OUR COUNTRY LATITUDE AND LONGITUDE."
20077;qa;factoid;"where is yellowstone park";"where is yellowstone park";"Where is Yellowstone park?"
