answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16273;play;podcasts;"please play a podcast";"please play a podcast";"Please play a podcast"
1954;play;podcasts;"[player_setting : skip] to next";"skip to next";"skip to next"
20714;play;podcasts;"start podcast";"start podcast";"start podcast"
13813;play;podcasts;"please go to the [podcast_descriptor : next episode] of the podcast";"please go to the next episode of the podcast";"Please go to the next episode of the podcast."
13168;play;podcasts;"start the [podcast_name : gilmore guys]";"start the gilmore guys";"Start The Gilmore Guys."
15130;play;podcasts;"play the [podcast_descriptor : most recent podcast] for this [podcast_name : american life]";"play the most recent podcast for this american life";"Play the most recent podcast for This American Life"
18002;play;podcasts;"play the [podcast_descriptor : next show] on podcast";"play the next show on podcast";"play the next show on podcast."
12837;play;podcasts;"start the podcast i was last listening to";"start the podcast i was last listening to";"Start the podcast I was last listening to."
19266;play;podcasts;"please play [podcast_descriptor : next episode] of [podcast_name : bbc history] podcast";"please play next episode of bbc history podcast";"Please play next episode of..."
17938;play;podcasts;"play current episode";"play current episode";"Play current episode."
6141;play;podcasts;"plays the podcast from the beginning";"plays the podcast from the beginning";"Plays the podcast from the beginning"
23500;play;podcasts;"play podcast [podcast_name : a]";"play podcast a";"Play podcast a."
14349;play;podcasts;"can you find the [person : dave ramsey] podcast that aired earlier [date : today]";"can you find the dave ramsey podcast that aired earlier today";"Can you find the Dave Ramsey podcast that aired earlier today?"
21661;play;podcasts;"hey play my [podcast_descriptor : favourite] podcast from list";"hey play my favourite podcast from list";"Hey olly play my favourite podcast from list"
16768;play;podcasts;"play the [podcast_descriptor : next episode] of [podcast_name : radiolab]";"play the next episode of radiolab";"Play the next episode of Radiolab."
5596;play;podcasts;"please play podcasts on [podcast_name : science]";"please play podcasts on science";"please play podcasts on science"
3926;play;podcasts;"play my favourite podcast";"play my favourite podcast";"Play my favourite podcast"
12220;play;podcasts;"play the next recording";"play the next recording";"play the next recording"
19343;play;podcasts;"back one episode";"back one episode";"back one episode"
