answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
23103;recommendation;events;"find the events";"find the events";"find the events"
605;recommendation;events;"could you suggest some fun in [place_name : new york]";"could you suggest some fun in new york";"Could you suggest some fun in New York?"
20593;recommendation;events;"Show latest events around [place_name : new york]";"Show latest events around new york";"show lates events around newyork"
10632;recommendation;events;"show me upcoming events in the [place_name : quad cities]";"show me upcoming events in the quad cities";"show me upcoming events in the quad cities"
13656;recommendation;events;"are there any events happening in [place_name : town]";"are there any events happening in town";"Are there any events happening in town?"
8982;recommendation;events;"do i need to undertake any particular activity during my stay at the [place_name : yellowstone national park]";"do i need to undertake any particular activity during my stay at the yellowstone national park";"Do I need to undertake any particular activity during my stay at the Yellowstone National Park?"
8579;recommendation;events;"tell me all the current events in my [place_name : hometown]";"tell me all the current events in my hometown";"Tell me all the current events in my hometown."
2020;recommendation;events;"any cultural events in [place_name : california]";"any cultural events in california";"Any cultural events in california?"
8984;recommendation;events;"are there any events going on close by";"are there any events going on close by";"Are there any events going on close by?"
19061;recommendation;events;"what are the local concerts [timeofday : tonight]";"what are the local concerts tonight";"What are the local concerts tonight?"
9482;recommendation;events;"what is the event name going in me area";"what is the event name going in me area";"what is the event name going in my area?"
13382;recommendation;events;"where should i go for [meal_type : dinner] in [place_name : san francisco] [timeofday : tonight]";"where should i go for dinner in san francisco tonight";"Where should I go for dinner in San Francisco tonight?"
20032;recommendation;events;"what is happening [date : tomorrow]";"what is happening tomorrow";"what is happening [date : tomorrow]"
2498;recommendation;events;"what type of event";"what type of event";"What type of event?"
12448;recommendation;events;"[event_name : fun things] to do [date : today]";"fun things to do today";"fun things to do today"
19153;recommendation;events;"show me events nearby";"show me events nearby";"Show me events nearby"
23101;recommendation;events;"find events in local area";"find events in local area";"find events in local area"
22604;recommendation;events;"refer [event_name : local current events]";"refer local current events";"refer local current events"
10630;recommendation;events;"show me upcoming events in this area";"show me upcoming events in this area";"show me upcoming events in this area"
15248;recommendation;events;"what events are happening in [place_name : los angeles]";"what events are happening in los angeles";"what events are happening in los angeles"
19941;recommendation;events;"what is planned for [date : today] in my local area";"what is planned for today in my local area";"what is planned for today in my local area"
12591;recommendation;events;"what is going on around here";"what is going on around here";"What is going on around here?"
12155;recommendation;events;"what's happening around me";"what's happening around me";"what's happening around me"
