answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
248;general;explain;"s2, i was unclear about what you've just said.";"s2, i was unclear about what you've just said.";"s2, i was unclear about what you've just said."
22;general;explain;"s1, will you further explain.";"s1, will you further explain.";"s1, will you further explain."
413;general;explain;"please further elaborate your response.";"please further elaborate your response.";"please further elaborate your response."
457;general;explain;"i am not so clear about your answers.";"i am not so clear about your answers.";"i am not so clear about your answers."
331;general;explain;"could you again elaborate me on your answers please.";"could you again elaborate me on your answers please.";"could you again elaborate me on your answers please."
306;general;explain;"s1, rephrase me further on it please.";"s1, rephrase me further on it please.";"s1, rephrase me further on it please."
521;general;explain;"s2, do not get your answer.";"s2, do not get your answer.";"s2, do not get your answer."
549;general;explain;"could you please once again elaborate to me.";"could you please once again elaborate to me.";"could you please once again elaborate to me."
448;general;explain;"s2, i can not catch up with you.";"s2, i can not catch up with you.";"s2, i can not catch up with you."
133;general;explain;"s1, would you explain me about what you have just said once again.";"s1, would you explain me about what you have just said once again.";"s1, would you explain me about what you have just said once again."
190;general;explain;"will you further elaborate me on what you have said please.";"will you further elaborate me on what you have said please.";"will you further elaborate me on what you have said please."
388;general;explain;"s2, i was not clear about it.";"s2, i was not clear about it.";"s2, i was not clear about it."
168;general;explain;"i was unclear about what you have said.";"i was unclear about what you have said.";"i was unclear about what you have said."
487;general;explain;"i don't quite catch that.";"i don't quite catch that.";"i don't quite catch that."
385;general;explain;"i do not get the last sentence.";"i do not get the last sentence.";"i do not get the last sentence."
452;general;explain;"can you further explain me on it please.";"can you further explain me on it please.";"can you further explain me on it please."
129;general;explain;"again clarify me on your answers please.";"again clarify me on your answers please.";"again clarify me on your answers please."
476;general;explain;"s1, please clarify me about your answers once again.";"s1, please clarify me about your answers once again.";"s1, please clarify me about your answers once again."
288;general;explain;"please further rephrase it.";"please further rephrase it.";"please further rephrase it."
