answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
26054;iot;coffee;"i would like some coffee now";"i would like some coffee now";"I would like some coffee now."
26584;iot;coffee;"please make coffee at [time : seven am]";"please make coffee at seven am";"Please make coffee at 7:00 AM"
19946;iot;coffee;"make a cup of coffee";"make a cup of coffee";"Olly make a cup of coffee"
9168;iot;coffee;"start coffee at [time : six am]";"start coffee at six am";"Olly start coffee at 6am"
13629;iot;coffee;"i want some coffee now";"i want some coffee now";"Olly I want some coffee now"
6252;iot;coffee;"get me some [coffee_type : latte] please";"get me some latte please";"Get me some latte please."
26055;iot;coffee;"prepare my [coffee_type : morning] coffee";"prepare my morning coffee";"Prepare my morning coffee."
10721;iot;coffee;"prepare some cups of coffee for us";"prepare some cups of coffee for us";"prepare some cups of coffee for us"
9212;iot;coffee;"can you see to it that the [device_type : coffee maker] is ready with my [coffee_type : filter] coffee in approximately [time : ten minutes from now]";"can you see to it that the coffee maker is ready with my filter coffee in approximately ten minutes from now";"Can you see to it that the coffee maker is ready with my filter coffee in approx. 10 mins. from now?"
13119;iot;coffee;"i'd like a coffee now";"i'd like a coffee now";"I'd like a coffee now"
12939;iot;coffee;"can you please turn on the [device_type : coffee pot] to make me coffee";"can you please turn on the coffee pot to make me coffee";"Can you please turn on the coffee pot to make me coffee?"
16346;iot;coffee;"prepare coffee now";"prepare coffee now";"Prepare coffee now"
11004;iot;coffee;"can you get me a cup of coffee";"can you get me a cup of coffee";"Can you get me a cup of coffee"
10720;iot;coffee;"make a cup of coffee for me";"make a cup of coffee for me";"make a cup of coffee for me"
2031;iot;coffee;"get a cup of coffee ready now";"get a cup of coffee ready now";"get a cup of coffee ready now"
13389;iot;coffee;"coffee please";"coffee please";"Coffee please."
6251;iot;coffee;"make me a [coffee_type : capuccino]";"make me a capuccino";"Make me a capuccino."
9166;iot;coffee;"make me coffee at [time : eight am]";"make me coffee at eight am";"Olly make me coffee at 8am"
21750;iot;coffee;"put on a pot of coffee";"put on a pot of coffee";"put on a pot of coffee"
12556;iot;coffee;"please activate my [device_type : coffee pot] for me";"please activate my coffee pot for me";"Please activate my coffee pot for me"
14628;iot;coffee;"i need a drink";"i need a drink";"olly i need a drink"
15340;iot;coffee;"make us a [coffee_type : brew]";"make us a brew";"Make us a brew olly"
16227;iot;coffee;"please make me a coffee using the [device_type : coffee machine]";"please make me a coffee using the coffee machine";"Olly, please make me a coffee using the coffe machine"
18940;iot;coffee;"i want coffee [date : everyday]";"i want coffee everyday";"I want coffee everyday"
11255;iot;coffee;"please get the [device_type : coffee machine] to make me some coffee";"please get the coffee machine to make me some coffee";"Please get the coffee machine to make me some coffee."
26399;iot;coffee;"coffee";"coffee";"PDA, Coffee"
4973;iot;coffee;"i want a coffee";"i want a coffee";"I want a coffee"
9211;iot;coffee;"instruct the [device_type : coffee maker] to make a [coffee_type : filter] coffee ready [time : in ten minutes]";"instruct the coffee maker to make a filter coffee ready in ten minutes";"Instruct the coffee maker to make a filter coffee ready in 10 mins."
11256;iot;coffee;"will you please get the [device_type : coffee machine] to make some coffee";"will you please get the coffee machine to make some coffee";"Will you please get the coffee machine to make some coffee."
771;iot;coffee;"make me a coffee";"make me a coffee";"Make me a coffee"
9762;iot;coffee;"prepare my coffee";"prepare my coffee";"Olly prepare my coffee"
6585;iot;coffee;"get me a coffee";"get me a coffee";"Olly.. Get me a coffee."
14763;iot;coffee;"i need some coffee please";"i need some coffee please";"Olly, I need some coffee, please."
15787;iot;coffee;"start [device_type : coffee machine]";"start coffee machine";"Start coffee machine."
13824;iot;coffee;"make a coffee for me";"make a coffee for me";"make a coffee for me, olly"
10722;iot;coffee;"cook some coffees";"cook some coffees";"cook some coffees"
23001;iot;coffee;"make coffee for me";"make coffee for me";"make coffee for me"
19947;iot;coffee;"cup of coffee please";"cup of coffee please";"Cup of coffee please"
25030;iot;coffee;"time mr coffee for [time : six am]";"time mr coffee for six am";"Olly time Mr. Coffee for 6 am"
13388;iot;coffee;"i would like a coffee now";"i would like a coffee now";"I would like a coffee now."
12938;iot;coffee;"can you make me coffee now";"can you make me coffee now";"Can you make me coffee now?"
12914;iot;coffee;"can you set my [device_type : coffee machine] to make me coffee at [time : seven am]";"can you set my coffee machine to make me coffee at seven am";"Can you set my coffee machine to make me coffee at 7am?"
772;iot;coffee;"i need a coffee";"i need a coffee";"I need a coffee"
26939;iot;coffee;"make me a [coffee_type : cooled] coffee";"make me a cooled coffee";"make me a cooled coffee"
7606;iot;coffee;"order one coffee to [business_name : starbucks] [business_type : coffee shop]";"order one coffee to starbucks coffee shop";"Order one coffee to Starbucks coffee shop"
11002;iot;coffee;"brew me a cup of coffee";"brew me a cup of coffee";"Brew me a cup of coffee"
17883;iot;coffee;"I'll take my coffee, [coffee_type : black]";"I'll take my coffee, black";"Ill take my coffee, black Olly."
21749;iot;coffee;"make a pot of [coffee_type : strong] coffee";"make a pot of strong coffee";"make a pot of strong coffee"
3241;iot;coffee;"please make a coffee";"please make a coffee";"please make a coffee"
3243;iot;coffee;"i want to drink the coffee that you made";"i want to drink the coffee that you made";"i want to drink the coffee that you made"
17245;iot;coffee;"set [device_type : coffee maker] to start at [time : three]";"set coffee maker to start at three";"Set coffee maker to start at three."
11099;iot;coffee;"please make coffee";"please make coffee";"please make coffee"
26053;iot;coffee;"can you get me a cup of coffee please";"can you get me a cup of coffee please";"Can you get me a [coffee_amount : cup] of coffee please?"
26113;iot;coffee;"can you make coffee";"can you make coffee";"can u make coffee"
9761;iot;coffee;"brew my coffee";"brew my coffee";"Olly brew my coffee"
7912;iot;coffee;"turn [device_type : coffee maker] on";"turn coffee maker on";"Turn [Coffee maker name] on"
11003;iot;coffee;"i'd like a cup of coffee please";"i'd like a cup of coffee please";"I'd like a cup of coffee please"
10437;iot;coffee;"i would like coffee now";"i would like coffee now";"I would like coffee now"
16226;iot;coffee;"turn on the [device_type : coffee machine] to make me some coffee";"turn on the coffee machine to make me some coffee";"Olly, turn on the coffee machine to make me some coffee"
6584;iot;coffee;"i would like to have a cup of coffee";"i would like to have a cup of coffee";"Olly, I would like to have a cup of coffee."
11026;iot;coffee;"can you make me a cup of coffee";"can you make me a cup of coffee";"Can you make me a cup of coffee?"
8321;iot;coffee;"please make coffee according to my earlier preference";"please make coffee according to my earlier preference";"Please make coffee according to my earlier preferance"
4448;iot;coffee;"can i please have a cafe [coffee_type : americano]";"can i please have a cafe americano";"Olly, can I please have a cafe Americano?"
