answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
5974;iot;hue_lightoff;"turn off [house_place : living room] lights";"turn off living room lights";"Turn off living room lights."
9045;iot;hue_lightoff;"can you turn off [house_place : kitchen] light for me";"can you turn off kitchen light for me";"Can you turn off kitchen light for me"
10613;iot;hue_lightoff;"turn off the [house_place : kitchen] lights";"turn off the kitchen lights";"Turn off the kitchen lights"
11954;iot;hue_lightoff;"make the lights off";"make the lights off";"Make the lights off"
7122;iot;hue_lightoff;"please turn off only right side [device_type : light]";"please turn off only right side light";"Please turn off only Right side light"
9060;iot;hue_lightoff;"turn off the closet light";"turn off the closet light";"Turn off the closet light"
9001;iot;hue_lightoff;"turn off [house_place : kitchen] light";"turn off kitchen light";"Turn off kitchen light"
3616;iot;hue_lightoff;"turn off light in [house_place : bedroom]";"turn off light in bedroom";"Turn off light in bedroom"
19397;iot;hue_lightoff;"[house_place : bed room two] switch off the lights";"bed room two switch off the lights";"bed room 2 switch off the lights."
9059;iot;hue_lightoff;"turn off the [house_place : bathroom] light";"turn off the bathroom light";"Turn off the bathroom light"
1775;iot;hue_lightoff;"good night lights off";"good night lights off";"Olly good night, lights off"
13499;iot;hue_lightoff;"turn the light off";"turn the light off";"turn the light off"
9848;iot;hue_lightoff;"switch the lights off";"switch the lights off";"Switch the lights off"
10368;iot;hue_lightoff;"can you turn off the [house_place : living room] lights";"can you turn off the living room lights";"PDA: Can you turn off the living room lights?"
24366;iot;hue_lightoff;"turn off the lights please";"turn off the lights please";"Turn off the lights, please"
21122;iot;hue_lightoff;"can you please off the light";"can you please off the light";"Can you please off the light?"
7857;iot;hue_lightoff;"shift the [house_place : balcony] light to off";"shift the balcony light to off";"shift the balcony light to off"
16633;iot;hue_lightoff;"turn lights off";"turn lights off";"Turn lights off."
2737;iot;hue_lightoff;"turn off one light on [house_place : porch]";"turn off one light on porch";"Turn off one light on porch"
