answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
42;iot;hue_lighton;"and the darkness has fallen";"and the darkness has fallen";"and the darkness has fallen"
12953;iot;hue_lighton;"can you put the lights on the high setting";"can you put the lights on the high setting";"Can you put the lights on the high setting?"
10190;iot;hue_lighton;"lights on";"lights on";"Lights on!"
9858;iot;hue_lighton;"switch on the lights";"switch on the lights";"Switch on the lights"
20448;iot;hue_lighton;"turn all lights on";"turn all lights on";"Cortana, turn all lights on"
8624;iot;hue_lighton;"It's too dark in here";"It's too dark in here";"It's too dark in here"
13217;iot;hue_lighton;"please turn on my [house_place : balcony] lights";"please turn on my balcony lights";"pls turn on my balcony lights"
20447;iot;hue_lighton;"turn [house_place : corner] light on";"turn corner light on";"Cortana, turn corner light on"
5976;iot;hue_lighton;"turn on all upstairs lights";"turn on all upstairs lights";"Turn on all upstairs lights."
1777;iot;hue_lighton;"it's awfully dark here";"it's awfully dark here";"Olly It's awfully dark here"
7817;iot;hue_lighton;"put the [device_type : disco lights] on";"put the disco lights on";"Put the disco lights on"
