answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
21331;news;query;"show latest news about [news_topic : migration]";"show latest news about migration";"Show latest news about migration"
16840;news;query;"the current news";"the current news";"The current news"
20829;news;query;"Show me articles about [news_topic : the new iphone eight]";"Show me articles about the new iphone eight";"show me articles about the new iPhone 8"
11600;news;query;"please tell me the news";"please tell me the news";"Please tell me the news."
7805;news;query;"give me the headlines from [media_type : sky news]";"give me the headlines from sky news";"Give me the headlines from Sky News"
18031;news;query;"is there any new news on [person : trump]";"is there any new news on trump";"Is there any new news on Trump?"
7578;news;query;"give me the latest updates";"give me the latest updates";"give me the latest updates"
11967;news;query;"pull up my [media_type : cnn] app and read it to me";"pull up my cnn app and read it to me";"pull up my cnn app and read it to me"
6470;news;query;"can you tell me a latest news";"can you tell me a latest news";"Can u tell me a latest news"
21865;news;query;"google search the topic";"google search the topic";"Google search the topic"
9852;news;query;"can the latest news be pulled up on the latest [news_topic : weather forecast] for the week";"can the latest news be pulled up on the latest weather forecast for the week";"Can the latest news be pulled up on the latest weather forecast for the week?"
21957;news;query;"how is the news in [place_name : ireland]";"how is the news in ireland";"how is the news in ireland?"
21255;news;query;"what is the latest on [person : donald trump]";"what is the latest on donald trump";"What is the latest on Donald Trump"
12674;news;query;"update me on the [news_topic : standing rock protest]";"update me on the standing rock protest";"Update me on the Standing Rock protest."
23751;news;query;"new policies";"new policies";"new policies"
2065;news;query;"get me news on [person : trump]";"get me news on trump";"Ok google, get me news on Trump."
13018;news;query;"please advise what the current news is on [media_type : fox news]";"please advise what the current news is on fox news";"Please advise what the current news is on Fox News?"
4246;news;query;"latest news update";"latest news update";"Latest news updations"
8615;news;query;"what's happening with the [news_topic : hurricane in the gulf]";"what's happening with the hurricane in the gulf";"What's happening with the hurricane in the gulf?"
