answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
10087;iot;coffee;"how do i set my [device_type : coffee machine] to make coffee";"how do i set my coffee machine to make coffee";"PDA, how do I set my coffee machine to make coffee?"
2322;iot;coffee;"access [device_type : coffee maker] begin process";"access coffee maker begin process";"Access Coffee Maker, Begin Process."
10797;iot;coffee;"get the coffee started please";"get the coffee started please";"Get the coffee started, please."
13569;iot;coffee;"please warm up [device_type : coffee machine]";"please warm up coffee machine";"please warm up coffee machine"
2320;iot;coffee;"run [device_type : coffee maker]";"run coffee maker";"Run Coffee Maker"
20461;iot;coffee;"set coffee to brew at [time : seven am]";"set coffee to brew at seven am";"Olly, set coffee to bre at 7:00 am"
9167;iot;coffee;"make coffee at [time : six am]";"make coffee at six am";"Olly make coffee at 6am"
3242;iot;coffee;"can you bring me a [coffee_type : nice] coffee";"can you bring me a nice coffee";"can you bring me a nice coffee"
11602;iot;coffee;"please start the coffee";"please start the coffee";"Olly, please start the coffee."
24096;iot;coffee;"do coffee";"do coffee";"do coffee"
17759;iot;coffee;"prepare a cup of coffee";"prepare a cup of coffee";"Prepare a cup of coffee."
26398;iot;coffee;"make me [coffee_type : happy juice]";"make me happy juice";"Make me happy juice"
14090;iot;coffee;"i need some coffee";"i need some coffee";"I need some coffee."
6250;iot;coffee;"can i have an [coffee_type : espresso] please";"can i have an espresso please";"Can I have an espresso please?"
7600;iot;coffee;"please make me coffee [coffee_type : without sweetener]";"please make me coffee without sweetener";"Please make me coffee without sweetener."
9213;iot;coffee;"i will need my [coffee_type : filter] coffee in [time : ten minutes] please ask the [device_type : coffee maker] accordingly";"i will need my filter coffee in ten minutes please ask the coffee maker accordingly";"I will need my filter coffee in 10 mins. Please ask the coffee maker accordingly."
21037;iot;coffee;"can i get a cup of coffee";"can i get a cup of coffee";"Olly, can i get a cup of coffee?"
12244;iot;coffee;"hey can you please make me a [coffee_type : creamy] coffee";"hey can you please make me a creamy coffee";"Hey Olly, can you please make me a creamy coffee?"
5629;iot;coffee;"make me some coffee";"make me some coffee";"Olly, make me some coffee."
16748;iot;coffee;"i want some coffee";"i want some coffee";"I want some coffee"
13118;iot;coffee;"make me coffee now";"make me coffee now";"Make me coffee now"
3441;iot;coffee;"brew coffee at [timeofday : noon]";"brew coffee at noon";"brew coffee at noon"
16749;iot;coffee;"could you get me some coffee";"could you get me some coffee";"Could you get me some coffee"
