answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
7993;music;query;"who is the song writer";"who is the song writer";"Who is the songwriter?"
22078;music;query;"please give me detail of [artist_name : o zaalima] song";"please give me detail of o zaalima song";"Plaease give me detail of o zaalima song."
13252;music;query;"give me the details on [artist_name : elton john]";"give me the details on elton john";"Give me the details on (event)"
23111;music;query;"what movie is this song from";"what movie is this song from";"What movie is this song from?"
20255;music;query;"when did [song_name : pop it like it's hot] come out";"when did pop it like it's hot come out";"When did pop it like it's hot come out?"
7994;music;query;"what is the name of the singer";"what is the name of the singer";"what is the name of the singer?"
2636;music;query;"who is singing this song";"who is singing this song";"who is singing this song"
18665;music;query;"i want to know what song has the phrase stairway to heaven in it";"i want to know what song has the phrase stairway to heaven in it";"I want to know what song has the phrase stairway to heaven in it"
5175;music;query;"where can i find this song";"where can i find this song";"Where can I find this song, PDA?"
9514;music;query;"song info";"song info";"song info"
3125;music;query;"what list is available for my favorite [media_type : music] from [person : ed sheeran]";"what list is available for my favorite music from ed sheeran";"What list is available for my favorite music from Ed Sheeran"
21818;music;query;"who is this";"who is this";"Who is this?"
26371;music;query;"list of playback of [artist_name : ar rahman] collections";"list of playback of ar rahman collections";"List of Playback of A.R Rahman collections"
676;music;query;"what music is this";"what music is this";"what music is this?"
7079;music;query;"what music service has some soul music i can listen to";"what music service has some soul music i can listen to";"What music service has some soul music I can listen to?"
13874;music;query;"which songs do i listen to most";"which songs do i listen to most";"Echo which songs to I listen to most."
2921;music;query;"can you locate some [music_genre : gospel] music for me";"can you locate some gospel music for me";"can you locate some gospel music for me"
22802;music;query;"tell me the name of this music";"tell me the name of this music";"tell me the name of this music"
12919;music;query;"music traking";"music traking";"music traking"
8332;music;query;"what music is playing right now";"what music is playing right now";"What music is playing right now?"
21375;music;query;"title of song";"title of song";"Title of song"
13700;music;query;"show me music by that artist";"show me music by that artist";"Show me music by that artist."
3753;music;query;"name the singer";"name the singer";"name the singer"
