answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
15978;iot;wemo_off;"cut [device_type : wemo] power please";"cut wemo power please";"cut wemo power please"
10256;iot;wemo_off;"will you please turn off the [device_type : smart plug]";"will you please turn off the smart plug";"Will you please turn off the smart plug"
14576;iot;wemo_off;"turn [device_type : wemo plug socket] off";"turn wemo plug socket off";"PDA turn wemo plug socket off"
7237;iot;wemo_off;"if idle then turn off else turn on";"if idle then turn off else turn on";"if idle then turn off else turn on"
22023;iot;wemo_off;"please turn socket off";"please turn socket off";"please turn socket off"
3217;iot;wemo_off;"can you turn off [device_type : wemo plug socket]";"can you turn off wemo plug socket";"Can u turn off wemo plug socket"
12187;iot;wemo_off;"turn off on the socket";"turn off on the socket";"Turn off/on the socket!"
10716;iot;wemo_off;"turn off [device_type : wemo socket]";"turn off wemo socket";"Turn off wemo socket"
12841;iot;wemo_off;"turn off my [device_type : wemo plug socket]";"turn off my wemo plug socket";"Turn off my wemo plug socket."
7953;iot;wemo_off;"turn off [device_type : wemo plug] in [house_place : game room]";"turn off wemo plug in game room";"Turn off WeMo [name] in game room"
21271;iot;wemo_off;"Switch off the [device_type : smart socket]";"Switch off the smart socket";"Switch off the smart socket"
10053;iot;wemo_off;"can you turn off the [device_type : smart socket]";"can you turn off the smart socket";"PDA, can you turn off the smart socket."
11749;iot;wemo_off;"turn off socket";"turn off socket";"turn off socket"
6394;iot;wemo_off;"mute your [device_type : android phone] when you arrive at work";"mute your android phone when you arrive at work";"Mute your Android phone when you arrive at work"
10248;iot;wemo_off;"disable [device_type : wemo socket]";"disable wemo socket";"Disable wemo socket"
3607;iot;wemo_off;"turn off [device_type : wemo]";"turn off wemo";"Turn off wemo"
12495;iot;wemo_off;"switch off the [device_type : wemo plug]";"switch off the wemo plug";"Switch off the wemo plug"
