answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
15877;music;query;"what would you call this kind of music that we're listening to";"what would you call this kind of music that we're listening to";"What would you call this kind of music that we're listening to?"
11572;music;query;"what is the title and artist of this song";"what is the title and artist of this song";"What is the title and artist of this song?"
7038;music;query;"what music is playing now nine hundred and ninety nine fm";"what music is playing now nine hundred and ninety nine fm";"What music is playing now on 99.9 cm."
7037;music;query;"nine hundred and ninety nine fm is currently playing what music";"nine hundred and ninety nine fm is currently playing what music";"99.9 FM is currently playing what music?"
11197;music;query;"listen to this song";"listen to this song";"Listen to this song."
13986;music;query;"who has covered this song";"who has covered this song";"who has covered this song?"
21418;music;query;"is the song by [artist_name : shakira]";"is the song by shakira";"Is the song by Shakira?"
7417;music;query;"tell me my music likes";"tell me my music likes";"Tell me my music likes"
6005;music;query;"who sang the song that is currently playing";"who sang the song that is currently playing";"Who sang the song that is currently playing?"
1760;music;query;"what music do i usually like after work";"what music do i usually like after work";"Olly what music do I usually like after work ?"
9515;music;query;"which song is this";"which song is this";"which song is this"
21794;music;query;"show me my playlist";"show me my playlist";"Show me my playlist"
5173;music;query;"what's the name of this song";"what's the name of this song";"PDA, what's the name of this song?"
25632;music;query;"give me the release date of this song";"give me the release date of this song";"Give me the release date of this song"
20399;music;query;"what song do i play most";"what song do i play most";"What song do I play most?"
720;music;query;"What's playing";"What's playing";"What's playing?"
3233;music;query;"what is name of the song currently playing";"what is name of the song currently playing";"what is name of the song currently playing"
23071;music;query;"who is the music director of this song";"who is the music director of this song";"who is the music director of this song"
12170;music;query;"what is the name of the lead singer in this band";"what is the name of the lead singer in this band";"What is the name of the lead singer in this band?"
