answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
26410;weather;query;"do i have to bring [weather_descriptor : umbrella] for [timeofday : tonight] party";"do i have to bring umbrella for tonight party";"Do I have to bring umbrella for tonight party"
26490;weather;query;"should i wear [weather_descriptor : gloves] [timeofday : tonight]";"should i wear gloves tonight";"Should i wear gloves tonight?"
26411;weather;query;"will it [weather_descriptor : rain] in the [timeofday : noon]";"will it rain in the noon";"Will it rain in the noon"
23748;weather;query;"how will be the weather at [timeofday : night]";"how will be the weather at night";"How will be the weather at night"
17973;weather;query;"will the [weather_descriptor : temperature] be [weather_descriptor : higher than forty] [date : tomorrow]";"will the temperature be higher than forty tomorrow";"will the temperature be higher than 40 tomorrow?"
23746;weather;query;"ask for the weather [date : today] [timeofday : morning]";"ask for the weather today morning";"Ask for the weather today morning"
3361;weather;query;"is [weather_descriptor : summer] going on";"is summer going on";"is summer going on?"
24933;weather;query;"do you think i can wear [weather_descriptor : sandals] or should i wear [weather_descriptor : sneakers] [timeofday : tonight] at [time : seven pm]";"do you think i can wear sandals or should i wear sneakers tonight at seven pm";"Do you think I can wear sandals or should I wear sneakers tonight at 7pm?"
9141;weather;query;"show me the weather forecast for [time : the next three three days]";"show me the weather forecast for the next three three days";"Show me the weather forecast for the next 3 three days"
20932;weather;query;"are you sure its going to [weather_descriptor : rain] [date : tomorrow]";"are you sure its going to rain tomorrow";"Olly, are you sure its going to rain [date : tomorrow]?"
26072;weather;query;"will i need my [weather_descriptor : snow boots] [timeofday : this afternoon]";"will i need my snow boots this afternoon";"Will I need my snow boots this afternoon?"
17470;weather;query;"do i need to wear [weather_descriptor : sunscreen] [date : today]";"do i need to wear sunscreen today";"Do I need to wear sunscreen today?"
3170;weather;query;"what is the [weather_descriptor : temperature] [date : today]";"what is the temperature today";"What is the temperature today"
24419;weather;query;"what is the weather [date : next week]";"what is the weather next week";"what is the weather next week"
5055;weather;query;"what is the climate here [date : today]";"what is the climate here today";"what is the climate here today"
3696;weather;query;"let me know when the next cold front is expected";"let me know when the next cold front is expected";"Let me know when the next cold front is expected"
27011;weather;query;"i am gonna need an [weather_descriptor : umbrella] [date : today] [time : after sunset]";"i am gonna need an umbrella today after sunset";"I am gonna need an umbrella today after sunset?"
22545;weather;query;"google what is the temperature outside";"google what is the temperature outside";"Google, what is the temperature outside?"
15984;weather;query;"are there any [weather_descriptor : tornado] warnings [date : today]";"are there any tornado warnings today";"Are there any tornado warnings today?"
