answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
21162;play;audiobook;"i want to hear more [media_type : audiobook]";"i want to hear more audiobook";"I want to hear more audiobook"
22099;play;audiobook;"[player_setting : pause] [player_setting : resume]";"pause resume";"Pause/ resume"
16438;play;audiobook;"[player_setting : resume] my audio book from [audiobook_author : karl pilkington]";"resume my audio book from karl pilkington";"Resume my audio book from karl Pilkington"
26450;play;audiobook;"[media_type : book] please";"book please";"PDA, Book please"
16013;play;audiobook;"[player_setting : start playing] [audiobook_name : american gods] where i last stopped";"start playing american gods where i last stopped";"Start playing American Gods where I last stopped."
25220;play;audiobook;"play from my last session of [audiobook_name : joes book]";"play from my last session of joes book";"alexa play from my last session of joes book."
17476;play;audiobook;"open audio book [audiobook_name : history of rome]";"open audio book history of rome";"Open audio book history of Rome."
24813;play;audiobook;"[player_setting : start] [media_type : audiobook] [audiobook_name : the time traveller]";"start audiobook the time traveller";"Ok Google, start audiobook {title}"
19844;play;audiobook;"[player_setting : resume] [audiobook_name : animal farm]";"resume animal farm";"Resume Animal Farm."
24821;play;audiobook;"can you play [audiobook_name : file]";"can you play file";"can you play m3 file"
24369;play;audiobook;"[media_type : audio]";"audio";"audio"
25221;play;audiobook;"[player_setting : start] from my last session of [audiobook_name : joes book]";"start from my last session of joes book";"alexa start from my last session of joes book"
27351;play;audiobook;"play from this point from this [media_type : audiobook]";"play from this point from this audiobook";"PDA play from this point form this audiobook"
21457;play;audiobook;"[player_setting : resume] my [media_type : audiobook] where we paused last";"resume my audiobook where we paused last";"resume my audiobook where we paused last"
23343;play;audiobook;"[player_setting : resume] [audiobook_name : the last kingdom] for me";"resume the last kingdom for me";"Resume The Last Kingdom for me"
17478;play;audiobook;"[player_setting : end pause] on audio book [audiobook_name : history of rome]";"end pause on audio book history of rome";"End pause on audio book history of Rome"
15902;play;audiobook;"i want to finish listening to the book [time : one thousand nine hundred and eighty four] from where i left off";"i want to finish listening to the book one thousand nine hundred and eighty four from where i left off";"I want to finish listening to the book 1984 from where I left off."
17160;play;audiobook;"[player_setting : keep reading]";"keep reading";"keep reading"
16034;play;audiobook;"can you play my favorite audio book of [audiobook_name : tarzan]";"can you play my favorite audio book of tarzan";"Can you play my favorite audio book of Tarzan?"
24888;play;audiobook;"[player_setting : progress] from the last paused point of my [media_type : audio book]";"progress from the last paused point of my audio book";"progress from the last paused point of my audio book."
19845;play;audiobook;"[player_setting : go back to] [audiobook_name : animal farm]";"go back to animal farm";"Go back to Animal Farm."
1974;play;audiobook;"play next episode of [audiobook_name : harry potter] by [audiobook_author : j. k. rowling]";"play next episode of harry potter by j. k. rowling";"play next episode of harry potter by JK Rowling"
26900;play;audiobook;"[player_setting : resume] [audiobook_name : the two towers]";"resume the two towers";"Olly, resume 'The Two Towers'"
17420;play;audiobook;"[player_setting : start playing] again";"start playing again";"Start playing again."
21289;play;audiobook;"[player_setting : resume] [audiobook_name : lord of the rings]";"resume lord of the rings";"Olly, resume lord of the rings."
26006;play;audiobook;"[player_setting : resume] the reading of the [audiobook_name : french lesson]";"resume the reading of the french lesson";"Resume the reading of the French lesson."
26007;play;audiobook;"[player_setting : continue] the [audiobook_name : smurfs] book";"continue the smurfs book";"Continue the Smurfs book."
16440;play;audiobook;"can you [player_setting : put on] [audiobook_name : the giver]";"can you put on the giver";"Can you put on The Giver?"
14668;play;audiobook;"read that back";"read that back";"Read that back"
25343;play;audiobook;"[player_setting : start] audio playback of [audiobook_name : twilight] again";"start audio playback of twilight again";"start audio playback of twilight again"
23342;play;audiobook;"i want to finally read [audiobook_name : the mars trilogy]";"i want to finally read the mars trilogy";"I want to finally read the Mars trilogy"
27148;play;audiobook;"pick up we left off on [audiobook_name : battle royale]";"pick up we left off on battle royale";"Olly, pick up where we left off on Battle Royale."
26255;play;audiobook;"i would like to listen to my [media_type : audiobook]";"i would like to listen to my audiobook";"I would like to listen to my audiobook."
22610;play;audiobook;"lets have a [player_setting : break] for [time : five minutes]";"lets have a break for five minutes";"Lets have a break for 5 minutes"
23614;play;audiobook;"[player_setting : resume] [audiobook_name : the two towers] [media_type : audiobook]";"resume the two towers audiobook";"Resume The Two Towers audiobook."
16035;play;audiobook;"can you play my favorite audio book of [audiobook_name : king kong]";"can you play my favorite audio book of king kong";"Can you play my favorite audio book of King Kong?"
26118;play;audiobook;"i want to listen to [audiobook_name : treasure island] by [audiobook_author : robert louis stevenson]";"i want to listen to treasure island by robert louis stevenson";"I want to listen to Treasure Island by Robert Louis Stevenson."
21215;play;audiobook;"[player_setting : resume] [audiobook_name : pride and prejudice]";"resume pride and prejudice";"Resume Pride and Prejudice."
22460;play;audiobook;"play [audiobook_name : the game of thrones] [media_type : audio book] from the last chapter i was on";"play the game of thrones audio book from the last chapter i was on";"Play the Game of Thrones audio book from the last chapter I was on."
26156;play;audiobook;"play the [media_type : book] which i heard on some particular day";"play the book which i heard on some particular day";"play the book which i heard on some particular day."
22100;play;audiobook;"[player_setting : stop play]";"stop play";"Stop/ play"
23899;play;audiobook;"get me resume of newest release [media_type : audio book]";"get me resume of newest release audio book";"get me resume of newest release audio-book"
26984;play;audiobook;"[player_setting : keep playing] [audiobook_name : secret garden]";"keep playing secret garden";"keep playing secret garden"
18779;play;audiobook;"can you [player_setting : pause and rewind] the [media_type : audio] then [player_setting : resume]";"can you pause and rewind the audio then resume";"Can you pause and rewindthe audio then resume"
22969;play;audiobook;"play the last played [media_type : audiobook]";"play the last played audiobook";"play the last played audiobook"
26240;play;audiobook;"[player_setting : start reading] that [audiobook_author : alan partridge] [media_type : book]";"start reading that alan partridge book";"Start reading that Alan Partridge book."
22357;play;audiobook;"play [audiobook_name : magic run] [time : after thirty min]";"play magic run after thirty min";"Play Magic run after 30 min."
18260;play;audiobook;"[player_setting : resume] play on my most recent audiobook selection";"resume play on my most recent audiobook selection";"Resume play on my most recent audiobook selection."
24422;play;audiobook;"[player_setting : start reading] [audiobook_name : fifty shades of grey] from chapter four";"start reading fifty shades of grey from chapter four";"Start reading 50 Shades of Grey from Chapter 4."
26985;play;audiobook;"[player_setting : start chapter five] of [audiobook_name : physics for future presidents]";"start chapter five of physics for future presidents";"start chapter five of physics for future presidents"
21216;play;audiobook;"[player_setting : continue] [audiobook_name : pride and prejudice]";"continue pride and prejudice";"Continue pride and Prejudice."
21191;play;audiobook;"[player_setting : resume] [media_type : audio]";"resume audio";"resume audio"
26241;play;audiobook;"[player_setting : read] some more of the [audiobook_author : daisy goodwin] [media_type : book] for me";"read some more of the daisy goodwin book for me";"Read some more of the Daisy Goodwin book for me"
18586;play;audiobook;"can you play my latest [media_type : audio book]";"can you play my latest audio book";"Can you play my latest audio book?"
23836;play;audiobook;"open [audiobook_name : harrypotter] [media_type : audiobook] and play from last played";"open harrypotter audiobook and play from last played";"Open harrypotter audiobook and play from last played"
22251;play;audiobook;"play [media_type : audiobook] of [audiobook_name : planets]";"play audiobook of planets";"play audiobook of planets"
22459;play;audiobook;"[player_setting : resume] my [media_type : audiobook] from the beginning of the last chapter i started";"resume my audiobook from the beginning of the last chapter i started";"Resume my audiobook from the beginning of the last chapter I started."
22970;play;audiobook;"[player_setting : resume] the last played [media_type : audiobook]";"resume the last played audiobook";"resume the last played audiobook"
22906;play;audiobook;"[player_setting : open] book";"open book";"Open book"
23616;play;audiobook;"open [audiobook_name : the two towers] and play";"open the two towers and play";"Open The Two Towers and play."
22611;play;audiobook;"i need a break [player_setting : start] it [time : after five minutes]";"i need a break start it after five minutes";"I need a break, start it after 5 minutes"
24347;play;audiobook;"[player_setting : resume] playback";"resume playback";"resume playback"
24180;play;audiobook;"pick up [audiobook_name : wuthering heights] where we left off";"pick up wuthering heights where we left off";"pick up wuthering heights where we left off"
21192;play;audiobook;"[media_type : audio] start";"audio start";"audio start"
23341;play;audiobook;"please [player_setting : restart] [audiobook_name : the handmaid's tale]";"please restart the handmaid's tale";"Please restart the Handmaid's Tale"
24692;play;audiobook;"book [audiobook_name : swan] [player_setting : resume]";"book swan resume";"book xy resume"
20053;play;audiobook;"[player_setting : resume] [audiobook_name : harry potter book four]";"resume harry potter book four";"resume harry potter book 4"
16014;play;audiobook;"[player_setting : resume] play of [audiobook_name : american gods]";"resume play of american gods";"Resume play of American Gods."
21214;play;audiobook;"play [audiobook_name : pride and prejudice]";"play pride and prejudice";"Play Pride an Prejudice."
25797;play;audiobook;"[player_setting : resume play where i left off] in book on [app_name : audible]";"resume play where i left off in book on audible";"Resume play where I left off in book on Audible."
25344;play;audiobook;"play the [audiobook_name : twilight] book";"play the twilight book";"play the twilight book"
27150;play;audiobook;"play me a random [media_type : audio book] that has to do with love";"play me a random audio book that has to do with love";"Play me a random audio book that has to do with love."
16439;play;audiobook;"can you [player_setting : put on] the [audiobook_name : chuck palhunik] audio book";"can you put on the chuck palhunik audio book";"Can you put on the Chuck Palhunik audio book?"
18780;play;audiobook;"i want you to [player_setting : fast forward] the [media_type : audio] then [player_setting : resume]";"i want you to fast forward the audio then resume";"I want you to fast forward  the audio the resume"
17844;play;audiobook;"[player_setting : resume] the playback of [audiobook_name : zanes se chronicles]";"resume the playback of zanes se chronicles";"Resume the playback of Zanes Sex Chronicles"
22101;play;audiobook;"[player_setting : hold]";"hold";"Hold"
26814;play;audiobook;"[player_setting : start over] [audiobook_name : the book legacy]";"start over the book legacy";"start over the book Legacy"
26449;play;audiobook;"read to me";"read to me";"PDA, Read to me"
27277;play;audiobook;"[player_setting : resume playing] [audiobook_name : the miniaturist]";"resume playing the miniaturist";"Resume playing X."
20571;play;audiobook;"open the [audiobook_name : davinci code] where i left off";"open the davinci code where i left off";"Open the Davinci Code where I left off"
23838;play;audiobook;"open the books and play [audiobook_name : brains book] from chap nine";"open the books and play brains book from chap nine";"Open the books and play brains book from chap 09"
18588;play;audiobook;"[player_setting : start from last time] on my [media_type : audio book]";"start from last time on my audio book";"Start from last time on my audio book"
21458;play;audiobook;"i would like to [player_setting : continue] my [media_type : audiobook]";"i would like to continue my audiobook";"i would like to continue my audiobook"
