answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
1289;calendar;remove;"remove next [event_name : meeting] [date : today] in my calendar";"remove next meeting today in my calendar";"Remove next meeting today in my calendar."
18;calendar;remove;"cancel the [meal_type : breakfast] at [place_name : tiffany's house]";"cancel the breakfast at tiffany's house";"cancel  the breakfast at tiffany's"
17645;calendar;remove;"remove the [event_name : fundraiser for dolphines] in [date : april]";"remove the fundraiser for dolphines in april";"Remove the fundraiser for dolphines in April."
18810;calendar;remove;"please clear out my calendar completely";"please clear out my calendar completely";"Please clear out my calendar completely."
19027;calendar;remove;"delete [event_name : meeting]";"delete meeting";"delete meeting"
18554;calendar;remove;"can you take off the next event on my calendar";"can you take off the next event on my calendar";"Can you take off the next event on my calendar"
25657;calendar;remove;"remove the [event_name : doctor's appointment] i added to my calendar for [date : february twelfth] at [time : nine am]";"remove the doctor's appointment i added to my calendar for february twelfth at nine am";"Remove the doctor's appointment I added to my calendar for February 12th at 9am."
15632;calendar;remove;"hey olly on the [date : twentieth] clear my calendar";"hey olly on the twentieth clear my calendar";"hey siri on the 20th clear my calendar"
14690;calendar;remove;"cancel my event on [date : june nineteenth]";"cancel my event on june nineteenth";"Cancel my event on June 19th"
14268;calendar;remove;"remove all upcoming events please";"remove all upcoming events please";"Remove all upcoming events please."
2915;calendar;remove;"clean my calendar";"clean my calendar";"clean my calender"
2451;calendar;remove;"remove all events from my calendar";"remove all events from my calendar";"Remove all events from my calendar."
12982;calendar;remove;"hi olly please cancel all the programs for [date : friday]";"hi olly please cancel all the programs for friday";"hi google please cancel all the programs for friday"
4325;calendar;remove;"i don't want to attend the [meal_type : dinner] on [date : march first] any more so could you remove it from my agenda";"i don't want to attend the dinner on march first any more so could you remove it from my agenda";"I don't want to attend the dinner on March 1st anymore, so could you remove it from my agenda?"
21572;calendar;remove;"please delete [event_name : all meetings] of [date : today] [time : after seven pm]";"please delete all meetings of today after seven pm";"Please Delete all meetings of today after 7 P.M."
4;calendar;remove;"cancel [event_name : business meeting] on [date : wednesday]";"cancel business meeting on wednesday";"Olly cancel business meeting on wednesday"
14002;calendar;remove;"delete [event_name : appointment] at time";"delete appointment at time";"delete appointment at time"
5939;calendar;remove;"delete my [event_name : dentist appointment]";"delete my dentist appointment";"Delete my dentist appointment."
12057;calendar;remove;"erase my next calendar event";"erase my next calendar event";"erase my next calendar event"
