answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
21372;transport;traffic;"is it possible to drive now in [place_name : ohio]";"is it possible to drive now in ohio";"is it possible to drive now in ohio"
16201;transport;traffic;"how is traffic in city";"how is traffic in city";"HOW IS TRAFFIC IN CITY"
17485;transport;traffic;"what is the current traffic";"what is the current traffic";"What is the current traffic"
24122;transport;traffic;"is there any traffic";"is there any traffic";"Is there any traffic?"
12696;transport;traffic;"are there are any delays on my commute";"are there are any delays on my commute";"Are there are any delays on my commute?"
2049;transport;traffic;"what the traffic condition outside my [place_name : office]";"what the traffic condition outside my office";"what the traffic condition outside my office?"
7185;transport;traffic;"in [place_name : jodhpur] traffic level is very low";"in jodhpur traffic level is very low";"In Jodhpur traffic level is very Low"
9198;transport;traffic;"outside traffic status please";"outside traffic status please";"Outside Traffic  status please"
19293;transport;traffic;"show me the current traffic [place_name : nearby me]";"show me the current traffic nearby me";"Show me the current traffic nearby me"
6291;transport;traffic;"give information about the traffic near my location please";"give information about the traffic near my location please";"Give information about the traffic near my location please."
21276;transport;traffic;"just how bad is traffic on my commute";"just how bad is traffic on my commute";"just how bad is traffic on my commute"
16578;transport;traffic;"how much traffic does [place_name : atlanta georgia] usually have";"how much traffic does atlanta georgia usually have";"How much traffic does Atlanta, Georgia usually have?"
2359;transport;traffic;"what is the traffic like right now on [place_name : telegraph]";"what is the traffic like right now on telegraph";"what is the traffic like right now on telegraph?"
16759;transport;traffic;"what's the traffic this [timeofday : morning]";"what's the traffic this morning";"What's the traffic this morning?"
6558;transport;traffic;"accident or normal traffic";"accident or normal traffic";"Accident or normal traffic"
6162;transport;traffic;"how long will it take me to get to [place_name : park avenue] considering current traffic";"how long will it take me to get to park avenue considering current traffic";"How long will it take me to get to Park Avenue considering current traffic?"
2707;transport;traffic;"what are the traffic conditions on the [place_name : one hundred and one]";"what are the traffic conditions on the one hundred and one";"What are the traffic conditions on the 101?"
6289;transport;traffic;"how's the traffic [place_name : downtown]";"how's the traffic downtown";"How's the traffic downtown?"
10659;transport;traffic;"how is traffic on the [place_name : highway]";"how is traffic on the highway";"How is traffic on the highway?"
11472;transport;traffic;"is there any stopped traffic on [place_name : route eighty] [date : today]";"is there any stopped traffic on route eighty today";"Alexa is there any stopped traffic on 80 today?"
21885;transport;traffic;"traffic alert";"traffic alert";"Traffic alert"
20269;transport;traffic;"what is the traffic now";"what is the traffic now";"What is the traffic now?"
13492;transport;traffic;"how is the traffic now";"how is the traffic now";"how is the traffic now"
14859;transport;traffic;"will traffic be good when i leave in [time : five minutes]";"will traffic be good when i leave in five minutes";"Will traffic be good when I leave in 5 minutes?"
16760;transport;traffic;"how bad is traffic this [timeofday : morning]";"how bad is traffic this morning";"How bad is traffic this morning?"
16590;transport;traffic;"is the traffic bad enough that i should leave early";"is the traffic bad enough that i should leave early";"Is the traffic bad enough that I should leave early?"
21883;transport;traffic;"show traffic";"show traffic";"Show traffic"
19118;transport;traffic;"is it bumper to bumper";"is it bumper to bumper";"is it bumper to bumper"
25913;transport;traffic;"is the road in some particular area wide or narrow";"is the road in some particular area wide or narrow";"Is the road in some particular area wide or narrow."
4773;transport;traffic;"do you have a traffic update";"do you have a traffic update";"PDA do you have a traffic update?"
4764;transport;traffic;"give me current information about traffic at [place_name : central park road]";"give me current information about traffic at central park road";"give me current information about traffic at central park road."
16576;transport;traffic;"how is the traffic on [place_name : I twenty five]";"how is the traffic on I twenty five";"How is the traffic on I-25?"
3471;transport;traffic;"are there any accidents on [place_name : harvard]";"are there any accidents on harvard";"are there any accidents on Harvard?"
16317;transport;traffic;"is traffic light";"is traffic light";"Is traffic light?"
10137;transport;traffic;"are there any [event_name : accidents] [date : today]";"are there any accidents today";"are there any accidents today"
17997;transport;traffic;"should i go through the valley or on the ten to get to [place_name : westwood]";"should i go through the valley or on the ten to get to westwood";"Should I go through the valley or on the 10 to get to Westwood?"
10135;transport;traffic;"what is the traffic [date : today]";"what is the traffic today";"what is the traffic today"
3120;transport;traffic;"what is level of traffic at [place_name : washington]";"what is level of traffic at washington";"what is level of traffic at washington"
2708;transport;traffic;"are there any accidents on the [place_name : four hundred and five]";"are there any accidents on the four hundred and five";"Are there any accidents on the 405?"
19292;transport;traffic;"what's the traffic situation from [place_name : kamycka] to [place_name : dejvicka]";"what's the traffic situation from kamycka to dejvicka";"What's the traffic situation from Kamycka to Dejvicka?"
9681;transport;traffic;"can i make back [place_name : home] without a traffic jam";"can i make back home without a traffic jam";"Can i make back home without a traffic jam."
16948;transport;traffic;"what's the traffic on [place_name : eighty] [date : today]";"what's the traffic on eighty today";"What's the traffic on 80 today?"
6160;transport;traffic;"how bad is the traffic on [place_name : sunset boulevard]";"how bad is the traffic on sunset boulevard";"How bad is the traffic on Sunset Boulevard?"
7445;transport;traffic;"i would like to know the traffic condition";"i would like to know the traffic condition";"I  would like to know the traffic condition"
10674;transport;traffic;"what is the traffic condition of [place_name : florida]";"what is the traffic condition of florida";"What is the traffic condition of Florida?"
24525;transport;traffic;"traffic please";"traffic please";"traffic please"
3469;transport;traffic;"how is the traffic on [place_name : harvard]";"how is the traffic on harvard";"how is the traffic on Harvard?"
16454;transport;traffic;"how long will it take to get home";"how long will it take to get home";"How long will it take to get home?"
6535;transport;traffic;"what is the condition of traffic from work to [place_name : home]";"what is the condition of traffic from work to home";"What is the condition of traffic from work to home."
3551;transport;traffic;"is there any traffic [place_name : downtown] right now";"is there any traffic downtown right now";"Is there any traffic downtown right now?"
2762;transport;traffic;"how is the traffic around [place_name : city center]";"how is the traffic around city center";"How is the traffic around city center."
19949;transport;traffic;"what is the traffic this [timeofday : morning]";"what is the traffic this morning";"What is the traffic this morning?"
4742;transport;traffic;"tell me about [place_name : city] traffic";"tell me about city traffic";"tell me about city traffic"
2326;transport;traffic;"how is the traffic in [place_name : broadway] street";"how is the traffic in broadway street";"How is the traffic in Broadway street?"
15856;transport;traffic;"please check the traffic to the [place_name : home]";"please check the traffic to the home";"Please check the traffic to the home"
25914;transport;traffic;"is the road a free way or a toll road";"is the road a free way or a toll road";"Is the road a free way or a toll road."
20450;transport;traffic;"are there any traffic delays";"are there any traffic delays";"Are there any traffic delays?"
25214;transport;traffic;"is there is a high traffic";"is there is a high traffic";"Is there is a High traffic?"
3552;transport;traffic;"what traffic is there on the route to the [place_name : pittsburgh airport]";"what traffic is there on the route to the pittsburgh airport";"What traffic is there on the route to the Pittsburgh airport?"
1337;transport;traffic;"what is traffic";"what is traffic";"What is traffic?"
23489;transport;traffic;"please let me know about current traffic in [place_name : carmen drive]";"please let me know about current traffic in carmen drive";"Please Let me know about current traffic in Carmen Drive"
4763;transport;traffic;"tell me current situation of traffic near [place_name : central park road]";"tell me current situation of traffic near central park road";"tell me current situation of traffic near central park road."
12695;transport;traffic;"how long to get to work";"how long to get to work";"How long to get to work?"
26657;transport;traffic;"how is the traffic right now";"how is the traffic right now";"how is the traffic right now"
2761;transport;traffic;"latest news on traffic at my current location";"latest news on traffic at my current location";"Latest news on traffic at my current location."
16528;transport;traffic;"what is the traffic like right now";"what is the traffic like right now";"What is the traffic like right now?"
1336;transport;traffic;"how is my commute";"how is my commute";"How is my commute?"
10136;transport;traffic;"how is the traffic [date : today]";"how is the traffic today";"how is the traffic today"
