answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
14588;play;podcasts;"play fishing podcasts that are favorited";"play fishing podcasts that are favorited";"play fishing podcasts that are favorited"
5972;play;podcasts;"play podcast for the [podcast_name : philadelphia eagles content]";"play podcast for the philadelphia eagles content";"Play podcast for the Philadelphia Eagles content"
3503;play;podcasts;"play me the new podcast from [podcast_name : npr]";"play me the new podcast from npr";"Play me the new podcast from NPR."
26646;play;podcasts;"[player_setting : keep playing] the episodes in order";"keep playing the episodes in order";"keep playing the episodes in order"
2290;play;podcasts;"play [podcast_descriptor : next episode]";"play next episode";"Play next episode"
17968;play;podcasts;"play my [podcast_descriptor : play list]";"play my play list";"play my play list"
25696;play;podcasts;"play favorites listed in podcasts starting with first one";"play favorites listed in podcasts starting with first one";"Play favorites listed in podcasts starting with first one."
17939;play;podcasts;"play [podcast_descriptor : previous episode]";"play previous episode";"Play previous episode."
23502;play;podcasts;"play my favourite podcasts";"play my favourite podcasts";"Play my favourite podcasts."
18054;play;podcasts;"get the [podcast_descriptor : next episode]";"get the next episode";"Get the next episode."
11678;play;podcasts;"please start the [podcast_descriptor : next podcast episode]";"please start the next podcast episode";"Please start the next podcast episode."
20278;play;podcasts;"please play next episode of podcast";"please play next episode of podcast";"Please play next episode of podcast."
7477;play;podcasts;"show me podcasts";"show me podcasts";"show me podcasts"
7681;play;podcasts;"can you play back to [date : december]";"can you play back to december";"Can you play back to December"
9262;play;podcasts;"can you please download my podcast file available in internet and play it once";"can you please download my podcast file available in internet and play it once";"Can you please download my podcaste file available in internet and play it once?"
10890;play;podcasts;"skip this episode";"skip this episode";"Skip this episode."
8936;play;podcasts;"[player_setting : skip] this one";"skip this one";"skip this one"
5598;play;podcasts;"what are my top played podcasts";"what are my top played podcasts";"what are my top played podcasts"
8462;play;podcasts;"go back to [podcast_descriptor : previous episode] of podcast";"go back to previous episode of podcast";"go back to previous episode of podcast."
22204;play;podcasts;"play the [podcast_descriptor : next episode] of [podcast_name : drunks and dragons] please";"play the next episode of drunks and dragons please";"Play the next episode of Drunks and Dragons, please."
14420;play;podcasts;"play the latest [person : seahawks] podcast";"play the latest seahawks podcast";"Play the latest Seahawks Podcast."
5783;play;podcasts;"can i see the [podcast_descriptor : previous episode]";"can i see the previous episode";"Can I see the previous episode?"
17348;play;podcasts;"skip this podcast";"skip this podcast";"Skip this podcast"
8216;play;podcasts;"please play [podcast_descriptor : next episode]";"please play next episode";"Please play next episode"
8265;play;podcasts;"aib podcast on [podcast_name : kashmirstart it]";"aib podcast on kashmirstart it";"aib podcast on kashmir,start it."
15131;play;podcasts;"i want to hear the [podcast_descriptor : latest podcast episode] of [podcast_name : s town]";"i want to hear the latest podcast episode of s town";"I want to hear the latest podcast episode of S-Town"
8217;play;podcasts;"please go to next date";"please go to next date";"Please go to next date"
16142;play;podcasts;"can you please play the [podcast_descriptor : next episode] of [podcast_name : food stuff]";"can you please play the next episode of food stuff";"Can you please play the next episode of Food Stuff"
10155;play;podcasts;"jump to the next podcast";"jump to the next podcast";"PDA: Jump to the next podcast"
5597;play;podcasts;"what are [date : todays] top podcasts";"what are todays top podcasts";"what are todays top podcasts"
14885;play;podcasts;"play that podcast please";"play that podcast please";"Play that podcast please."
24921;play;podcasts;"[player_setting : skip to next] [podcast_name : nyt] podcast";"skip to next nyt podcast";"skipe to next NYT podcast"
2469;play;podcasts;"what is my [podcast_name : most played] podcast";"what is my most played podcast";"what is my most played podcast"
2291;play;podcasts;"[podcast_descriptor : next episode]";"next episode";"Next Episode"
3047;play;podcasts;"play my latest podcast";"play my latest podcast";"play my latest podcast"
25372;play;podcasts;"network podcast";"network podcast";"Network podcast"
6140;play;podcasts;"can you start my [podcast_name : saved] podcast";"can you start my saved podcast";"Can you start my saved podcast?"
11657;play;podcasts;"continue onto the [podcast_descriptor : next podcast]";"continue onto the next podcast";"Continue onto the next podcast"
6513;play;podcasts;"go to [podcast_descriptor : next episode]";"go to next episode";"Go to next episode."
1768;play;podcasts;"skip";"skip";"Skip"
27023;play;podcasts;"[player_setting : start] podcast from my favorites list";"start podcast from my favorites list";"Start podcast from my favorites list"
22395;play;podcasts;"[player_setting : start] [podcast_descriptor : next episode] playing";"start next episode playing";"Start next episode playing"
13324;play;podcasts;"please play the podcast from [podcast_name : happypeoplecom]";"please play the podcast from happypeoplecom";"Please play the podcast from happypeople.com."
14948;play;podcasts;"show me the [podcast_descriptor : top rated] podcasts";"show me the top rated podcasts";"Show me the top rated podacasts"
13742;play;podcasts;"find me a podcast on wrestling";"find me a podcast on wrestling";"Find me a podcast on wrestling."
2213;play;podcasts;"can you [player_setting : backward] an episode in the podcast";"can you backward an episode in the podcast";"Can you backward an episode in the podcast?"
19344;play;podcasts;"[player_setting : move] to [podcast_descriptor : next episode]";"move to next episode";"move to next episode"
14421;play;podcasts;"start podcast [podcast_name : mlb daily]";"start podcast mlb daily";"Start podcast, MLB daily."
14589;play;podcasts;"start podcasts on [podcast_name : nfl]";"start podcasts on nfl";"start podcasts on NFL"
27395;play;podcasts;"i want to hear this podcast";"i want to hear this podcast";"I want to hear this podcast"
8215;play;podcasts;"skip to [podcast_descriptor : next podcast]";"skip to next podcast";"Skip to next podcast"
2064;play;podcasts;"can you play the [podcast_descriptor : next podcast]";"can you play the next podcast";"Can you play the next podcast"
null;play;podcasts;"play the [podcast_descriptor : next episode] of the [podcast_name : BBC tech] podcast";"play the next episode of the BBC tech podcast";"null"
21897;play;podcasts;"please play [podcast_descriptor : forward episode] in [podcast_name : quantico]";"please play forward episode in quantico";"Plaease play forward episode in quantico."
13102;play;podcasts;"[radio_name : vitaly channel]";"vitaly channel";"Vitaly channel"
20715;play;podcasts;"podcast play";"podcast play";"podcast play"
