answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
283;general;affirm;"fantastic response.";"fantastic response.";"fantastic response."
466;general;affirm;"yeap you've gotten my instructions perfectly.";"yeap you've gotten my instructions perfectly.";"yeap you've gotten my instructions perfectly."
171;general;affirm;"yeah wonderful response.";"yeah wonderful response.";"yeah wonderful response."
537;general;affirm;"yeah exact response to the command.";"yeah exact response to the command.";"yeah exact response to the command."
542;general;affirm;"yeah perfect response to command.";"yeah perfect response to command.";"yeah perfect response to command."
373;general;affirm;"yeah excellent.";"yeah excellent.";"yeah excellent."
355;general;affirm;"yeah exactly.";"yeah exactly.";"yeah exactly."
142;general;affirm;"perfect response to command.";"perfect response to command.";"perfect response to command."
485;general;affirm;"yes you have got my instructions perfectly.";"yes you have got my instructions perfectly.";"yes you have got my instructions perfectly."
133;general;affirm;"yeah you understood command correcly.";"yeah you understood command correcly.";"yeah you understood command correcly."
336;general;affirm;"yeah wonderful response to command.";"yeah wonderful response to command.";"yeah wonderful response to command."
244;general;affirm;"strongly agree.";"strongly agree.";"strongly agree."
248;general;affirm;"yeap it is confirmed.";"yeap it is confirmed.";"yeap it is confirmed."
389;general;affirm;"you got the command right.";"you got the command right.";"you got the command right."
27;general;affirm;"yeah strongly agree.";"yeah strongly agree.";"yeah strongly agree."
520;general;affirm;"yeah fantastic.";"yeah fantastic.";"yeah fantastic."
377;general;affirm;"yes you've understood my instructions exactly.";"yes you've understood my instructions exactly.";"yes you've understood my instructions exactly."
411;general;affirm;"yeap your understanding was confirmed.";"yeap your understanding was confirmed.";"yeap your understanding was confirmed."
2;general;affirm;"yeah that is correct.";"yeah that is correct.";"yeah that is correct."
129;general;affirm;"great response to command.";"great response to command.";"great response to command."
188;general;affirm;"yeap amazing response to the command.";"yeap amazing response to the command.";"yeap amazing response to the command."
375;general;affirm;"yes you've done your understanding correcly.";"yes you've done your understanding correcly.";"yes you've done your understanding correcly."
60;general;affirm;"yeap you have done answer exactly.";"yeap you have done answer exactly.";"yeap you have done answer exactly."
216;general;affirm;"you have understood my instructions perfectly.";"you have understood my instructions perfectly.";"you have understood my instructions perfectly."
467;general;affirm;"yeap excellent response to the command.";"yeap excellent response to the command.";"yeap excellent response to the command."
528;general;affirm;"yes you have gotten it exactly.";"yes you have gotten it exactly.";"yes you have gotten it exactly."
362;general;affirm;"you have done that perfectly.";"you have done that perfectly.";"you have done that perfectly."
157;general;affirm;"you've got the command exactly.";"you've got the command exactly.";"you've got the command exactly."
343;general;affirm;"you have got that exactly.";"you have got that exactly.";"you have got that exactly."
444;general;affirm;"yes you got command exactly.";"yes you got command exactly.";"yes you got command exactly."
311;general;affirm;"it was wonderful.";"it was wonderful.";"it was wonderful."
42;general;affirm;"fantastic response to command.";"fantastic response to command.";"fantastic response to command."
243;general;affirm;"you have done it correcly.";"you have done it correcly.";"you have done it correcly."
175;general;affirm;"correct response to the command.";"correct response to the command.";"correct response to the command."
400;general;affirm;"yes good response to command.";"yes good response to command.";"yes good response to command."
407;general;affirm;"yeah right.";"yeah right.";"yeah right."
80;general;affirm;"yes fantastic.";"yes fantastic.";"yes fantastic."
189;general;affirm;"your understanding was exact.";"your understanding was exact.";"your understanding was exact."
405;general;affirm;"yeap.";"yeap.";"yeap."
380;general;affirm;"yeap that's right.";"yeap that's right.";"yeap that's right."
514;general;affirm;"yes that is confirmed.";"yes that is confirmed.";"yes that is confirmed."
300;general;affirm;"yeap you've got your understanding right.";"yeap you've got your understanding right.";"yeap you've got your understanding right."
114;general;affirm;"yeah you have gotten my instructions perfectly.";"yeah you have gotten my instructions perfectly.";"yeah you have gotten my instructions perfectly."
