answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
24108;iot;cleaning;"begin [device_type : vacuuming]";"begin vacuuming";"Begin vacuuming."
14423;iot;cleaning;"activate the [device_type : roomba]";"activate the roomba";"activate the roomba"
611;iot;cleaning;"turn [device_type : cleaner robot] on";"turn cleaner robot on";"Turn cleaner robot on"
2879;iot;cleaning;"can you turn on the [device_type : vacuum cleaner]";"can you turn on the vacuum cleaner";"can you turn on the vacuum cleaner"
7943;iot;cleaning;"start my [device_type : robot vacuum cleaner]";"start my robot vacuum cleaner";"Start my robot vacuum cleaner"
7621;iot;cleaning;"start [device_type : robot cleaner]";"start robot cleaner";"Start robot cleaner"
21429;iot;cleaning;"initiate the [device_type : robot vacuum cleaner]";"initiate the robot vacuum cleaner";"Initiate the robot vacuum cleaner"
21427;iot;cleaning;"start the [device_type : robot vacuum cleaner] now";"start the robot vacuum cleaner now";"Start the robot vacuum cleaner now"
49;iot;cleaning;"clean the [house_place : flat]";"clean the flat";"olly, clean the flat"
9741;iot;cleaning;"switch on [device_type : robot vacuum cleaner]";"switch on robot vacuum cleaner";"Switch on robot vacuum cleaner."
4394;iot;cleaning;"use [device_type : vacuum cleaner] in the [house_place : hall]";"use vacuum cleaner in the hall";"use vacuum cleaner in the hall"
8408;iot;cleaning;"make my [device_type : iroomba] clean the [house_place : living room]";"make my iroomba clean the living room";"Make my iroomba clean the living room."
4156;iot;cleaning;"turn on the [device_type : robot vacuum cleaner]";"turn on the robot vacuum cleaner";"Turn on the robot vacuum cleaner."
21647;iot;cleaning;"start cleaning floors";"start cleaning floors";"start cleaning floors"
9739;iot;cleaning;"start [device_type : robot vacuum cleaner]";"start robot vacuum cleaner";"Start Robot Vacuum cleaner."
6270;iot;cleaning;"start the [device_type : vacuum cleaner]";"start the vacuum cleaner";"Start the vacuum cleaner"
