answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
20882;email;sendemail;"send a mail to whom to talk";"send a mail to whom to talk";"send a mail to whom to talk"
8535;email;sendemail;"pull up [person : kate's] email and write that i will let her know";"pull up kate's email and write that i will let her know";"Pull up Kate's email and write that I will let her know."
6076;email;sendemail;"please reply to my [relation : boss] most recent email and say that the ppt will be ready in one hour maximum";"please reply to my boss most recent email and say that the ppt will be ready in one hour maximum";"Please reply to my boss' most recent email and say that the ppt will be ready in one hour maximum."
21634;email;sendemail;"reply the email of [person : charles] with just thank you right now";"reply the email of charles with just thank you right now";"Reply the email of Charles with just thank you, right now"
12633;email;sendemail;"send new email to [email_address : jana dot litt at gmail dot com]";"send new email to jana dot litt at gmail dot com";"Send new email to jana dot litt at gmail dot com"
579;email;sendemail;"hey please reply to last [person : pawel's] email";"hey please reply to last pawel's email";"Hey, please reply to last Pawel's email"
13172;email;sendemail;"send email to new email address";"send email to new email address";"Send email to new email address"
6531;email;sendemail;"send an email to my [relation : friend] say [event_name : birthday] wishes";"send an email to my friend say birthday wishes";"Send an email to my friend say birthday wishes"
25714;email;sendemail;"send email to [relation : mom] starting with the subject vacation";"send email to mom starting with the subject vacation";"Send email to Mom starting with the subject: Vacation."
15167;email;sendemail;"[email_address : jj.nzt@yahoo dot com]";"jj.nzt@yahoo dot com";"jj_nzt@yahoo.com"
3330;email;sendemail;"email happy new year to [person : john]";"email happy new year to john";"email 'happy new year' to john"
21636;email;sendemail;"tell to [person : joe's] email that come to my house in this moment i am alone";"tell to joe's email that come to my house in this moment i am alone";"Tell to Joe┬┤s email that come to my house in this moment i am alone"
2058;email;sendemail;"go to email and send message to";"go to email and send message to";"go to email and send message to"
19634;email;sendemail;"email [person : john smith]";"email john smith";"Email John Smith."
6276;email;sendemail;"start a new email to [person : george brown]";"start a new email to george brown";"Start a new email to George Brown"
12964;email;sendemail;"send a replay email";"send a replay email";"send a replay email"
15753;email;sendemail;"send reply to [person : joe]";"send reply to joe";"send reply to joe"
8384;email;sendemail;"email [person : tom] the date and time of [date : tomorrow's] [event_name : meeting]";"email tom the date and time of tomorrow's meeting";"Email Tom the date and time of tomorrow's meeting"
2036;email;sendemail;"add mail id subject content";"add mail id subject content";"add mail id, subject , content"
12101;email;sendemail;"email my [relation : friend] about our plans [timeofday : tonight]";"email my friend about our plans tonight";"Email my friend about our plans tonight"
11812;email;sendemail;"send email to [person : cat] that i will accept job offer";"send email to cat that i will accept job offer";"PDA, send email to Cat that I will accept job offer"
1724;email;sendemail;"email [person : james] about the softball game [person : james] we need to get some refreshments before heading over";"email james about the softball game james we need to get some refreshments before heading over";"email James about the softball game. James we need to get some refreshments before heading over."
7463;email;sendemail;"send email to [relation : daddy] i'll be going to the [event_name : birthday party]";"send email to daddy i'll be going to the birthday party";"send email to daddy, i'll be going to the birthday party."
16413;email;sendemail;"can you open the reply [email_folder : inbox]";"can you open the reply inbox";"Can you open the reply box?"
3413;email;sendemail;"prepare email for [person : susan]";"prepare email for susan";"prepare email for susan"
19564;email;sendemail;"[email_folder : inbox] this mail";"inbox this mail";"inbox this mail."
20317;email;sendemail;"reply to [person : heather's] latest email by answering no";"reply to heather's latest email by answering no";"Reply to Heather's latest email by answering No"
9663;email;sendemail;"send an email to my [relation : assistant] [person : clara] to cancel all [event_name : appointments] for [date : tomorrow]";"send an email to my assistant clara to cancel all appointments for tomorrow";"send an email to my assistant clara to cancel all appointments for tomorrow."
10006;email;sendemail;"send an email for me";"send an email for me";"PDA, send an email for me."
2537;email;sendemail;"send an email to my [relation : boss]";"send an email to my boss";"Send an email to my boss."
14571;email;sendemail;"i need an email to be sent to [business_name : comcastcom] about my service issues";"i need an email to be sent to comcastcom about my service issues";"I need an email to be sent to comcast.com about my service issues."
3669;email;sendemail;"email friend";"email friend";"email friend"
10805;email;sendemail;"send an email to [person : john]";"send an email to john";"send an email to john (body)"
2035;email;sendemail;"go to email compile";"go to email compile";"go to ne mail compile"
20679;email;sendemail;"reply wishes to [person : john] by email";"reply wishes to john by email";"reply wishes to john by email"
11224;email;sendemail;"send the email to [person : john]";"send the email to john";"Send the email to John."
9611;email;sendemail;"send the following email to [relation : bro] hi come down for [meal_type : dinner] [timeofday : tonight]";"send the following email to bro hi come down for dinner tonight";"Send the following Email to bro Hi come down for dinner tonight"
21345;email;sendemail;"please answer [person : jean's] email";"please answer jean's email";"Please answer Jean's e-mail."
1971;email;sendemail;"respond to [person : all] that i am on my way";"respond to all that i am on my way";"respond to all that I am on my way"
18223;email;sendemail;"send an email to [relation : dad] about the weather for the week";"send an email to dad about the weather for the week";"Send an email to Dad about the weather for the week."
5907;email;sendemail;"send a test email to";"send a test email to";"Send a test email to test3@gmail.com"
14477;email;sendemail;"draft an email to [person : kailey] about work later";"draft an email to kailey about work later";"deaft an email to kailey about work later"
25613;email;sendemail;"answer [person : paul's] email";"answer paul's email";"Answer Paul's email."
3346;email;sendemail;"please reply to my [relation : colleagues] mail about his query";"please reply to my colleagues mail about his query";"please reply to my colleagues mail about his query"
4702;email;sendemail;"hello you have a send an email to someone";"hello you have a send an email to someone";"HELLO, YOU HAVE A SEND AN EMAIL TO SOMEONE."
1698;email;sendemail;"reply an email to [person : jason] that i will not come [timeofday : tonight]";"reply an email to jason that i will not come tonight";"Reply an Email to Jason that I will not come tonight"
5434;email;sendemail;"hey send an email to my [relation : friend]";"hey send an email to my friend";"HEY, SEND AN EMAIL TO MY FRIEND"
12151;email;sendemail;"send email to [email_address : newmail@gmail dot com]";"send email to newmail@gmail dot com";"Send email to newmail@gmail.com"
