answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
18611;iot;wemo_off;"deactive the socket";"deactive the socket";"Can we deactive the socket"
1708;iot;wemo_off;"turn off the [device_type : rice cooker socket]";"turn off the rice cooker socket";"Turn off the rice cooker socket"
10785;iot;wemo_off;"power off [device_type : wemo plug socket]";"power off wemo plug socket";"Power off wemo plug socket."
17823;iot;wemo_off;"please switch off on the [device_type : wemo plug socket]";"please switch off on the wemo plug socket";"Please switch off/on the wenmo plug socket."
22302;iot;wemo_off;"shut the [device_type : smart socket] down";"shut the smart socket down";"Shut the smart socket down."
10715;iot;wemo_off;"i do not want to use the [device_type : socket] anymore";"i do not want to use the socket anymore";"I do not  want to use the socket anymore"
3972;iot;wemo_off;"turn off my [device_type : smart plug] [time : in thirty minutes]";"turn off my smart plug in thirty minutes";"Turn off my smart plug socket in 30 minutes."
6395;iot;wemo_off;"turn off [device_type : wifi] when you leave home to save power";"turn off wifi when you leave home to save power";"Turn off WiFi when you leave home to save power"
15493;iot;wemo_off;"please turn off my [device_type : smart plug socket]";"please turn off my smart plug socket";"Please turn off my smart plug socket."
14160;iot;wemo_off;"i want the [device_type : smart socket] off now";"i want the smart socket off now";"I want the smart socket off now."
2250;iot;wemo_off;"power down the [device_type : plug socket one]";"power down the plug socket one";"power down the plug socket 1."
12188;iot;wemo_off;"power off on";"power off on";"Power off/on!"
19262;iot;wemo_off;"switch off the [device_type : plug socket]";"switch off the plug socket";"Switch off the plug socket"
21273;iot;wemo_off;"please make the [device_type : smart socket] turn off";"please make the smart socket turn off";"Please male the smart socket turn off"
17912;iot;wemo_off;"turn off [house_place : bedroom] fan";"turn off bedroom fan";"Turn off bedroom fan"
15709;iot;wemo_off;"turn off my wifi";"turn off my wifi";"Turn off my wifi."
15495;iot;wemo_off;"i'd like you to shut off my [device_type : smart plug socket] now please";"i'd like you to shut off my smart plug socket now please";"I'd like you to shut off my smart plug socket now, please."
15121;iot;wemo_off;"please power down";"please power down";"Please power down."
2980;iot;wemo_off;"please turn off the [device_type : plug socket] of my [device_type : phone] when it'll be charged";"please turn off the plug socket of my phone when it'll be charged";"please turn off the plug socket of my phone when it'll be charged"
10051;iot;wemo_off;"please turn off the [device_type : smart socket]";"please turn off the smart socket";"PDA, please turn off the smart socket."
null;iot;wemo_off;"off [device_type : mobile charger plug]";"off mobile charger plug";"null"
12567;iot;wemo_off;"turn the plug off";"turn the plug off";"Turn the plug off."
19997;iot;wemo_off;"turn off [device_type : kettle socket]";"turn off kettle socket";"turn off socketname"
25274;iot;wemo_off;"deactivate [device_type : smart plug socket]";"deactivate smart plug socket";"deactivate smart plug socket"
14257;iot;wemo_off;"please turn off the [device_type : smart plug socket]";"please turn off the smart plug socket";"Please turn off the smart plug socket."
19998;iot;wemo_off;"turn off [device_type : plug]";"turn off plug";"turn off plug"
26599;iot;wemo_off;"turn off the [device_type : lamp socket]";"turn off the lamp socket";"Turn of the lamp socket"
10714;iot;wemo_off;"turn off the [device_type : socket]";"turn off the socket";"Turn off the socket"
18763;iot;wemo_off;"please turn off the [device_type : wemo plug socket]";"please turn off the wemo plug socket";"Please turn off the Wemo plug socket."
3608;iot;wemo_off;"turn off [device_type : smart socket]";"turn off smart socket";"Turn off smart socket"
18765;iot;wemo_off;"turn off the [device_type : wemo plug socket]";"turn off the wemo plug socket";"Turn off the Wemo plug socket"
19864;iot;wemo_off;"can you please turn off my [device_type : wemo plug]";"can you please turn off my wemo plug";"Can you please turn off my wemo plug."
null;iot;wemo_off;"[device_type : outlet] off";"outlet off";"null"
19996;iot;wemo_off;"turn off sockets";"turn off sockets";"Turn off sockets"
22301;iot;wemo_off;"turn the [device_type : wemo] off";"turn the wemo off";"Turn the wemo off."
10246;iot;wemo_off;"turn off my [device_type : wemo socket]";"turn off my wemo socket";"Turn off my wemo socket"
21991;iot;wemo_off;"turn off the [device_type : smart socket]";"turn off the smart socket";"Turn off the smart socket"
22141;iot;wemo_off;"please turn off [device_type : wemo socket]";"please turn off wemo socket";"Please turn off wemo socket."
11895;iot;wemo_off;"shut off the socket";"shut off the socket";"Shut off the socket"
12493;iot;wemo_off;"turn off the [device_type : wemo plug]";"turn off the wemo plug";"Turn off the wemo plug"
22021;iot;wemo_off;"turn socket off";"turn socket off";"turn socket off"
