answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
282;general;confirm;"would you confirm the question.";"would you confirm the question.";"would you confirm the question."
479;general;confirm;"could you check my last question.";"could you check my last question.";"could you check my last question."
156;general;confirm;"will you check and confirm command please.";"will you check and confirm command please.";"will you check and confirm command please."
212;general;confirm;"please will you check it.";"please will you check it.";"please will you check it."
154;general;confirm;"could you check and confirm what i last said please.";"could you check and confirm what i last said please.";"could you check and confirm what i last said please."
528;general;confirm;"will you please check it.";"will you please check it.";"will you please check it."
7;general;confirm;"please can you confirm the question.";"please can you confirm the question.";"please can you confirm the question."
180;general;confirm;"check the details please.";"check the details please.";"check the details please."
243;general;confirm;"can you confirm it.";"can you confirm it.";"can you confirm it."
462;general;confirm;"please can you confirm it.";"please can you confirm it.";"please can you confirm it."
26;general;confirm;"can you check and confirm the question please.";"can you check and confirm the question please.";"can you check and confirm the question please."
299;general;confirm;"i like you check question please.";"i like you check question please.";"i like you check question please."
77;general;confirm;"did you get what just said correctly?";"did you get what just said correctly?";"did you get what just said correctly?"
407;general;confirm;"did you get what said correctly?";"did you get what said correctly?";"did you get what said correctly?"
417;general;confirm;"i like you to check and confirm what i said please.";"i like you to check and confirm what i said please.";"i like you to check and confirm what i said please."
9;general;confirm;"would you please confirm the instruction.";"would you please confirm the instruction.";"would you please confirm the instruction."
461;general;confirm;"check and confirm my last question please.";"check and confirm my last question please.";"check and confirm my last question please."
466;general;confirm;"will you check and confirm the instruction please.";"will you check and confirm the instruction please.";"will you check and confirm the instruction please."
320;general;confirm;"can you check last thing said please.";"can you check last thing said please.";"can you check last thing said please."
333;general;confirm;"confirm the question please.";"confirm the question please.";"confirm the question please."
533;general;confirm;"confirm last thing said please.";"confirm last thing said please.";"confirm last thing said please."
188;general;confirm;"please check last thing i said.";"please check last thing i said.";"please check last thing i said."
121;general;confirm;"i like you check and confirm last thing i said please.";"i like you check and confirm last thing i said please.";"i like you check and confirm last thing i said please."
336;general;confirm;"please confirm it.";"please confirm it.";"please confirm it."
251;general;confirm;"i like you confirm my last command please.";"i like you confirm my last command please.";"i like you confirm my last command please."
128;general;confirm;"will you check and confirm instruction.";"will you check and confirm instruction.";"will you check and confirm instruction."
510;general;confirm;"can you check last thing i said please.";"can you check last thing i said please.";"can you check last thing i said please."
300;general;confirm;"would you confirm last thing i said please.";"would you confirm last thing i said please.";"would you confirm last thing i said please."
345;general;confirm;"can you check and confirm detail please.";"can you check and confirm detail please.";"can you check and confirm detail please."
328;general;confirm;"did you get my last command correctly?";"did you get my last command correctly?";"did you get my last command correctly?"
525;general;confirm;"would you check and confirm the question please.";"would you check and confirm the question please.";"would you check and confirm the question please."
252;general;confirm;"please check detail.";"please check detail.";"please check detail."
13;general;confirm;"can you please confirm what said.";"can you please confirm what said.";"can you please confirm what said."
192;general;confirm;"did you get it correctly?";"did you get it correctly?";"did you get it correctly?"
260;general;confirm;"please confirm my last instruction.";"please confirm my last instruction.";"please confirm my last instruction."
97;general;confirm;"would you please confirm that.";"would you please confirm that.";"would you please confirm that."
22;general;confirm;"can you check and confirm my last command please.";"can you check and confirm my last command please.";"can you check and confirm my last command please."
12;general;confirm;"would you please check and confirm what i last said.";"would you please check and confirm what i last said.";"would you please check and confirm what i last said."
286;general;confirm;"would you please check my last command.";"would you please check my last command.";"would you please check my last command."
125;general;confirm;"could you confirm my last instruction please.";"could you confirm my last instruction please.";"could you confirm my last instruction please."
292;general;confirm;"could you confirm what i just said please.";"could you confirm what i just said please.";"could you confirm what i just said please."
521;general;confirm;"please will you confirm command.";"please will you confirm command.";"please will you confirm command."
396;general;confirm;"will you check and confirm my last command.";"will you check and confirm my last command.";"will you check and confirm my last command."
497;general;confirm;"can you check my last question.";"can you check my last question.";"can you check my last question."
147;general;confirm;"check the command.";"check the command.";"check the command."
84;general;confirm;"can you please check what i last said.";"can you please check what i last said.";"can you please check what i last said."
412;general;confirm;"please would you check and confirm it.";"please would you check and confirm it.";"please would you check and confirm it."
389;general;confirm;"could you please check and confirm my last command.";"could you please check and confirm my last command.";"could you please check and confirm my last command."
86;general;confirm;"check that.";"check that.";"check that."
177;general;confirm;"please will you check last thing said.";"please will you check last thing said.";"please will you check last thing said."
191;general;confirm;"check and confirm what i said please.";"check and confirm what i said please.";"check and confirm what i said please."
207;general;confirm;"please check and confirm command.";"please check and confirm command.";"please check and confirm command."
229;general;confirm;"please check and confirm detail.";"please check and confirm detail.";"please check and confirm detail."
376;general;confirm;"please check my last question.";"please check my last question.";"please check my last question."
272;general;confirm;"i'd like you check details please.";"i'd like you check details please.";"i'd like you check details please."
270;general;confirm;"please can you check that.";"please can you check that.";"please can you check that."
29;general;confirm;"could you please check that.";"could you please check that.";"could you please check that."
355;general;confirm;"did you get last thing said correctly?";"did you get last thing said correctly?";"did you get last thing said correctly?"
138;general;confirm;"would you please check that.";"would you please check that.";"would you please check that."
472;general;confirm;"i'd like you to check and confirm last thing said please.";"i'd like you to check and confirm last thing said please.";"i'd like you to check and confirm last thing said please."
113;general;confirm;"could you check what just said.";"could you check what just said.";"could you check what just said."
21;general;confirm;"check and confirm the last thing said please.";"check and confirm the last thing said please.";"check and confirm the last thing said please."
307;general;confirm;"please check and confirm the last thing said.";"please check and confirm the last thing said.";"please check and confirm the last thing said."
242;general;confirm;"please check and confirm the command.";"please check and confirm the command.";"please check and confirm the command."
475;general;confirm;"i want you confirm that please.";"i want you confirm that please.";"i want you confirm that please."
92;general;confirm;"i like you to confirm the details please.";"i like you to confirm the details please.";"i like you to confirm the details please."
448;general;confirm;"did you get the last thing i said correctly?";"did you get the last thing i said correctly?";"did you get the last thing i said correctly?"
263;general;confirm;"could you confirm detail please.";"could you confirm detail please.";"could you confirm detail please."
257;general;confirm;"confirm that please.";"confirm that please.";"confirm that please."
119;general;confirm;"check and confirm the details please.";"check and confirm the details please.";"check and confirm the details please."
115;general;confirm;"would you please check instruction.";"would you please check instruction.";"would you please check instruction."
1;general;confirm;"did you get that correctly?";"did you get that correctly?";"did you get that correctly?"
94;general;confirm;"did you get what i just said correctly?";"did you get what i just said correctly?";"did you get what i just said correctly?"
548;general;confirm;"did you get the last thing said correctly?";"did you get the last thing said correctly?";"did you get the last thing said correctly?"
142;general;confirm;"can you check and confirm details.";"can you check and confirm details.";"can you check and confirm details."
98;general;confirm;"could you check and confirm detail please.";"could you check and confirm detail please.";"could you check and confirm detail please."
274;general;confirm;"please confirm my last question.";"please confirm my last question.";"please confirm my last question."
204;general;confirm;"please can you check and confirm last thing i said.";"please can you check and confirm last thing i said.";"please can you check and confirm last thing i said."
494;general;confirm;"i would like you check detail please.";"i would like you check detail please.";"i would like you check detail please."
16;general;confirm;"please will you check and confirm it.";"please will you check and confirm it.";"please will you check and confirm it."
319;general;confirm;"confirm the last thing said please.";"confirm the last thing said please.";"confirm the last thing said please."
116;general;confirm;"would you check what i said.";"would you check what i said.";"would you check what i said."
273;general;confirm;"check last thing i said please.";"check last thing i said please.";"check last thing i said please."
218;general;confirm;"i want you to check what just said please.";"i want you to check what just said please.";"i want you to check what just said please."
238;general;confirm;"could you please check what said.";"could you please check what said.";"could you please check what said."
89;general;confirm;"i want you check the last thing i said please.";"i want you check the last thing i said please.";"i want you check the last thing i said please."
518;general;confirm;"i would like you to check and confirm my last command please.";"i would like you to check and confirm my last command please.";"i would like you to check and confirm my last command please."
202;general;confirm;"will you please check and confirm detail.";"will you please check and confirm detail.";"will you please check and confirm detail."
382;general;confirm;"would you please confirm the last thing i said.";"would you please confirm the last thing i said.";"would you please confirm the last thing i said."
76;general;confirm;"can you please check my last question.";"can you please check my last question.";"can you please check my last question."
359;general;confirm;"i would like you to check what last said please.";"i would like you to check what last said please.";"i would like you to check what last said please."
450;general;confirm;"please can you confirm last thing said.";"please can you confirm last thing said.";"please can you confirm last thing said."
393;general;confirm;"could you confirm the question please.";"could you confirm the question please.";"could you confirm the question please."
164;general;confirm;"would you check and confirm the details please.";"would you check and confirm the details please.";"would you check and confirm the details please."
314;general;confirm;"please can you check the last thing i said.";"please can you check the last thing i said.";"please can you check the last thing i said."
193;general;confirm;"i would like you check details please.";"i would like you check details please.";"i would like you check details please."
129;general;confirm;"can you please check and confirm the detail.";"can you please check and confirm the detail.";"can you please check and confirm the detail."
334;general;confirm;"i'd like you check what i last said please.";"i'd like you check what i last said please.";"i'd like you check what i last said please."
214;general;confirm;"would you please check the detail.";"would you please check the detail.";"would you please check the detail."
387;general;confirm;"could you please confirm the details.";"could you please confirm the details.";"could you please confirm the details."
196;general;confirm;"i'd like you confirm it please.";"i'd like you confirm it please.";"i'd like you confirm it please."
107;general;confirm;"i like you to confirm question please.";"i like you to confirm question please.";"i like you to confirm question please."
259;general;confirm;"can you please check and confirm what just said.";"can you please check and confirm what just said.";"can you please check and confirm what just said."
326;general;confirm;"will you please check and confirm the last thing i said.";"will you please check and confirm the last thing i said.";"will you please check and confirm the last thing i said."
306;general;confirm;"check and confirm that please.";"check and confirm that please.";"check and confirm that please."
311;general;confirm;"i would like you to check the question please.";"i would like you to check the question please.";"i would like you to check the question please."
440;general;confirm;"i want you to confirm what i last said please.";"i want you to confirm what i last said please.";"i want you to confirm what i last said please."
302;general;confirm;"i like you check what i last said please.";"i like you check what i last said please.";"i like you check what i last said please."
331;general;confirm;"would you confirm the detail.";"would you confirm the detail.";"would you confirm the detail."
493;general;confirm;"please will you check and confirm what i just said.";"please will you check and confirm what i just said.";"please will you check and confirm what i just said."
108;general;confirm;"can you please confirm last thing i said.";"can you please confirm last thing i said.";"can you please confirm last thing i said."
422;general;confirm;"i would like you confirm last thing i said please.";"i would like you confirm last thing i said please.";"i would like you confirm last thing i said please."
255;general;confirm;"check and confirm the detail please.";"check and confirm the detail please.";"check and confirm the detail please."
104;general;confirm;"i like you check it please.";"i like you check it please.";"i like you check it please."
415;general;confirm;"would you please check and confirm detail.";"would you please check and confirm detail.";"would you please check and confirm detail."
275;general;confirm;"did you get the instruction correctly?";"did you get the instruction correctly?";"did you get the instruction correctly?"
70;general;confirm;"would you please check it.";"would you please check it.";"would you please check it."
527;general;confirm;"confirm detail please.";"confirm detail please.";"confirm detail please."
208;general;confirm;"check last thing i said.";"check last thing i said.";"check last thing i said."
438;general;confirm;"check what just said please.";"check what just said please.";"check what just said please."
505;general;confirm;"check question.";"check question.";"check question."
25;general;confirm;"i like you confirm last thing said please.";"i like you confirm last thing said please.";"i like you confirm last thing said please."
279;general;confirm;"i like you confirm details please.";"i like you confirm details please.";"i like you confirm details please."
36;general;confirm;"check and confirm last thing said please.";"check and confirm last thing said please.";"check and confirm last thing said please."
131;general;confirm;"would you check and confirm last thing said please.";"would you check and confirm last thing said please.";"would you check and confirm last thing said please."
201;general;confirm;"would you check my last question please.";"would you check my last question please.";"would you check my last question please."
390;general;confirm;"will you confirm that please.";"will you confirm that please.";"will you confirm that please."
365;general;confirm;"could you please confirm what i just said.";"could you please confirm what i just said.";"could you please confirm what i just said."
100;general;confirm;"i'd like you to confirm that please.";"i'd like you to confirm that please.";"i'd like you to confirm that please."
231;general;confirm;"will you check what i said please.";"will you check what i said please.";"will you check what i said please."
135;general;confirm;"could you check that please.";"could you check that please.";"could you check that please."
480;general;confirm;"please will you check details.";"please will you check details.";"please will you check details."
523;general;confirm;"please will you confirm the last thing said.";"please will you confirm the last thing said.";"please will you confirm the last thing said."
123;general;confirm;"would you please check and confirm it.";"would you please check and confirm it.";"would you please check and confirm it."
197;general;confirm;"could you check instruction.";"could you check instruction.";"could you check instruction."
176;general;confirm;"i like you to check it please.";"i like you to check it please.";"i like you to check it please."
71;general;confirm;"could you check it.";"could you check it.";"could you check it."
