answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
8131;iot;hue_lightoff;"switch off [device_type : main light]";"switch off main light";"Switch off main light"
7248;iot;hue_lightoff;"off all the [device_type : lights on the right side]";"off all the lights on the right side";"off all the lights on the right side"
23411;iot;hue_lightoff;"turn off lights in [house_place : bathroom]";"turn off lights in bathroom";"turn off lights in bathroom"
18059;iot;hue_lightoff;"[house_place : bedroom] lights off now";"bedroom lights off now";"Bedroom lights off now."
2257;iot;hue_lightoff;"turn off the lights in the [house_place : bathroom]";"turn off the lights in the bathroom";"Turn off the lights in the bathroom"
11287;iot;hue_lightoff;"please turn off the lights in the [house_place : kitchen]";"please turn off the lights in the kitchen";"Please turn off the lights in the kitchen."
22836;iot;hue_lightoff;"turn off the [house_place : room] light";"turn off the room light";"Turn off the room light."
10754;iot;hue_lightoff;"power off the current";"power off the current";"power off the current"
22025;iot;hue_lightoff;"turn off lights of [house_place : kitchen]";"turn off lights of kitchen";"turn off lights of kitchen"
2571;iot;hue_lightoff;"by main power off";"by main power off";"by main power off"
7150;iot;hue_lightoff;"turn off the upstairs [house_place : bathroom] light";"turn off the upstairs bathroom light";"Turn off the upstairs bathroom light."
13218;iot;hue_lightoff;"please turn off my [house_place : patio] lights";"please turn off my patio lights";"pls turn off my patio lights"
40;iot;hue_lightoff;"turn the lights off please";"turn the lights off please";"turn the lights off please"
26569;iot;hue_lightoff;"can you make sure the [house_place : kitchen] light is off";"can you make sure the kitchen light is off";"Can you make sure the kitchen light is off?"
3969;iot;hue_lightoff;"could you turn the light off";"could you turn the light off";"Could you turn the light off?"
3967;iot;hue_lightoff;"turn the [house_place : living room's] light off";"turn the living room's light off";"Turn the living room's light off"
2101;iot;hue_lightoff;"switch off the lights";"switch off the lights";"Switch off the lights"
16364;iot;hue_lightoff;"can you turn off my [device_type : desk lamp]";"can you turn off my desk lamp";"Can you turn off my desk lamp?"
5977;iot;hue_lightoff;"turn the [device_type : left light] off";"turn the left light off";"Turn the left light off"
12331;iot;hue_lightoff;"turn off lights in my [house_place : room]";"turn off lights in my room";"turn off lights in my room"
3151;iot;hue_lightoff;"turn the lights off";"turn the lights off";"Turn the lights off"
8026;iot;hue_lightoff;"shift the light off";"shift the light off";"shift the light off"
26631;iot;hue_lightoff;"turn off [house_place : bedroom] light at [time : nine thirty pm]";"turn off bedroom light at nine thirty pm";"Turn off bedroom light at 9:30 pm."
21853;iot;hue_lightoff;"turn off this light";"turn off this light";"Turn off this light"
11577;iot;hue_lightoff;"[house_place : office] lights off";"office lights off";"PDA office lights off"
13216;iot;hue_lightoff;"please turn off all the lights outdoor";"please turn off all the lights outdoor";"pls turn off all the lights outdoor"
21339;iot;hue_lightoff;"turn lights off in [house_place : kitchen]";"turn lights off in kitchen";"Turn lights off in kitchen."
12599;iot;hue_lightoff;"please turn off the lights in this [house_place : room]";"please turn off the lights in this room";"Please turn off the lights in this room."
2259;iot;hue_lightoff;"lights off [house_place : bathroom]";"lights off bathroom";"Lights off, bathroom."
21611;iot;hue_lightoff;"i want the lights turned off";"i want the lights turned off";"PDA, I want the lights turned off"
10441;iot;hue_lightoff;"could you please turn off the overhead light in the [house_place : kitchen]";"could you please turn off the overhead light in the kitchen";"Could you please turn off the overhead light in the kitchen"
13132;iot;hue_lightoff;"turn [house_place : room] lights off now";"turn room lights off now";"Turn room lights off now."
11922;iot;hue_lightoff;"turn off lighting";"turn off lighting";"turn off lighting"
12806;iot;hue_lightoff;"turn down the lights to medium";"turn down the lights to medium";"Turn down the lights to medium"
18922;iot;hue_lightoff;"shut the lights off in my [house_place : bedroom] please";"shut the lights off in my bedroom please";"Shut the lights off in my bedroom please"
9847;iot;hue_lightoff;"turn off the lights";"turn off the lights";"Turn off the lights"
16531;iot;hue_lightoff;"turn off my [house_place : room] lights";"turn off my room lights";"Turn off my room lights."
8600;iot;hue_lightoff;"turn [house_place : bedroom] lights off";"turn bedroom lights off";"Turn bedroom lights off"
15031;iot;hue_lightoff;"can you turn off the lights";"can you turn off the lights";"Can you turn off the lights?"
3728;iot;hue_lightoff;"please turn lights off";"please turn lights off";"please turn lights off"
23390;iot;hue_lightoff;"please turn the lights off";"please turn the lights off";"Please turn the lights off"
4400;iot;hue_lightoff;"shut off the lights in the [house_place : kitchen]";"shut off the lights in the kitchen";"Shut off the lights in the kitchen"
24236;iot;hue_lightoff;"turn [house_place : room] light off";"turn room light off";"turn room light off"
13775;iot;hue_lightoff;"cut off the [house_place : bathroom] lights";"cut off the bathroom lights";"cut off the bathroom lights"
2103;iot;hue_lightoff;"i want the light switched off can you do it for me";"i want the light switched off can you do it for me";"I want the light switched off. Can you do it for me?"
12143;iot;hue_lightoff;"can you turn my [house_place : bathroom] lights off";"can you turn my bathroom lights off";"can you turn my bathroom lights off"
20787;iot;hue_lightoff;"turn the light off in the [house_place : living room]";"turn the light off in the living room";"Olly, Turn the light off in the living room"
11778;iot;hue_lightoff;"light off now";"light off now";"PDA light off now"
23412;iot;hue_lightoff;"turn off lights in [house_place : bedroom]";"turn off lights in bedroom";"turn off lights in bedroom"
15330;iot;hue_lightoff;"turn the [house_place : living rooms] lights off";"turn the living rooms lights off";"Turn the living rooms lights off."
26570;iot;hue_lightoff;"did i leave the light on in the [house_place : garage]";"did i leave the light on in the garage";"Did i leave the light on in the Garage?"
11921;iot;hue_lightoff;"can you turn off one of my [device_type : lights] in my [house_place : bathroom]";"can you turn off one of my lights in my bathroom";"can you turn off one of my lights in my bathroom"
21337;iot;hue_lightoff;"please turn the lights off in the [house_place : bathroom]";"please turn the lights off in the bathroom";"Please turn the lights off in the bathroom."
22835;iot;hue_lightoff;"turn the [house_place : room] light off";"turn the room light off";"Turn the room light off."
