answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
null;datetime;query;"give me time";"give me time";"null"
20664;datetime;query;"could you please tell me what time is in [place_name : singapore]";"could you please tell me what time is in singapore";"could you please tell me what time is in singapore."
17895;datetime;query;"report the current time in [place_name : oakland]";"report the current time in oakland";"Report the current time in oakland."
12995;datetime;query;"the [date : twenty second] is on what day of the week";"the twenty second is on what day of the week";"The 22nd is on what day of the week?"
8882;datetime;query;"what week of the year does the [time : summer season] start";"what week of the year does the summer season start";"What week of the year does the summer season start?"
14552;datetime;query;"what is the correct time";"what is the correct time";"What is the correct time?"
13559;datetime;query;"what is the time in [place_name : beijing]";"what is the time in beijing";"What is the time in Beijing"
4962;datetime;query;"is there a national holiday on [date : fifth december]";"is there a national holiday on fifth december";"Is there a national holiday on 5th december?"
10914;datetime;query;"the [date : last friday of the month] lands on what day";"the last friday of the month lands on what day";"The last Friday of the month lands on what day?"
7547;datetime;query;"what time in [place_name : las vegas]";"what time in las vegas";"what time in Las Vegas?"
11170;datetime;query;"what is [date : mondays] actual date";"what is mondays actual date";"What is Mondays actual date?"
17088;datetime;query;"give me the time in [place_name : phoenix az]";"give me the time in phoenix az";"Give me the time in Phoenix, AZ"
16619;datetime;query;"what is the time in [place_name : china]";"what is the time in china";"What is the time in China ?"
13414;datetime;query;"what is the current time in [place_name : chennai]";"what is the current time in chennai";"what is the current time in chennai"
11243;datetime;query;"[place_name : new york] time";"new york time";"Olly New york time?"
26095;datetime;query;"what time is it in [time_zone : central] time zone";"what time is it in central time zone";"What time is it in Central time zone?"
15276;datetime;query;"can you tell me the time in [place_name : new york]";"can you tell me the time in new york";"can you tell me the time in new york"
18776;datetime;query;"what's the time in [time_zone : this time zone]";"what's the time in this time zone";"PDA, What's the time in this timezone?"
2932;datetime;query;"what is time now in [place_name : california]";"what is time now in california";"What is time now in California."
