answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
14648;takeaway;order;"please call [business_name : china wok] and order [food_type : number seven]";"please call china wok and order number seven";"Please call China Wok and order number 7."
3542;takeaway;order;"place order to [food_type : pizza] takeout for [time : seven pm]";"place order to pizza takeout for seven pm";"place order to pizza takeout for 7 p.m."
10129;takeaway;order;"can i order out";"can i order out";"Can I order out?"
13970;takeaway;order;"order two large [food_type : pizzas and pieces of hot wings] from [business_name : dominoes]";"order two large pizzas and pieces of hot wings from dominoes";"Order two large pizzas and 2p pieces of hot wings from dominoes."
12069;takeaway;order;"order me a bowl from [business_name : chipotle] takeout";"order me a bowl from chipotle takeout";"order me a bowl from chipotle takeout"
14429;takeaway;order;"order a [food_type : pizza] for me";"order a pizza for me";"order a pizza for me"
9764;takeaway;order;"place order for a [food_type : chicken manchow soup] from [business_name : wangs kitchen] [business_type : restaurant]";"place order for a chicken manchow soup from wangs kitchen restaurant";"Place order for a chicken manchow soup from Wangs Kitchen restaurant."
27018;takeaway;order;"hey order a [food_type : pizza pie with extra cheese]";"hey order a pizza pie with extra cheese";"Hey Olly, order a pizza pie with extra cheese."
25869;takeaway;order;"i want to order food";"i want to order food";"I want to order food"
9957;takeaway;order;"call for [order_type : takeout]";"call for takeout";"Call for takeout"
18037;takeaway;order;"is there any good [food_type : chinese] [order_type : takeout] that's open late";"is there any good chinese takeout that's open late";"Is there any good Chinese takeout that's open late?"
5834;takeaway;order;"i would like to [order_type : pickup] a veggie sub with a cookie from subway";"i would like to pickup a veggie sub with a cookie from subway";"I would like to pickup a veggie sub with a cookie from Subway."
10620;takeaway;order;"pull up the menu for the closest [food_type : mexican] [business_type : restaurant]";"pull up the menu for the closest mexican restaurant";"Pull up the menu for the closest Mexican restaurant?"
14408;takeaway;order;"what [order_type : takeout] places are near me";"what takeout places are near me";"What takeout places are near me?"
2952;takeaway;order;"place order of one [food_type : pizza]";"place order of one pizza";"Place order of one pizza."
9443;takeaway;order;"find me the nearest [food_type : chinese] for [order_type : delivery]";"find me the nearest chinese for delivery";"find me the nearest Chinese for delivery"
1918;takeaway;order;"order a [food_type : pizza] from [business_name : pizza express]";"order a pizza from pizza express";"Order a pizza from Pizza Express"
16860;takeaway;order;"get me a [food_type : turkey jimmy johns sub] and set it to be delivered at [time : five pm] [timeofday : tonight]";"get me a turkey jimmy johns sub and set it to be delivered at five pm tonight";"get me a turkey jimmy johns sub, and set it to be delivered at 5pm tonight"
6015;takeaway;order;"order a [food_type : smoked meat platter] from [business_name : beanos]";"order a smoked meat platter from beanos";"Order a smoked meat platter from Beanos"
11884;takeaway;order;"order me some [business_name : chipotle]";"order me some chipotle";"Order me some chipotle"
1719;takeaway;order;"could you please help me to order some [food_type : sushi] from [business_name : deliveroo]";"could you please help me to order some sushi from deliveroo";"Could you please help me to order some Sushi from Deliveroo?"
10544;takeaway;order;"order [food_type : chinese] food";"order chinese food";"order chinese food"
16623;takeaway;order;"show me [food_type : chinese] food near me";"show me chinese food near me";"PDa, show me Chinese food near me"
17720;takeaway;order;"ordering food";"ordering food";"Ordering food"
7191;takeaway;order;"checkout top [business_type : restaurant] near me and order [food_type : shahi panner]";"checkout top restaurant near me and order shahi panner";"Checkout top restaurant near me and order Shahi panner."
7226;takeaway;order;"find and order [food_type : handi paneer] in [business_name : pavitra]";"find and order handi paneer in pavitra";"Find and Order handi paneer in pavitra."
3628;takeaway;order;"order food";"order food";"Order food"
6014;takeaway;order;"order a [food_type : ham and cheese sandwich] from [business_name : subway]";"order a ham and cheese sandwich from subway";"Order a ham and cheese sandwich from Subway"
14409;takeaway;order;"can you look up [food_type : chinese] [order_type : takeout] near here";"can you look up chinese takeout near here";"Can you look up Chinese takeout near here?"
25859;takeaway;order;"any low priced [food_type : delicacies]";"any low priced delicacies";"any low priced delicacies."
8511;takeaway;order;"how much does [food_type : general tsos chicken] cost at [business_name : peking garden]";"how much does general tsos chicken cost at peking garden";"How much does General Tsos chicken cost a Peking Garden?"
