answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
8641;play;radio;"play [radio_name : radia]";"play radia";"play radia"
14351;play;radio;"play [radio_name : nine hundred and seventy one]";"play nine hundred and seventy one";"play 97.1"
2068;play;radio;"play the radio";"play the radio";"Play the radio."
19897;play;radio;"turn on the [radio_name : local] radio";"turn on the local radio";"Echo, turn on the local radio"
25957;play;radio;"please turn on the sean hannity show on [radio_name : am]";"please turn on the sean hannity show on am";"Please turn on the Sean Hannity show on AM."
2333;play;radio;"play [radio_name : national public radio]";"play national public radio";"play npr"
16174;play;radio;"play [radio_name : one thousand and thirty seven fm]";"play one thousand and thirty seven fm";"Play 103.7 FM."
26028;play;radio;"show me upcoming programmes on [radio_name : one hundred and five point one]";"show me upcoming programmes on one hundred and five point one";"Show me upcoming programmes on 105.1"
15841;play;radio;"load sirius and play a [radio_name : rock and roll show]";"load sirius and play a rock and roll show";"Load Sirius and play a rock and roll show."
22956;play;radio;"tune into the [radio_name : nearest english fm station]";"tune into the nearest english fm station";"tune into the nearest English fm station"
13422;play;radio;"please play some songs for [relation : kids]";"please play some songs for kids";"pls play some songs for kids"
21181;play;radio;"find joel osteen's broadcast on [app_name : sirius]";"find joel osteen's broadcast on sirius";"Find Joel Osteen's broadcast on sirius?"
14547;play;radio;"please go to the [radio_name : local sports talk show] on the radio";"please go to the local sports talk show on the radio";"Please go to the local sports talk show on the radio."
19109;play;radio;"play [person : alex jones] in radio";"play alex jones in radio";"play alex jones in radio"
3963;play;radio;"play radio [radio_name : javan]";"play radio javan";"play (radio station) on (radio app)"
20234;play;radio;"press play on the radio";"press play on the radio";"Press play on the radio"
2287;play;radio;"play my [music_genre : rock] station on [app_name : pandora]";"play my rock station on pandora";"Play my Rock Station on Pandora"
1693;play;radio;"play music radio for me";"play music radio for me";"Play music radio for me"
3160;play;radio;"play me a radio channel for [radio_name : trance music]";"play me a radio channel for trance music";"play me a radio channel for trance music"
20554;play;radio;"play [radio_name : the bob and tom] show";"play the bob and tom show";"Play the Bob and Tom show."
14954;play;radio;"play [radio_name : bbc radio one]";"play bbc radio one";"play BBC radio one"
3721;play;radio;"play my favorite station";"play my favorite station";"play my favorite station"
23857;play;radio;"i would like to listen to this programme on radio";"i would like to listen to this programme on radio";"I would like to listen to this programme on radio"
26974;play;radio;"play [radio_name : bbc radio four]";"play bbc radio four";"play BBC radio four"
22418;play;radio;"turn program on [radio_name : xmtune]";"turn program on xmtune";"Turn (program) on xmtune"
22417;play;radio;"please play program on [radio_name : xmtune]";"please play program on xmtune";"Please play (program) on xmtune"
8927;play;radio;"play an fm";"play an fm";"play an FM"
10948;play;radio;"play random radio station";"play random radio station";"Play random radio station."
19477;play;radio;"play [radio_name : npr] through my [house_place : living room] stereo";"play npr through my living room stereo";"Play NPR through my living room stereo"
22086;play;radio;"change channel to [radio_name : one hundred and three]";"change channel to one hundred and three";"Change channel to"
3161;play;radio;"play me [radio_name : news] radio channel";"play me news radio channel";"play me news radio channel"
24849;play;radio;"tune into the [person : joe rogan] show [time : in ten minutes]";"tune into the joe rogan show in ten minutes";"Tune into the Joe Rogan show in 10 minutes."
21163;play;radio;"play radio [radio_name : ninety five point five]";"play radio ninety five point five";"play radio 95.5"
19899;play;radio;"turn on a [music_genre : country] music station";"turn on a country music station";"Echo, turn on a Country music station"
26806;play;radio;"start my playlist on [radio_name : i heart radio]";"start my playlist on i heart radio";"start my playlist on I Heart Radio"
601;play;radio;"tune in some radio";"tune in some radio";"Tune in some radio"
22235;play;radio;"play any [music_genre : pop] [radio_name : fm] channel";"play any pop fm channel";"play any pop fm channel"
26447;play;radio;"radio please";"radio please";"PDA, Radio Please"
5643;play;radio;"play radio";"play radio";"play radio!"
24398;play;radio;"change the station to [radio_name : eighty two point four]";"change the station to eighty two point four";"Change the station to 82.4"
15008;play;radio;"i need you to find a good channels to listen to";"i need you to find a good channels to listen to";"I need you to find a good channel to listen to"
26262;play;radio;"could you please help me in listening to the radio";"could you please help me in listening to the radio";"could you please help me in listening to the radio."
19835;play;radio;"turn on my [app_name : pandora] radio";"turn on my pandora radio";"Turn on my pandora radio"
5642;play;radio;"put the radio on";"put the radio on";"put the radio on"
24800;play;radio;"rj raunak programme play on [radio_name : ninety two point seven fm]";"rj raunak programme play on ninety two point seven fm";"rj raunak programme play on 92.7 fm"
8642;play;radio;"open [radio_name : radia]";"open radia";"open radia"
12311;play;radio;"play new radio channel";"play new radio channel";"play x radio channel"
23323;play;radio;"turn on [radio_name : one oh seven point five]";"turn on one oh seven point five";"Turn on 107.5."
16111;play;radio;"can you turn [radio_name : msnbc] on in the car";"can you turn msnbc on in the car";"Can you turn MSNBC on in the car?"
10485;play;radio;"open [app_name : pandora] app";"open pandora app";"Open Pandora app."
27081;play;radio;"i want to hear program one on [radio_name : lastfm]";"i want to hear program one on lastfm";"I want to hear program 1 on Last.FM."
27080;play;radio;"go to [app_name : sirius] and play the hip hop channel";"go to sirius and play the hip hop channel";"Go to Sirius and play the hip-hop channel"
22419;play;radio;"play program on [radio_name : xmtune] please";"play program on xmtune please";"play (program) on xmtune please"
19089;play;radio;"i want to listen to the new [person : sam harris] episode";"i want to listen to the new sam harris episode";"i want to listen to the new sam harris epsiode"
20487;play;radio;"please play [radio_name : red fm]";"please play red fm";"Please play red fm"
16757;play;radio;"switch on the radio";"switch on the radio";"Switch on the radio"
8867;play;radio;"can you start [radio_name : fm eight hundred and ninety] radio channel";"can you start fm eight hundred and ninety radio channel";"Can you start FM 89.0 radio channel"
26353;play;radio;"play [radio_name : radio mirchi] for me";"play radio mirchi for me";"Play radio mirchi for me"
7779;play;radio;"play old";"play old";"play old"
21433;play;radio;"i would like to listen to howard stern on [radio_name : ninety seven point nine fm]";"i would like to listen to howard stern on ninety seven point nine fm";"I would like to listen to howard stern on 97.9 fm"
22234;play;radio;"play news in [radio_name : fm]";"play news in fm";"play news in fm"
22443;play;radio;"switch on [radio_name : radio mango]";"switch on radio mango";"Switch on Radio mango"
13687;play;radio;"play the last radio channel";"play the last radio channel";"Play the last radio channel."
7778;play;radio;"play am";"play am";"play am"
25940;play;radio;"tune into [radio_name : ninety nine point five fm]";"tune into ninety nine point five fm";"Tune into 99.5 FM."
