answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
3788;datetime;convert;"if it's [time : eight pm] on the [place_name : east coast] what time is it in [place_name : sacramento california]";"if it's eight pm on the east coast what time is it in sacramento california";"Cortana, if it's 8 PM on the east coast, what time is it in Sacramento, California?"
5983;datetime;convert;"if it is [time : four pm] in [place_name : missouri] what time is it in [place_name : london]";"if it is four pm in missouri what time is it in london";"If it is four pm in Missouri, what time is it in London?"
13243;datetime;convert;"can you please change the time zone to [place_name : us]";"can you please change the time zone to us";"can u pls change the timezone to us"
21840;datetime;convert;"which time zone are we in please change to [time_zone : current]";"which time zone are we in please change to current";"Which time zone are we in? Please change to current"
13244;datetime;convert;"please change time zone to [place_name : canada]";"please change time zone to canada";"pls change timezone to canada"
12729;datetime;convert;"what time will it be locally at [time : nine am] [place_name : bangalore] [place_name : india] time";"what time will it be locally at nine am bangalore india time";"PDA, what time will it be locally at 9AM Bangalore, India, time?"
9259;datetime;convert;"it is [time : ten am] in [time_zone : eastern] standard time what time it is now it [time_zone : pacific] standard time";"it is ten am in eastern standard time what time it is now it pacific standard time";"It is 10:00 am in Eastern Standard Time, what time it is now it Pacific Standard Time?"
16054;datetime;convert;"change [time_zone : mountain] standard to [time_zone : pacific]";"change mountain standard to pacific";"change mountain standard to pacific"
2165;datetime;convert;"if it is [timeofday : noon] in [place_name : virginia] what time is it in [place_name : california]";"if it is noon in virginia what time is it in california";"If it is noon in Virginia, what time is it in California?"
21839;datetime;convert;"switch to [time_zone : eastern] time zone";"switch to eastern time zone";"Switch to X time zone"
13245;datetime;convert;"please change time zone to [place_name : india]";"please change time zone to india";"pls change timezone to india"
4993;datetime;convert;"change this time to [time_zone : ist]";"change this time to ist";"Change this time to IST"
2937;datetime;convert;"please convert the time of here at [time : nine pm] to [place_name : brasil] time zone";"please convert the time of here at nine pm to brasil time zone";"please convert the time of here at 9 pm to Brasil  timezone"
13055;datetime;convert;"it is [time : nine] here what time is it in [place_name : california]";"it is nine here what time is it in california";"It is 9:00 here. What time is it in California?"
5060;datetime;convert;"what the time difference from here to [place_name : ottawa]";"what the time difference from here to ottawa";"PDA what the time difference from here to Ottawa?"
2166;datetime;convert;"what is the time difference between [time_zone : eastern] time and [time_zone : pacific time]";"what is the time difference between eastern time and pacific time";"What is the time difference between Eastern time and Pacific time?"
8999;datetime;convert;"i need you to convert [time : nine am] [place_name : cst] to [place_name : est] time";"i need you to convert nine am cst to est time";"I need you to convert 9 AM CST to EST time"
1871;datetime;convert;"given it is [time : four thirty five pm] in [place_name : london] what time is it in [place_name : melbourne]";"given it is four thirty five pm in london what time is it in melbourne";"Given it is 4:35 pm in London, what time is it in Melbourne?"
12618;datetime;convert;"what is the time difference between my location and [place_name : hong kong]";"what is the time difference between my location and hong kong";"What is the time difference between my location and Hong Kong?"
21156;datetime;convert;"convert [time : eight am] [place_name : manila] time to [place_name : new york] time";"convert eight am manila time to new york time";"Convert 8 AM Manila time to New York time."
23498;datetime;convert;"set the time zone to [time_zone : g. m. t.]";"set the time zone to g. m. t.";"Set the time zone to gmt"
4749;datetime;convert;"what is the time at [place_name : singapore] when our time is [time : five pm]";"what is the time at singapore when our time is five pm";"What is the time at Singapore when or time is 5 pm"
23497;datetime;convert;"convert time zone to [time_zone : ist]";"convert time zone to ist";"Convert time zone to ist"
19030;datetime;convert;"convert time zone";"convert time zone";"convert time zone"
2164;datetime;convert;"what time is [time : twelve pm] [time_zone : eastern] time in [time_zone : pacific] time";"what time is twelve pm eastern time in pacific time";"What time is 12PM Eastern Time in Pacific Time?"
26097;datetime;convert;"how many hours difference is there between [place_name : london] and [place_name : new york]";"how many hours difference is there between london and new york";"How many hours difference is there between London and New York?"
17781;datetime;convert;"can you change my time zone to [time_zone : central]";"can you change my time zone to central";"Olly can you change my timezone to central?"
16055;datetime;convert;"change my clock to [time_zone : central] time zone from [time_zone : my current zone]";"change my clock to central time zone from my current zone";"change my clock to central time zone from my current zone"
81;datetime;convert;"tell me the time in [time_zone : g. m. t. plus five]";"tell me the time in g. m. t. plus five";"tell me the time in GMT plus 5"
2935;datetime;convert;"please can i know what time will it be at [time : six pm] here in [place_name : australia]";"please can i know what time will it be at six pm here in australia";"please Can i know what time will it be at 6 pm here in Australia?"
8576;datetime;convert;"when it's [time : ten pm] here what time is it in [place_name : brisbane]";"when it's ten pm here what time is it in brisbane";"When it's 10 pm here what time is it in Brisbane?"
22709;datetime;convert;"what is the time difference between [place_name : california] and [place_name : new york]";"what is the time difference between california and new york";"What is the time difference between California and New York?"
5984;datetime;convert;"it's [time : eight] at [time : night] in [place_name : france] what time is it in [place_name : new york]";"it's eight at night in france what time is it in new york";"It's eight at night in France, what time is it in New York?"
17780;datetime;convert;"can you convert my time zone to the time zone i'm currently in";"can you convert my time zone to the time zone i'm currently in";"Olly can you convert my time zone to the timezone I'm currently in?"
1870;datetime;convert;"it is [time : five forty five am] in [place_name : liverpool] what time is now [place_name : new york]";"it is five forty five am in liverpool what time is now new york";"It is 5:45 am in Liverpool, what time is now New York?"
21452;datetime;convert;"now it's [time : five thirty pm] in [place_name : india] what about the time in [place_name : ivory coast]";"now it's five thirty pm in india what about the time in ivory coast";"Now it's 5.30 pm in India. What about the time in Ivory Coast?"
19253;datetime;convert;"how many hours distance is between my location and [place_name : new york]";"how many hours distance is between my location and new york";"How hours distance is between my location and New York?"
12030;datetime;convert;"if it is [time : twelve hours] ahead of [time_zone : eastern] standard centaur time what's the time in the [place_name : philippines] now";"if it is twelve hours ahead of eastern standard centaur time what's the time in the philippines now";"If it is 12 hours ahead of eastern standard centaur time, what's the time in the Philippines now?"
21704;datetime;convert;"time between [place_name : us] and [place_name : canada]";"time between us and canada";"time between US and canada"
3789;datetime;convert;"what is the time difference between here and [place_name : japan]";"what is the time difference between here and japan";"Cortana, what is the time difference between here and Japan?"
9000;datetime;convert;"what is the [time : nine am] [place_name : cst] to [place_name : est]";"what is the nine am cst to est";"What is the time 9 AM CST in EST"
2936;datetime;convert;"can you tell how many hours of difference are between [place_name : boston] and [place_name : los angeles]";"can you tell how many hours of difference are between boston and los angeles";"can you tell how many hours of difference are between  Boston and los Angeles?"
3216;datetime;convert;"change the time in [place_name : this location] to [time_zone : ist]";"change the time in this location to ist";"change the time in this location to IST"
22710;datetime;convert;"what time can i call from [place_name : pennsylvania] and it will be business hours in [place_name : australia]";"what time can i call from pennsylvania and it will be business hours in australia";"What time can I call from Pennsylvania and it will be business hours in Australia?"
8998;datetime;convert;"please convert [time : nine am] [place_name : cst] to [place_name : est] time";"please convert nine am cst to est time";"Please convert 9 AM CST to EST time"
6934;datetime;convert;"what is the time difference between [place_name : new york] and [place_name : lagos]";"what is the time difference between new york and lagos";"What is the time difference between New York and Lagos?"
21705;datetime;convert;"time difference between [place_name : uk] and [place_name : us]";"time difference between uk and us";"Time difference between UK and US"
4904;datetime;convert;"if it's [time : five am] in [place_name : berlin] what time is it here";"if it's five am in berlin what time is it here";"If it's 5 am in Berlin, what time is it here?"
16056;datetime;convert;"i need the time zone from [time_zone : london england] instead of [time_zone : central] time zone";"i need the time zone from london england instead of central time zone";"I need the time zone from london england instead of central time zone."
20061;datetime;convert;"if i was in the [time_zone : eastern] time zone what time would it be";"if i was in the eastern time zone what time would it be";"If i was in the eastern time zone, what time would it be"
22773;datetime;convert;"what is the time difference between here and there";"what is the time difference between here and there";"what is the time difference between here and there?"
22866;datetime;convert;"convert [time : one oh two] from [time_zone : gtm four thirty] to [time_zone : g. m. t. one thirty]";"convert one oh two from gtm four thirty to g. m. t. one thirty";"convert 1:02 from GTM 4:30 to GMT 1:30"
15896;datetime;convert;"what is the time difference between eastern and pacific time zones";"what is the time difference between eastern and pacific time zones";"What is the time difference between eastern and pacific time zones?"
13056;datetime;convert;"when it is [time : nine] in the [time_zone : east] what time is it in the [time_zone : west]";"when it is nine in the east what time is it in the west";"When it is 9:00 in the East, what time is it in the West?"
15509;datetime;convert;"convert current time from [time_zone : g. m. t.] to [time_zone : est]";"convert current time from g. m. t. to est";"Convert current time from GMT to EST"
6153;datetime;convert;"convert [place_name : usa] time in to [place_name : indian] time";"convert usa time in to indian time";"Convert USA time in to Indian time."
12477;datetime;convert;"what is the time difference between [time_zone : central] and [time_zone : eastern]";"what is the time difference between central and eastern";"What is the time difference between central and eastern"
12476;datetime;convert;"what is the time difference between [time_zone : eastern] and [time_zone : pacific]";"what is the time difference between eastern and pacific";"What is the time difference between eastern and pacific"
21703;datetime;convert;"time zone between [place_name : india] and [place_name : us]";"time zone between india and us";"time zone between india and US"
6936;datetime;convert;"the time difference between [place_name : lagos] and [place_name : new york] is what";"the time difference between lagos and new york is what";"The time difference between Lagos and New York is what?"
25963;datetime;convert;"convert [time_zone : eastern] time to [time_zone : western] time";"convert eastern time to western time";"Convert eastern time to western time."
21154;datetime;convert;"[time : eight am] [place_name : manila] time is what in [time_zone : eastern] time";"eight am manila time is what in eastern time";"8 AM Manila time is what in Eastern time?"
12728;datetime;convert;"if i call [person : mike] in [place_name : california] at [time : six pm] what will his time be";"if i call mike in california at six pm what will his time be";"PDA, if I call Mike in California at 6pm, what will his time be?"
16670;datetime;convert;"what's the time difference between here and [place_name : queensland]";"what's the time difference between here and queensland";"What's the time difference between here and queensland?"
22772;datetime;convert;"how much later is [place_name : new york] than [place_name : la]";"how much later is new york than la";"how much later is new york than L.A.?"
3214;datetime;convert;"change the time zone from [place_name : washington] to [place_name : new york]";"change the time zone from washington to new york";"change the time zone from washington to new york"
4554;datetime;convert;"if it's [time : sunrise] in [place_name : stockholm] what time is it in [place_name : okinawa]";"if it's sunrise in stockholm what time is it in okinawa";"If it's sunrise in Stockholm, what time is it in Okinawa?"
23499;datetime;convert;"change the time zone from [time_zone : irish] time zone to [time_zone : moscow] time zone";"change the time zone from irish time zone to moscow time zone";"Change the time zone from irish time zone to moscow time zone"
4007;datetime;convert;"how many hours difference is [place_name : hong kong] from [place_name : new york city]";"how many hours difference is hong kong from new york city";"How many hours difference is Hong Kong from New York City?"
21155;datetime;convert;"[time : eight am] in [place_name : manila] is what in [place_name : new york]";"eight am in manila is what in new york";"8 AM in Manila is what in New York?"
4648;datetime;convert;"convert [place_name : new york] time to [place_name : london]";"convert new york time to london";"Convert New York Time to London"
4553;datetime;convert;"if it's [time : midnight] in [place_name : colorado] what time is it in [place_name : munich]";"if it's midnight in colorado what time is it in munich";"If it's midnight in Colorado, what time is it in Munich?"
15508;datetime;convert;"convert [time_zone : g. m. t.] to [time_zone : ist]";"convert g. m. t. to ist";"Convert GMT to IST."
25720;datetime;convert;"switch to [place_name : los angeles] time";"switch to los angeles time";"switch to Los Angeles time"
4903;datetime;convert;"it's [time : eight fifty five] here what time is it in [place_name : england]";"it's eight fifty five here what time is it in england";"It's 8:55 here, what time is it in England?"
3215;datetime;convert;"change this time zone to [place_name : washington]";"change this time zone to washington";"change this time zone to wasington"
5985;datetime;convert;"what is the time difference between [place_name : california] and [place_name : michegan]";"what is the time difference between california and michegan";"What is the time difference between California and Michegan?"
17779;datetime;convert;"can you change my time zone from [time_zone : central] time to [time_zone : pacific]";"can you change my time zone from central time to pacific";"Olly can you change my timezone from central time to pacific?"
6151;datetime;convert;"what is time now in [place_name : japan] compared to [place_name : usa]";"what is time now in japan compared to usa";"What is time now in Japan compared to USA."
