answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
15834;social;post;"send a complaint to [business_name : sony] about this tv that quit working";"send a complaint to sony about this tv that quit working";"Send a complaint to Sony about this TV that quit working."
23878;social;post;"write complaint to [business_name : wallmart]";"write complaint to wallmart";"write complaint to wallmart"
23767;social;post;"please [media_type : tweet] about the problem i m facing with the product of company";"please tweet about the problem i m facing with the product of company";"please tweet about the problem I m facing with the product of company"
23192;social;post;"open [media_type : gallery] post video name";"open gallery post video name";"open gallery post video name"
26176;social;post;"complain to [business_name : amazon customer service] for me";"complain to amazon customer service for me";"Complain to Amazon customer service for me"
19016;social;post;"tell [business_name : comcast] i am still on hold";"tell comcast i am still on hold";"tell comcast I am still on hold"
26063;social;post;"[media_type : tweet] that there was an insect in the chocolate packet";"tweet that there was an insect in the chocolate packet";"tweet that there was an insect in the chocolate packet"
25201;social;post;"post new status";"post new status";"post new status"
26424;social;post;"lets send a [media_type : tweet]";"lets send a tweet";"PDA, Lets send a tweet"
18494;social;post;"i want to [media_type : tweet] a complaint on apples phone issues";"i want to tweet a complaint on apples phone issues";"I want to tweet a complaint on apples phone issues"
24883;social;post;"[media_type : tweet] to [business_name : ikea costumer service] the following i'm not happy with this new klm product";"tweet to ikea costumer service the following i'm not happy with this new klm product";"Tweet to Ikea costumer service the following, I'm not happy with this new KLM product"
22006;social;post;"[media_type : tweet] at [business_name : quote unquote]";"tweet at quote unquote";"Tweet at quote unquote"
23740;social;post;"[media_type : tweet] customer service not good for lpg service in my [media_type : twitter] account";"tweet customer service not good for lpg service in my twitter account";"Tweet 'customer service not good for LPG service' in my Twitter account"
27066;social;post;"comcast sucks put that on their [media_type : twitter] account";"comcast sucks put that on their twitter account";"Comcast sucks, put that on their twitter account."
25111;social;post;"[media_type : tweet] my complaint to [business_name : @nsa]";"tweet my complaint to @nsa";"PDA name: tweet my complaint to @nsa"
17734;social;post;"[media_type : tweet] terrible service";"tweet terrible service";"Tweet terrible service"
23256;social;post;"Hashtag loving this weather post to [media_type : twitter]";"Hashtag loving this weather post to twitter";"hashtag...loving this weather..post to twitter."
19049;social;post;"send a [media_type : tweet] to [business_name : apple] that their batteries drain too fast";"send a tweet to apple that their batteries drain too fast";"Send a tweet to Apple that their batteries drain too fast"
22168;social;post;"complain to [business_name : mcdonalds] [media_type : twitter] about my burger";"complain to mcdonalds twitter about my burger";"Complain to McDonalds twitter about my burger"
7971;social;post;"announce a comment in [media_type : facebook]";"announce a comment in facebook";"announce a comment in facebook"
25856;social;post;"write a [media_type : tweet] telling [business_name : macy's] that they should be shutting down instead of jcpenney";"write a tweet telling macy's that they should be shutting down instead of jcpenney";"Write a tweet telling Macy's that they should be shutting down instead of JCPenney."
24312;social;post;"send a [media_type : tweet] to [business_name : tmobile] for rude employees";"send a tweet to tmobile for rude employees";"Send a tweet to TMobile for rude employees."
23763;social;post;"[media_type : tweet] my complaint and mention this [business_name : costumer service]";"tweet my complaint and mention this costumer service";"Tweet my complaint and mention this costumer service"
19846;social;post;"please [media_type : tweet] waited sixty five minutes for a table at tgi fridays never going back";"please tweet waited sixty five minutes for a table at tgi fridays never going back";"Please tweet 'Waited 65 minutes for a table at TGI Fridays.  Never going back'"
18330;social;post;"two thumbs down [business_name : @companyname]";"two thumbs down @companyname";"Two thumbs down @companyname"
20918;social;post;"please [media_type : tweet] for me about the bad service rended by the taj restaurant";"please tweet for me about the bad service rended by the taj restaurant";"PLEASE TWEET FOR ME ABOUT THE BAD SERVICE RENDED BY THE TAJ RESTURANT."
23254;social;post;"heading to gym please post to [media_type : facebook]";"heading to gym please post to facebook";"Heading to gym..please post to Facebook."
9041;social;post;"change my status to chillin";"change my status to chillin";"PDA change my status to chillin."
25753;social;post;"open [media_type : twitter] and add complaint on doctor patel's feed";"open twitter and add complaint on doctor patel's feed";"Open Twitter and add complaint on Doctor Patel's feed."
22699;social;post;"[media_type : tweet] a complaint to [business_name : local municipality]";"tweet a complaint to local municipality";"tweet a complaint to local municipality"
18495;social;post;"send a [media_type : tweet] about [business_name : sonys] volume issues";"send a tweet about sonys volume issues";"Send a tweet about sonys volume issues"
16612;social;post;"[media_type : tweet] to [business_name : mcdonalds] saying that i found a hair in their burger";"tweet to mcdonalds saying that i found a hair in their burger";"Tweet to McDonalds saying that I found a hair in their burger."
26177;social;post;"have a moan at [business_name : easyjet]";"have a moan at easyjet";"Have a moan at Easyjet"
2038;social;post;"go to [media_type : social media] and post the following status";"go to social media and post the following status";"go to social media and post the following status"
20979;social;post;"[media_type : tweet] complaint to [business_name : american eagle customer service]";"tweet complaint to american eagle customer service";"Tweet complaint to American Eagle customer service."
20099;social;post;"[media_type : tweet] this tweet coffee was too hot and at this company [business_name : costa coffee]";"tweet this tweet coffee was too hot and at this company costa coffee";"Tweet this tweet ___________ and at this company"
17736;social;post;"[media_type : tweet] long wait time and unprofessional employees";"tweet long wait time and unprofessional employees";"Tweet long wait time and unprofessional employees."
14765;social;post;"please post happy [event_name : birthday] usa on my [media_type : newsfeed]";"please post happy birthday usa on my newsfeed";"Please post Happy Birthday USA on my newsfeed."
14766;social;post;"bring up [media_type : facebook] and wish a happy [event_name : birthday] to the country [place_name : usa]";"bring up facebook and wish a happy birthday to the country usa";"Bring up Facebook and wish a Happy Birthday to the Country USA."
26935;social;post;"[media_type : tweet] [business_name : british airways] that my last flight from chicago to london was delayed";"tweet british airways that my last flight from chicago to london was delayed";"tweet british airways that my last flight from Chicago to London was delayed"
24863;social;post;"send report to [business_name : consumer service]";"send report to consumer service";"Send report to consumer service"
4002;social;post;"take me to the [media_type : huffington post] website";"take me to the huffington post website";"Take me to the Huffington Post website."
25294;social;post;"start complaint to [business_name : walmart]";"start complaint to walmart";"start complaint to walmart"
23297;social;post;"log a complaint about smart tv to [business_name : sony customer service]";"log a complaint about smart tv to sony customer service";"log a complaint about smart tv to sony customer service"
22350;social;post;"let [business_name : wendy's] know i hate them";"let wendy's know i hate them";"Let Wendy's know I hate them"
16703;social;post;"[media_type : tweet] my current location";"tweet my current location";"Tweet my current location."
18161;social;post;"customer service from [business_name : microsoft] never called me back";"customer service from microsoft never called me back";"Customer service from Microsoft never called me back"
26269;social;post;"fraud in weighing products";"fraud in weighing products";"Fraud in weighing products"
16126;social;post;"post the following as a status on [media_type : facebook]";"post the following as a status on facebook";"Post the following as a status on Facebook:"
16877;social;post;"complain about [business_name : walmart service]";"complain about walmart service";"Complain about Walmart service"
26772;social;post;"[media_type : tweet] bad day at [business_name : starbucks]";"tweet bad day at starbucks";"tweet bad day at Starbucks"
25015;social;post;"post this on my [media_type : facebook]";"post this on my facebook";"PDA name: post this on my facebook"
14319;social;post;"place [personal_info : family phone] on [media_type : instagram]";"place family phone on instagram";"Place family phone on instagram"
19987;social;post;"write a complaint to [business_name : best buy]";"write a complaint to best buy";"Write a complaint to Best Buy."
25759;social;post;"post a [media_type : facebook] status engaged";"post a facebook status engaged";"Post a Facebook status: Engaged!"
19111;social;post;"i would like to make a post on times [media_type : twitter]";"i would like to make a post on times twitter";"PDA, I would like to make a post on ****"
26525;social;post;"complaint on [business_name : service provider] on my [media_type : twitter]";"complaint on service provider on my twitter";"Complaint on service prover on my twitter"
16613;social;post;"[media_type : tweet] [business_name : starbucks] and say that the customer service is awful";"tweet starbucks and say that the customer service is awful";"Tweet starbucks and say that the customer service is awful."
27064;social;post;"[media_type : tweet] a complaint to [business_name : comcast]";"tweet a complaint to comcast";"Tweet a complaint to comcast"
19776;social;post;"[media_type : tweet] [business_name : kohls] about the cleanliness of their store";"tweet kohls about the cleanliness of their store";"Tweet Kohls about the cleanliness of their store"
16865;social;post;"open [business_name : hershey] twitter";"open hershey twitter";"PDA, open hershey twitter"
15832;social;post;"please tell [person : kmart] they sent the wrong item";"please tell kmart they sent the wrong item";"Please tell Kmart they sent the wrong item."
27331;social;post;"please write up a compliant";"please write up a compliant";"PDA please write up a compliant"
8147;social;post;"hi olly post my last clicked photo on [media_type : facebook] with title marry christmas";"hi olly post my last clicked photo on facebook with title marry christmas";"Hi Siri, post my last clicked photo on facebook with title Marry Christmas"
22170;social;post;"[media_type : tweet] [business_name : @wendys] that i don't like their product";"tweet @wendys that i don't like their product";"Tweet @Wendys that I don't like their product"
19050;social;post;"tell [business_name : apple] in a [media_type : tweet] that their batteries don't hold enough charge";"tell apple in a tweet that their batteries don't hold enough charge";"Tell Apple in a tweet that their batteries don't hold enough charge"
23238;social;post;"send [media_type : tweet] to [business_name : wallmart]";"send tweet to wallmart";"Send tweet to Wallmart"
20424;social;post;"[media_type : tweet] a complaint";"tweet a complaint";"Tweet a complaint"
26387;social;post;"[media_type : tweet] [business_name : paula deen's restaurant] that the line is always too long";"tweet paula deen's restaurant that the line is always too long";"Tweet paula deen's restaurant that the line is always too long."
24548;social;post;"[media_type : tweet] for me the complaint about drainage choke up";"tweet for me the complaint about drainage choke up";"Tweet for me the complaint about drainage choke up"
20700;social;post;"[media_type : tweet] error log to [business_name : samsung]";"tweet error log to samsung";"tweet error log to samsung"
8276;social;post;"please submit status to [media_type : facebook]";"please submit status to facebook";"Please submit status to facebook"
18625;social;post;"[media_type : tweet] at [business_name : united airlines] i'm angry you lost my bags";"tweet at united airlines i'm angry you lost my bags";"Tweet at United Airlines I'm angry you lost my bags"
7380;social;post;"use [media_type : facebook] to post";"use facebook to post";"use facebook to post"
19736;social;post;"[media_type : tweet] your waiting time sucks tag [business_name : koc]";"tweet your waiting time sucks tag koc";"tweet: your waiting time sucks. tag KOC"
8142;social;post;"listening song of [person : arijit singh] post it on my [media_type : facebook] account";"listening song of arijit singh post it on my facebook account";"listening song of arijit singh,post it on my fb account."
20323;social;post;"bring up a complaint form";"bring up a complaint form";"Bring up a complaint form."
22169;social;post;"write a [media_type : tweet] to [business_name : burger king] expressing my disapproval";"write a tweet to burger king expressing my disapproval";"Write a tweet to Burger King expressing my disapproval"
25850;social;post;"this is a [media_type : tweet] for [business_name : comcast] if i have my internet and phone service from you and it goes out how can i contact you";"this is a tweet for comcast if i have my internet and phone service from you and it goes out how can i contact you";"This is a tweet for Comcast: If I have my internet and phone service from you and it goes out, how can I contact you?"
17351;social;post;"[media_type : tweet] my complaint to [business_name : @consumer service]";"tweet my complaint to @consumer service";"Tweet my complaint to @consumer service"
9648;social;post;"post this to my [media_type : facebook] lol";"post this to my facebook lol";"post this to my facebook, 'lol'"
20978;social;post;"[media_type : tweet] [business_name : freedom pop customer service] i am dissatisfied";"tweet freedom pop customer service i am dissatisfied";"Tweet Freedom Pop customer service I am disatisfied."
20325;social;post;"i have a complaint";"i have a complaint";"I have a complaint."
21011;social;post;"[media_type : tweet] I'm complaining about to [business_name : consumer service]";"tweet I'm complaining about to consumer service";"tweet 'im complaining about...' to consumer serrvice"
25990;social;post;"pull up the complaint website for [business_name : starbucks]";"pull up the complaint website for starbucks";"Pull up the complaint website for Starbucks."
24862;social;post;"[media_type : tweet] complaint to [business_name : consumer service]";"tweet complaint to consumer service";"Tweet complaint to consumer service"
2279;social;post;"can you upload my latest selfie in my [media_type : instagram]";"can you upload my latest selfie in my instagram";"Can you upload my latest selfie in my instagram?"
18626;social;post;"send [media_type : tweet] to [business_name : united airlines] i'm angry you lost my bags";"send tweet to united airlines i'm angry you lost my bags";"Send tweet to United Airlines I'm angry you lost my bags"
22225;social;post;"please [media_type : tweet] the following complaint";"please tweet the following complaint";"please tweet the following complaint"
22530;social;post;"i want to see the [personal_info : twitter handler] of [business_name : samsung]";"i want to see the twitter handler of samsung";"I want to see the twitter handler of Samsung"
24139;social;post;"[media_type : tweet] for me the complaint about drainage work";"tweet for me the complaint about drainage work";"Tweet for me the complaint about drainage work"
26771;social;post;"[media_type : tweet] a disgusted face about [business_name : mcdonalds]";"tweet a disgusted face about mcdonalds";"tweet a discusted face about McDonalds"
20476;social;post;"[media_type : tweet] [business_name : insight cable's customer service] and tell them i have been waiting on hold for thirty minutes";"tweet insight cable's customer service and tell them i have been waiting on hold for thirty minutes";"Tweet Insight Cable's customer service and tell them I have been waiting on hold for 30 minutes."
12641;social;post;"post to [media_type : facebook] at the spa yay with a smiley face emoticon";"post to facebook at the spa yay with a smiley face emoticon";"PDA, post to Facebook: at the spa, yay!  With a smiley face emoticon."
16108;social;post;"[media_type : tweet] [business_name : @bobburgers] they screwed up my order and i had to wait an extra hour";"tweet @bobburgers they screwed up my order and i had to wait an extra hour";"tweet @bobburgers they screwed up my order and i had to wait an extra hour"
20324;social;post;"i need to submit a complaint";"i need to submit a complaint";"I need to submit a complaint."
