answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
12004;audio;volume_mute;"please hold for the [time : next hour]";"please hold for the next hour";"Please hold for the next hour"
16773;audio;volume_mute;"disable [device_type : music player]";"disable music player";"Disable music player."
11892;audio;volume_mute;"mute the sound";"mute the sound";"Mute the sound."
17589;audio;volume_mute;"set the settings to mute";"set the settings to mute";"Set the settings to mute"
5994;audio;volume_mute;"quiet mode on until i am home from work";"quiet mode on until i am home from work";"Quiet mode on until I am home from work."
21246;audio;volume_mute;"turn the vibrate off from speaker";"turn the vibrate off from speaker";"Turn the vibrate off from speaker"
12167;audio;volume_mute;"please mute the speakers";"please mute the speakers";"Please mute the speakers"
3436;audio;volume_mute;"mute sound on speakers please";"mute sound on speakers please";"Ok Google! Mute sound on speakers please"
26602;audio;volume_mute;"don't speak for [time : an hour]";"don't speak for an hour";"Don't speak for an hour"
24287;audio;volume_mute;"set [device_type : music system] to mute";"set music system to mute";"set music system to mute"
23095;audio;volume_mute;"stay quiet";"stay quiet";"Stay quite"
13455;audio;volume_mute;"set volume [change_amount : to zero]";"set volume to zero";"Set volume to zero."
19999;audio;volume_mute;"please mute my speaker";"please mute my speaker";"Please mute my speaker."
2489;audio;volume_mute;"speakers off";"speakers off";"Speakers off."
16223;audio;volume_mute;"please do not speak";"please do not speak";"Please do not speak."
