answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16238;lists;createoradd;"add [person : bob] to my [list_name : list of contacts]";"add bob to my list of contacts";"Add Bob to my list of contacts."
3155;lists;createoradd;"make list";"make list";"make list"
18771;lists;createoradd;"on my [list_name : grocery] list please add oranges";"on my grocery list please add oranges";"On my grocery list, please add oranges."
27317;lists;createoradd;"please add new item to list";"please add new item to list";"PDA please add new item to list"
17161;lists;createoradd;"start a [list_name : grocery] list";"start a grocery list";"Start a grocery list"
21779;lists;createoradd;"update [list_name : work out] list with new items";"update work out list with new items";"update work out list with new items"
17308;lists;createoradd;"create new list";"create new list";"create new list"
7000;lists;createoradd;"create a new list by [date : tomorrow]";"create a new list by tomorrow";"Create a new list by 12noon tomorrow."
22891;lists;createoradd;"create a list of [list_name : jewels to be bought]";"create a list of jewels to be bought";"Create a list of jewels to be bought"
21723;lists;createoradd;"please find all name start with alphabetic of g and create a list";"please find all name start with alphabetic of g and create a list";"Please Find all name start with alphabetic of 'G' and create a list."
10821;lists;createoradd;"open up a new list";"open up a new list";"Open up a new list."
6597;lists;createoradd;"add the item to a list";"add the item to a list";"Add the item to a list"
17162;lists;createoradd;"make a things [list_name : to do] list";"make a things to do list";"Make a things to do list"
7801;lists;createoradd;"add grocery to list";"add grocery to list";"add grocery to list"
4391;lists;createoradd;"begin new list of [list_name : lottery numbers]";"begin new list of lottery numbers";"Begin new list of lottery numbers"
14801;lists;createoradd;"bring up the [list_name : grocery] list and add";"bring up the grocery list and add";"Bring up the grocery list and add v8."
13407;lists;createoradd;"please add list of [relation : friends] to invite for the [event_name : party]";"please add list of friends to invite for the party";"pls add list of friends to invite for the party"
4057;lists;createoradd;"add the item to the list";"add the item to the list";"Add the item to the list"
14436;lists;createoradd;"can you add cups to my [list_name : grocery] list";"can you add cups to my grocery list";"Can you add cups to my grocery list?"
