answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
12324;iot;hue_lightdim;"dim the lights at the [house_place : living room]";"dim the lights at the living room";"dim the lights at the living room"
6565;iot;hue_lightdim;"lower the light intensity";"lower the light intensity";"lower the light intensity"
3052;iot;hue_lightdim;"hi can you please turn lower the lights";"hi can you please turn lower the lights";"Hi can you please turn lower the lights"
3857;iot;hue_lightdim;"dim the lights please";"dim the lights please";"Dim the lights please."
18078;iot;hue_lightdim;"please turn down the lights";"please turn down the lights";"Please turn down the lights"
768;iot;hue_lightdim;"lower the lights";"lower the lights";"Lower the lights"
23684;iot;hue_lightdim;"lower the lights in [house_place : bedroom two]";"lower the lights in bedroom two";"Lower the lights in Bedroom 2"
18077;iot;hue_lightdim;"i want the room to be less bright";"i want the room to be less bright";"I want the room to be less bright"
15827;iot;hue_lightdim;"hey olly make the lights [change_amount : a little] dimmer";"hey olly make the lights a little dimmer";"hey siri make the lights a little dimmer"
8375;iot;hue_lightdim;"light is too much";"light is too much";"light is too much."
2946;iot;hue_lightdim;"reduce brightness";"reduce brightness";"reduce brightness"
10997;iot;hue_lightdim;"dim the [house_place : overhead] lights a tad";"dim the overhead lights a tad";"Dim the overhead lights a tad."
5373;iot;hue_lightdim;"lower the lights in the [house_place : bedroom]";"lower the lights in the bedroom";"Lower the lights in the bedroom"
12437;iot;hue_lightdim;"dim the lights in my [house_place : bedroom]";"dim the lights in my bedroom";"Dim the lights in my bedroom"
6567;iot;hue_lightdim;"period the light should be in dim";"period the light should be in dim";"Period the light should be in dim"
20229;iot;hue_lightdim;"please turn down the lights in the [house_place : house]";"please turn down the lights in the house";"Alexa, please turn down the lights in the house."
11611;iot;hue_lightdim;"lower lights";"lower lights";"Lower lights"
47;iot;hue_lightdim;"dim the lights in the [house_place : kitchen]";"dim the lights in the kitchen";"dim the lights in the kitchen"
3745;iot;hue_lightdim;"dim the lights [change_amount : a bit]";"dim the lights a bit";"dim the lights a bit"
9269;iot;hue_lightdim;"lights down [change_amount : to seven]";"lights down to seven";"Alexa, lights down to 7"
19398;iot;hue_lightdim;"[house_place : bed room two] darken";"bed room two darken";"bed room 2 darken"
15078;iot;hue_lightdim;"please darken the lights";"please darken the lights";"Please darken the lights."
12294;iot;hue_lightdim;"lower lights please";"lower lights please";"lower lights please"
12293;iot;hue_lightdim;"i want a lower light";"i want a lower light";"I want a lower light"
7867;iot;hue_lightdim;"lower the light [change_amount : to forty percent]";"lower the light to forty percent";"LOWER THE LIGHT TO 40 PERCENT"
3858;iot;hue_lightdim;"i want dimmer lights";"i want dimmer lights";"I want dimmer lights."
20227;iot;hue_lightdim;"please turn down the lights in the [house_place : living room]";"please turn down the lights in the living room";"Alexa, please turn down the lights in the living room."
3053;iot;hue_lightdim;"i want the lights less brighter";"i want the lights less brighter";"I want the lights less brighter"
5299;iot;hue_lightdim;"system please dim lights to [color_type : dull blue]";"system please dim lights to dull blue";"System, please dim lights to dull blue."
23685;iot;hue_lightdim;"switch light [change_amount : to lowest level] in [house_place : dining area]";"switch light to lowest level in dining area";"Switch light to lowest level in dining area"
9270;iot;hue_lightdim;"lower lights down";"lower lights down";"Alexa, lower lights down"
7702;iot;hue_lightdim;"its too bright in here";"its too bright in here";"Its too bright in here"
