answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
10002;cooking;recipe;"help me make [food_type : brownies]";"help me make brownies";"Help me make brownies."
20702;cooking;recipe;"[food_type : crabmeat] recipe";"crabmeat recipe";"Crabmeat recipe"
25389;cooking;recipe;"it should spices";"it should spices";"IT SHOULD SPICES"
6198;cooking;recipe;"tell how [ingredient : vegetable] is cooked";"tell how vegetable is cooked";"Olly, tell how vegetable is cooked"
19595;cooking;recipe;"learn to cut [food_type : potatoes] correctly";"learn to cut potatoes correctly";"Learn to cut potatoes correctly"
9980;cooking;recipe;"how to cook that meal";"how to cook that meal";"How to cook that meal"
12924;cooking;recipe;"can i get a recipe for [food_type : tuna]";"can i get a recipe for tuna";"Can I get a recipe for x?"
13309;cooking;recipe;"please cook me a [food_type : hamburger]";"please cook me a hamburger";"Please cook me a hamburger."
9225;cooking;recipe;"how to cook [ingredient : yellow rice]";"how to cook yellow rice";"How to cook yellow rice"
17571;cooking;recipe;"i need to know how to make [food_type : stuffed peppers]";"i need to know how to make stuffed peppers";"I need to know how to make stuffed peppers"
4120;cooking;recipe;"how can i cook [food_type : pasta]";"how can i cook pasta";"How can I cook pasta?"
12304;cooking;recipe;"look for different recipes";"look for different recipes";"look for different recipes"
4343;cooking;recipe;"what ingredient can be used instead of [ingredient : saffron]";"what ingredient can be used instead of saffron";"What ingredient can be used instead of saffron"
18141;cooking;recipe;"find [food_type : apple pie] recipe";"find apple pie recipe";"Find apple pie recipe."
12225;cooking;recipe;"do i have enough ingredients in my [device_type : refrigerator]";"do i have enough ingredients in my refrigerator";"Do I have enough ingredients in my refrigerator?"
6767;cooking;recipe;"search for your favorite meal";"search for your favorite meal";"Search for your favorite meal"
26136;cooking;recipe;"tell me the preparation method for [food_type : chicken] sixty five";"tell me the preparation method for chicken sixty five";"Tell me the preparation method for Chicken 65"
11128;cooking;recipe;"i would like it to be able to find recipes i have";"i would like it to be able to find recipes i have";"i would like it to be able to find recipes i have"
