answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
21976;music;likeness;"save my last playlist";"save my last playlist";"Save my last playlist"
21081;music;likeness;"save this song in my great songs category";"save this song in my great songs category";"save this song in my great songs category"
5201;music;likeness;"i love the songs of [artist_name : micheal jackson] can you save some songs of jackson for me";"i love the songs of micheal jackson can you save some songs of jackson for me";"I love the songs of micheal Jackson, can you save some songs of jackson for me"
6087;music;likeness;"i love that song who sings it";"i love that song who sings it";"I love that song. Who sings it?"
3759;music;likeness;"make this my favorite";"make this my favorite";"make this my favorite"
25386;music;likeness;"I love the eternal voice of the singer she is my favourite";"I love the eternal voice of the singer she is my favourite";"I love the eternal voice of the singer, she is my favourite"
5218;music;likeness;"i like a song sing by [artist_name : arijit singh]";"i like a song sing by arijit singh";"I LIKE A SONG SING BY ARIJIT SINGH."
22944;music;likeness;"the song touches my heart";"the song touches my heart";"the song touches my heart"
5202;music;likeness;"i like the songs of [artist_name : yeshudas] please play it";"i like the songs of yeshudas please play it";"I like the songs of Yeshudas please play it."
736;music;likeness;"i like this song";"i like this song";"I like this song."
8129;music;likeness;"save the information which is provided by [artist_name : aman] on this song";"save the information which is provided by aman on this song";"save the information which is provided by aman on this song."
22943;music;likeness;"the song makes me remember certain memories";"the song makes me remember certain memories";"the song makes me remember certain memories"
10813;music;likeness;"i have to done it on the post important music file";"i have to done it on the post important music file";"i have to done it on the post important music file"
22942;music;likeness;"the song in background is cool";"the song in background is cool";"the song in background is cool"
12414;music;likeness;"please save my rating on this song it is five stars please";"please save my rating on this song it is five stars please";"Please save my rating on this song.. it is <insert rating here>"
8128;music;likeness;"record the opinion of each individual about this song";"record the opinion of each individual about this song";"record the opinion of each individual about this song."
6403;music;likeness;"please save my opinion about the song that is currently playing";"please save my opinion about the song that is currently playing";"Please save my opinion about the song that is currently playing."
13437;music;likeness;"this song is too good";"this song is too good";"this song is too good"
