answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16909;calendar;query;"let's go through all pending reminders";"let's go through all pending reminders";"Let's go through all pending reminders."
14775;calendar;query;"is it true that [person : susan's] [event_name : birthday] is on [date : march first]";"is it true that susan's birthday is on march first";"Is it true that Susan's birthday is on March 1st?"
18971;calendar;query;"where is my [event_name : meeting] at [time : nine am]";"where is my meeting at nine am";"where is my meeting at 9AM?"
12653;calendar;query;"what events are scheduled [date : this week]";"what events are scheduled this week";"What events are scheduled this week?"
14774;calendar;query;"[date : march one] is [person : susan's] [event_name : birthday] right";"march one is susan's birthday right";"March 1 is Susan's birthday, right?"
7217;calendar;query;"what on my calendar";"what on my calendar";"what on my calander?"
4321;calendar;query;"is this program is scheduled";"is this program is scheduled";"is this program is scheduled?"
9020;calendar;query;"tell me when the [event_name : hockey game] tickets are for";"tell me when the hockey game tickets are for";"Tell me when the Hockey Game tickets are for"
3230;calendar;query;"tell me about my [time : upcoming week]";"tell me about my upcoming week";"Tell me about my upcoming week"
3146;calendar;query;"latest events";"latest events";"latest events"
15306;calendar;query;"when is [event_name : bank holiday]";"when is bank holiday";"When is bank holiday?"
11747;calendar;query;"what day is this event scheduled for";"what day is this event scheduled for";"What day is this event scheduled for?"
7368;calendar;query;"give me the reminders";"give me the reminders";"give me the reminders"
1538;calendar;query;"show me my calendar event [date : this Friday] [timeofday : afternoon]";"show me my calendar event this Friday afternoon";"Show me my calendar event this Friday afternoon"
17131;calendar;query;"is there a chili cookoff [date : this weekend]";"is there a chili cookoff this weekend";"Is there a chili cookoff this weekend?"
12489;calendar;query;"what events are scheduled for me to do [date : today]";"what events are scheduled for me to do today";"What events are scheduled for me to do today"
2960;calendar;query;"what are the pending reminder for [date : today] [timeofday : evening]";"what are the pending reminder for today evening";"what are the pending reminder for today evening"
12847;calendar;query;"do i have a [event_name : doctors appointment] [date : today]";"do i have a doctors appointment today";"Do I have a doctors appointment today?"
4956;calendar;query;"is [person : jimmie's] [event_name : party] on [date : friday] cancelled";"is jimmie's party on friday cancelled";"Is Jimmie's party on Friday cancelled?"
