answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
8177;qa;maths;"what is the root of six hundred and twenty five";"what is the root of six hundred and twenty five";"what is the root of 625."
16654;qa;maths;"what is five over three";"what is five over three";"What is five over three?"
18357;qa;maths;"do you know how to answer this math question";"do you know how to answer this math question";"do you know how to answer this math question?"
15906;qa;maths;"what's the answer to one plus one";"what's the answer to one plus one";"What's the answer to 1 + 1?"
26382;qa;maths;"let's do math";"let's do math";"Let's do math"
8176;qa;maths;"tell me the simple interest of seven with interest in two year";"tell me the simple interest of seven with interest in two year";"tell me the simple interest of 7000rs. with 2├ö├ñ├á interest in 2 year."
19356;qa;maths;"i want to know the result of twenty is to two";"i want to know the result of twenty is to two";"I want to know the result of 20: 2"
17731;qa;maths;"what is the result of two by two";"what is the result of two by two";"What is the result of two by two?"
10188;qa;maths;"what is two plus four";"what is two plus four";"What is 2 plus 4?"
6521;qa;maths;"how much is one plus one";"how much is one plus one";"How much is 1+1?"
7947;qa;maths;"sum of five and two";"sum of five and two";"sum of five and two"
2234;qa;maths;"calculate two plus 29";"calculate two plus 29";"calculate ____"
11709;qa;maths;"how do you subtract numbers";"how do you subtract numbers";"Olly, how do you subtract numbers"
22230;qa;maths;"can you do nine plus two";"can you do nine plus two";"Can you do 9+2?"
21654;qa;maths;"twenty minus ten";"twenty minus ten";"20-10"
8082;qa;maths;"tell me formula for area of circle";"tell me formula for area of circle";"Tell me formula for area of circle"
20484;qa;maths;"what is two hundred divided by thirteen";"what is two hundred divided by thirteen";"What is two hundred divided by thirteen?"
3654;qa;maths;"divide one thousand five hundred by one hundred and sixty";"divide one thousand five hundred by one hundred and sixty";"Divide 1500 by 160"
3652;qa;maths;"how many times does fifty go into one million";"how many times does fifty go into one million";"How any times does 50 go into 1 million?"
9813;qa;maths;"can you tell me what twenty five percent of two thousand one hundred is";"can you tell me what twenty five percent of two thousand one hundred is";"Can you tell me what 25 percent of 2100 is?"
3653;qa;maths;"figure out what percentage thirty is of one hundred and sixty three";"figure out what percentage thirty is of one hundred and sixty three";"Figure out what percentage 30 is of 163"
4499;qa;maths;"convert one kilo to pound";"convert one kilo to pound";"convert 100 kilo to pound"
