answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
15287;email;addcontact;"add [person : dan's] email";"add dan's email";"Add dan's email"
26749;email;addcontact;"add contacts n mail";"add contacts n mail";"add contacts n mail"
15796;email;addcontact;"enter [email_address : atdfd@yahoo dot com] into my contact list";"enter atdfd@yahoo dot com into my contact list";"Enter atdfd@yahoo.com into my contact list"
18183;email;addcontact;"get [email_address : apahelp@yahoo dot com] in my contacts";"get apahelp@yahoo dot com in my contacts";"Get apahelp@yahoo.com in my contacts."
22414;email;addcontact;"save the email to my contact";"save the email to my contact";"Save the email to my contact"
18928;email;addcontact;"please add [email_address : johndoe@yahoocom] to my contact list";"please add johndoe@yahoocom to my contact list";"Please add johndoe@yahoo.com to my contact list."
4414;email;addcontact;"add this new email";"add this new email";"add this new email"
4312;email;addcontact;"add work email address";"add work email address";"Add work email address"
12318;email;addcontact;"please add this email to my contacts";"please add this email to my contacts";"Please add this email to my contacts"
23584;email;addcontact;"just add a new email in my contacts from [person : michael]";"just add a new email in my contacts from michael";"Just add a new email in my contacts from Michael"
4415;email;addcontact;"save this email in contact";"save this email in contact";"save this email in contact"
8763;email;addcontact;"can you look up and add [person : john's] old email to my contacts again";"can you look up and add john's old email to my contacts again";"PDA can you look up and add John's old email to my contacts again?"
1940;email;addcontact;"add [personal_info : email] to existing contact";"add email to existing contact";"add email to existing contact"
12317;email;addcontact;"i need you to add this email in my contacts";"i need you to add this email in my contacts";"I need you to add this email in my contacts"
4314;email;addcontact;"add [person : dr rosenstock] as an email contact";"add dr rosenstock as an email contact";"Add Dr. rosenstock as an email contact"
12150;email;addcontact;"email [email_address : hwu@gmail dot com] add to email contacts";"email hwu@gmail dot com add to email contacts";"email XXXXX@gmail.com add to email contacts"
25148;email;addcontact;"Update my contacts with the new contact [email_address : sam@gmail dot com]";"Update my contacts with the new contact sam@gmail dot com";"alexa update my contacts with the new contact sam@gmail.com"
4416;email;addcontact;"add this new email with contact";"add this new email with contact";"add this new email with contact"
19270;email;addcontact;"can you add a new email to my contacts";"can you add a new email to my contacts";"Can you add a new email to my contacts?"
7741;email;addcontact;"remember this email";"remember this email";"remember this email"
26751;email;addcontact;"store my contacts";"store my contacts";"store my cont"
3535;email;addcontact;"add a new contact for [person : daniel bell] [email_address : dbell@aol dot com]";"add a new contact for daniel bell dbell@aol dot com";"Add a new contact for Daniel Bell dbell@aol.com."
13671;email;addcontact;"make a new contact with this email";"make a new contact with this email";"Make a new contact with this email."
