answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
5643;play;radio;"play radio";"play radio";"play radio!"
24398;play;radio;"change the station to [radio_name : eighty two point four]";"change the station to eighty two point four";"Change the station to 82.4"
15008;play;radio;"i need you to find a good channels to listen to";"i need you to find a good channels to listen to";"I need you to find a good channel to listen to"
26262;play;radio;"could you please help me in listening to the radio";"could you please help me in listening to the radio";"could you please help me in listening to the radio."
19835;play;radio;"turn on my [app_name : pandora] radio";"turn on my pandora radio";"Turn on my pandora radio"
5642;play;radio;"put the radio on";"put the radio on";"put the radio on"
24800;play;radio;"rj raunak programme play on [radio_name : ninety two point seven fm]";"rj raunak programme play on ninety two point seven fm";"rj raunak programme play on 92.7 fm"
8642;play;radio;"open [radio_name : radia]";"open radia";"open radia"
12311;play;radio;"play new radio channel";"play new radio channel";"play x radio channel"
23323;play;radio;"turn on [radio_name : one oh seven point five]";"turn on one oh seven point five";"Turn on 107.5."
16111;play;radio;"can you turn [radio_name : msnbc] on in the car";"can you turn msnbc on in the car";"Can you turn MSNBC on in the car?"
10485;play;radio;"open [app_name : pandora] app";"open pandora app";"Open Pandora app."
27081;play;radio;"i want to hear program one on [radio_name : lastfm]";"i want to hear program one on lastfm";"I want to hear program 1 on Last.FM."
27080;play;radio;"go to [app_name : sirius] and play the hip hop channel";"go to sirius and play the hip hop channel";"Go to Sirius and play the hip-hop channel"
22419;play;radio;"play program on [radio_name : xmtune] please";"play program on xmtune please";"play (program) on xmtune please"
19089;play;radio;"i want to listen to the new [person : sam harris] episode";"i want to listen to the new sam harris episode";"i want to listen to the new sam harris epsiode"
20487;play;radio;"please play [radio_name : red fm]";"please play red fm";"Please play red fm"
16757;play;radio;"switch on the radio";"switch on the radio";"Switch on the radio"
8867;play;radio;"can you start [radio_name : fm eight hundred and ninety] radio channel";"can you start fm eight hundred and ninety radio channel";"Can you start FM 89.0 radio channel"
