answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
171;general;repeat;"please repeat that.";"please repeat that.";"please repeat that."
549;general;repeat;"would you repeat the last please.";"would you repeat the last please.";"would you repeat the last please."
226;general;repeat;"replay the last utterance said.";"replay the last utterance said.";"replay the last utterance said."
55;general;repeat;"please speak that one more again.";"please speak that one more again.";"please speak that one more again."
560;general;repeat;"i need to hear that sentence said again.";"i need to hear that sentence said again.";"i need to hear that sentence said again."
162;general;repeat;"can you speak once again please.";"can you speak once again please.";"can you speak once again please."
411;general;repeat;"tell me that one more time please.";"tell me that one more time please.";"tell me that one more time please."
485;general;repeat;"what's that.";"what's that.";"what's that."
207;general;repeat;"say it one more time please.";"say it one more time please.";"say it one more time please."
90;general;repeat;"tell me again.";"tell me again.";"tell me again."
527;general;repeat;"please can you say it one more time again.";"please can you say it one more time again.";"please can you say it one more time again."
504;general;repeat;"tell me what i said one more time again please.";"tell me what i said one more time again please.";"tell me what i said one more time again please."
208;general;repeat;"speak one more time please.";"speak one more time please.";"speak one more time please."
31;general;repeat;"could you tell me once again please.";"could you tell me once again please.";"could you tell me once again please."
559;general;repeat;"will you speak one more time again.";"will you speak one more time again.";"will you speak one more time again."
533;general;repeat;"i would like to hear what said again.";"i would like to hear what said again.";"i would like to hear what said again."
159;general;repeat;"let's try it again.";"let's try it again.";"let's try it again."
138;general;repeat;"could you speak once more please.";"could you speak once more please.";"could you speak once more please."
203;general;repeat;"please will you say that one more again.";"please will you say that one more again.";"please will you say that one more again."
