answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
18298;email;query;"please alert me when [person : john] emails me";"please alert me when john emails me";"Please alert me when John emails me"
15684;email;query;"what are my new contact emails";"what are my new contact emails";"What are my new contact emails?"
13819;email;query;"check my email";"check my email";"Olly, check my email."
25848;email;query;"please archive my read messages";"please archive my read messages";"PDA, please archive my read messages."
27400;email;query;"do i have new emails from [person : john]";"do i have new emails from john";"Do I have new emails from John"
14316;email;query;"can you please read the my [relation : mom] sent this [timeofday : morning] at [time : ten am]";"can you please read the my mom sent this morning at ten am";"Can you please read the my Mom sent this morning at 10am"
6256;email;query;"show unread new emails";"show unread new emails";"Olly show unread new emails."
1270;email;query;"is there any new email";"is there any new email";"Is there any new email?"
15388;email;query;"Has [person : john] sent me any new emails";"Has john sent me any new emails";"Has (sender) sent me any new emails?"
10656;email;query;"has [person : tom] emailed me about ammunition";"has tom emailed me about ammunition";"Has Tom emailed me about ammunition?"
11157;email;query;"can you see if [person : john] has replied to my email yet";"can you see if john has replied to my email yet";"Can you see if John has replied to my email yet?"
22871;email;query;"what is my recent email activity";"what is my recent email activity";"what is my recent email activity?"
17853;email;query;"can you tell me my recent emails";"can you tell me my recent emails";"Can you tell me my recent emails?"
27314;email;query;"check someone's recent emails";"check someone's recent emails";"PDA check someones recent emails"
16290;email;query;"what is my email from [person : steve] about";"what is my email from steve about";"What is my email from Steve about?"
10811;email;query;"how many new emails since i last checked";"how many new emails since i last checked";"How many new emails since I last checked?"
1294;email;query;"update me on my emails";"update me on my emails";"Update me on my emails."
24258;email;query;"please tell me how many emails i have";"please tell me how many emails i have";"Please tell me how many emails I have."
15261;email;query;"did [person : dan] send me any emails";"did dan send me any emails";"Did Dan send me any emails?"
