answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
172;general;dontcare;"i would not bother, olly.";"i would not bother, olly.";"i would not bother, olly."
45;general;dontcare;"that doesn't really matter.";"that doesn't really matter.";"that doesn't really matter."
209;general;dontcare;"don't mind for whatever.";"don't mind for whatever.";"don't mind for whatever."
56;general;dontcare;"have no idea for which to select, olly.";"have no idea for which to select, olly.";"have no idea for which to select, olly."
85;general;dontcare;"whatever will be fine.";"whatever will be fine.";"whatever will be fine."
196;general;dontcare;"don't mind to choose any one.";"don't mind to choose any one.";"don't mind to choose any one."
129;general;dontcare;"don't really know.";"don't really know.";"don't really know."
115;general;dontcare;"really i don't mind, olly.";"really i don't mind, olly.";"really i don't mind, olly."
330;general;dontcare;"any one will be ok for me.";"any one will be ok for me.";"any one will be ok for me."
254;general;dontcare;"anything would be good with me, olly.";"anything would be good with me, olly.";"anything would be good with me, olly."
306;general;dontcare;"doesn't really matter to me.";"doesn't really matter to me.";"doesn't really matter to me."
288;general;dontcare;"i have no idea for which to choose, olly.";"i have no idea for which to choose, olly.";"i have no idea for which to choose, olly."
183;general;dontcare;"that is unimportant to me, olly.";"that is unimportant to me, olly.";"that is unimportant to me, olly."
240;general;dontcare;"i have no idea for what to do, olly.";"i have no idea for what to do, olly.";"i have no idea for what to do, olly."
216;general;dontcare;"really don't mind, olly.";"really don't mind, olly.";"really don't mind, olly."
212;general;dontcare;"don't really care.";"don't really care.";"don't really care."
230;general;dontcare;"does not really matter to me.";"does not really matter to me.";"does not really matter to me."
25;general;dontcare;"whatever would be good.";"whatever would be good.";"whatever would be good."
420;general;dontcare;"this does not matter to me, olly.";"this does not matter to me, olly.";"this does not matter to me, olly."
