answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
2566;general;joke;"tell me [joke_type : random] joke";"tell me random joke";"Tell me random joke."
6320;general;joke;"find me a joke related to [joke_type : baseball]";"find me a joke related to baseball";"Find me a joke related to baseball."
3930;general;joke;"i need to be cheered up right now can you tell me a [joke_type : good] joke";"i need to be cheered up right now can you tell me a good joke";"I need to be cheered up right now. Can you tell me a good joke?"
19549;general;joke;"[date : today's] jokes";"today's jokes";"today's jokes"
16358;general;joke;"do you have a joke";"do you have a joke";"Do you have a joke?"
2568;general;joke;"what's your favorite joke";"what's your favorite joke";"What's your favorite joke?"
14156;general;joke;"look for a joke";"look for a joke";"look for a joke"
10694;general;joke;"do you know what a joke is";"do you know what a joke is";"Olly, do you know what a joke is?"
18585;general;joke;"i want a [joke_type : nerd] joke";"i want a nerd joke";"I want a nerd joke"
19556;general;joke;"what about this joke";"what about this joke";"what about this joke?"
17592;general;joke;"have any jokes";"have any jokes";"Have any jokes?"
9280;general;joke;"joke please";"joke please";"Joke please"
18798;general;joke;"can you tell me a [joke_type : nice] joke";"can you tell me a nice joke";"PDA, Can you tell me a nice joke?"
14157;general;joke;"say joke";"say joke";"say joke"
10788;general;joke;"i need to find a [joke_type : funny] joke that is ok for [relation : kids]";"i need to find a funny joke that is ok for kids";"I need to find a funny joke that is ok for kids."
10773;general;joke;"do you know any [joke_type : good] jokes";"do you know any good jokes";"Do you know any good jokes?"
2567;general;joke;"do you know any jokes";"do you know any jokes";"Do you know any jokes?"
19001;general;joke;"i need a [joke_type : good] joke";"i need a good joke";"i need a good joke"
13255;general;joke;"the joke of the day";"the joke of the day";"the joke of the day"
14460;general;joke;"i want to hear a [joke_type : yo mama] joke";"i want to hear a yo mama joke";"I want to hear a yo mama joke."
22863;general;joke;"humor me";"humor me";"humor me"
4875;general;joke;"find me the best [joke_type : knock knock] joke on the internet";"find me the best knock knock joke on the internet";"Find me the best knock knock joke on the internet."
19555;general;joke;"tell me joke";"tell me joke";"Tell me joke."
8904;general;joke;"tell me a joke about [joke_type : birds]";"tell me a joke about birds";"Tell me a joke about birds."
19923;general;joke;"what is the [joke_type : funniest] joke ever";"what is the funniest joke ever";"What is the funniest joke ever?"
4874;general;joke;"what's the [joke_type : funniest] joke you know";"what's the funniest joke you know";"What's the funniest joke you know?"
9806;general;joke;"say some jokes";"say some jokes";"say some jokes"
10693;general;joke;"i need a [joke_type : funny] joke to tell [person : sam]";"i need a funny joke to tell sam";"Olly, I need a funny joke to tell Sam."
15209;general;joke;"please tell me a joke";"please tell me a joke";"Please, tell me a joke."
22768;general;joke;"tell joke";"tell joke";"tell joke?"
2864;general;joke;"tell me a joke about a [joke_type : man]";"tell me a joke about a man";"tell me a joke about a man"
15714;general;joke;"hey olly make me laugh with a [joke_type : good] joke";"hey olly make me laugh with a good joke";"hey siri make me laugh with a good joke"
685;general;joke;"tell me a [joke_type : good] joke";"tell me a good joke";"tell me a good joke"
688;general;joke;"cheer me up";"cheer me up";"chear me up."
12192;general;joke;"tell me a joke [joke_type : about aliens]";"tell me a joke about aliens";"Tell me a joke about aliens."
14458;general;joke;"hey tell me a [joke_type : knock knock] joke";"hey tell me a knock knock joke";"Hey tell me a  knock knock joke."
27193;general;joke;"find jokes on the web";"find jokes on the web";"Find jokes on the web"
14832;general;joke;"make me laugh i want to hear a joke";"make me laugh i want to hear a joke";"Make me laugh, I want to hear a joke."
12579;general;joke;"i want to hear a joke";"i want to hear a joke";"I want to hear a joke."
19551;general;joke;"open some [joke_type : cools] jokes";"open some cools jokes";"open some cools jokes"
15712;general;joke;"hey olly tell me a joke";"hey olly tell me a joke";"hey siri tell me a joke"
8873;general;joke;"hey share me some joke to make me happy";"hey share me some joke to make me happy";"Hey share me some joke to make me happy"
25116;general;joke;"joke of the day";"joke of the day";"joke of the day"
687;general;joke;"tell me a joke";"tell me a joke";"tell me a joke."
2613;general;joke;"tell me a [joke_type : dirty] joke";"tell me a dirty joke";"tell me a dirty joke"
4800;general;joke;"find a joke in your vault and tell me";"find a joke in your vault and tell me";"find a joke in your vault and tell me"
16107;general;joke;"i would like to hear some [joke_type : good funny] jokes";"i would like to hear some good funny jokes";"I would like to hear some good funny jokes."
8874;general;joke;"share me a joke";"share me a joke";"share me a joke"
11267;general;joke;"make me happy";"make me happy";"olly make me happy"
16729;general;joke;"what is a [joke_type : good] joke";"what is a good joke";"What is a good joke?"
16320;general;joke;"how many jokes do you know";"how many jokes do you know";"How may jokes do you know?"
3578;general;joke;"give me a joke";"give me a joke";"Give me a joke"
19550;general;joke;"open jokes";"open jokes";"open jokes"
4799;general;joke;"make me smile by telling a joke";"make me smile by telling a joke";"make me smile by telling a joke"
1328;general;joke;"do you know any joke";"do you know any joke";"Do you know any joke?"
22770;general;joke;"provide a joke";"provide a joke";"provide a joke?"
5922;general;joke;"what is the [joke_type : highest rated] joke [date : today]";"what is the highest rated joke today";"What is the highest rated joke today"
18476;general;joke;"joke me";"joke me";"joke me"
16730;general;joke;"any [joke_type : funny] jokes";"any funny jokes";"Any funny jokes?"
18583;general;joke;"tell me a [joke_type : clean] joke";"tell me a clean joke";"Tell me a clean joke"
5921;general;joke;"search for [joke_type : new] jokes";"search for new jokes";"Search for new jokes"
5388;general;joke;"what's a [joke_type : good] joke";"what's a good joke";"What's a good joke?"
19721;general;joke;"tell me a joke [joke_type : about chickens]";"tell me a joke about chickens";"Tell me a joke about chickens."
5775;general;joke;"say a [joke_type : funny]";"say a funny";"PDA, say a funny."
10772;general;joke;"do you have a [joke_type : funny] joke for me";"do you have a funny joke for me";"Do you have a funny joke for me?"
3579;general;joke;"a joke please";"a joke please";"A joke please"
2865;general;joke;"can you find an [joke_type : animal] joke for me";"can you find an animal joke for me";"can you find an animal joke for me"
684;general;joke;"make me laugh";"make me laugh";"make me laugh"
9805;general;joke;"could you tell me [joke_type : funny] things";"could you tell me funny things";"could you tell me funny things"
4584;general;joke;"say something [joke_type : funny]";"say something funny";"say something funny"
20194;general;joke;"tell me a joke about [joke_type : dogs]";"tell me a joke about dogs";"Tell me a joke about dogs."
16106;general;joke;"tell me the [joke_type : funniest] joke that was ever told";"tell me the funniest joke that was ever told";"Tell me the funniest joke that was ever told."
6321;general;joke;"search for a good [joke_type : nerd] joke";"search for a good nerd joke";"Search for a good nerd joke."
18797;general;joke;"i want to listen to a joke";"i want to listen to a joke";"PDA, I want to listen to a joke."
3577;general;joke;"i would like a joke";"i would like a joke";"I would like a joke"
25815;general;joke;"say a [joke_type : good] joke for me right now";"say a good joke for me right now";"Say a good joke for me right now"
686;general;joke;"send a giggle my way";"send a giggle my way";"Send a giggle my way"
17591;general;joke;"hey do you know any jokes";"hey do you know any jokes";"Hey, do you know any jokes?"
4422;general;joke;"tell [joke_type : funny] things";"tell funny things";"tell funny things"
12398;general;joke;"i need to hear a joke can you tell me one";"i need to hear a joke can you tell me one";"I need to hear a joke. Can you tell me one."
9282;general;joke;"i wanna laugh can you make it happen";"i wanna laugh can you make it happen";"I wanna laugh,Can you make it happen?"
19922;general;joke;"what is a [joke_type : funny] joke";"what is a funny joke";"What is a funny joke?"
14226;general;joke;"i want to hear a [joke_type : funny] joke";"i want to hear a funny joke";"i want to hear a funny joke"
12190;general;joke;"tell me a joke about [relation : lawyers]";"tell me a joke about lawyers";"Tell me a joke about lawyers."
16359;general;joke;"tell me a joke please";"tell me a joke please";"Tell me a joke, please"
1325;general;joke;"tell me some joke";"tell me some joke";"Tell me some joke."
3928;general;joke;"show me a [joke_type : funny] joke";"show me a funny joke";"Show me a funny joke."
23213;general;joke;"jokes";"jokes";"Jokes"
2217;general;joke;"tell me a [joke_type : funny] joke";"tell me a funny joke";"Tell me a funny joke."
10786;general;joke;"find the joke about [food_type : the orange and the banana]";"find the joke about the orange and the banana";"Find the joke about the orange and the banana."
27126;general;joke;"be funny for me";"be funny for me";"Olly, be funny for me."
14831;general;joke;"i want to hear a [joke_type : good] joke";"i want to hear a good joke";"I want to hear a good joke."
19722;general;joke;"please tell me a joke that i'll think is funny";"please tell me a joke that i'll think is funny";"Please tell me a joke that I'll think is funny."
15713;general;joke;"hey olly have you heard any [joke_type : funny] jokes lately";"hey olly have you heard any funny jokes lately";"hey siri have you heard any funny jokes lately"
