answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
11523;transport;query;"where can i book a [transport_type : train] ticket to [place_name : oregon]";"where can i book a train ticket to oregon";"Where can I book a train ticket to Oregon?"
17200;transport;query;"navigation search";"navigation search";"navigation search"
11513;transport;query;"what time does the [transport_type : train] leave [place_name : philadelphia]";"what time does the train leave philadelphia";"What time does the train leave Philadelphia?"
26479;transport;query;"please let me know the time of [transport_type : train] [transport_name : northern rail]";"please let me know the time of train northern rail";"please let me know the time of train X"
24031;transport;query;"directions please";"directions please";"directions please"
10911;transport;query;"how far away is the nearest [place_name : rest stop]";"how far away is the nearest rest stop";"How far away is the nearest rest stop?"
18241;transport;query;"what are the [transport_type : train] times for [date : today]";"what are the train times for today";"What are the train times for today?"
25047;transport;query;"how much long until [transport_name : northern rail] arrives at [place_name : kings cross station]";"how much long until northern rail arrives at kings cross station";"PDA name: how much long until xxxx arives at xxxxx station"
5605;transport;query;"show me the [transport_type : train] schedules to the [place_name : metropolitan opera house]";"show me the train schedules to the metropolitan opera house";"Show me the train schedules to the Metropolitan Opera House."
5078;transport;query;"get route for [place_name : los angles] from here";"get route for los angles from here";"get route for LA from here"
14593;transport;query;"direction to local [place_name : train station]";"direction to local train station";"direction to local train station"
21984;transport;query;"what is the [transport_type : train] schedule to [place_name : denver]";"what is the train schedule to denver";"what is the train schedule to denver?"
14342;transport;query;"how long does it take to get from here to [place_name : chicago] by [transport_type : train]";"how long does it take to get from here to chicago by train";"how long does it take to get from here to chicago by train?"
13493;transport;query;"when i should leave to [place_name : office]";"when i should leave to office";"when I should leave to XXX"
22804;transport;query;"when is the [transport_type : train] coming";"when is the train coming";"When is the train coming?"
11978;transport;query;"how much time is a [transport_type : train] to there";"how much time is a train to there";"How much time is a train to there"
14594;transport;query;"find nearest [place_name : train station]";"find nearest train station";"find nearest train station"
18912;transport;query;"[transport_type : train] leaving";"train leaving";"train leaving"
14595;transport;query;"get me to the nearest [place_name : train station]";"get me to the nearest train station";"get me to the nearest train station"
13989;transport;query;"what time will i arrive in [place_name : austin tx]";"what time will i arrive in austin tx";"What time will I arrive In Austin, TX?"
19151;transport;query;"what time is the [transport_type : train] passing by";"what time is the train passing by";"Wgat time is the train passing by"
11536;transport;query;"what time does the [transport_type : train] to [place_name : iowa] leave";"what time does the train to iowa leave";"What time does the train to Iowa leave?"
19150;transport;query;"when is my [transport_type : train] coming";"when is my train coming";"when is my train coming"
707;transport;query;"directions to [place_name : sainsburys]";"directions to sainsburys";"directions to sainsburys."
11538;transport;query;"when does the [transport_type : train] from [place_name : kansas city to iowa] leave";"when does the train from kansas city to iowa leave";"When does the train from Kansas City to Iowa leave?"
11044;transport;query;"what time does the [transport_type : train] leave for [place_name : chicago]";"what time does the train leave for chicago";"What time does the train leave for chicago?"
16354;transport;query;"what times may i travel to location a";"what times may i travel to location a";"What times may I travel to Location A?"
24307;transport;query;"route to [place_name : melbourne]";"route to melbourne";"route to melbourne"
9499;transport;query;"how long to get [place_name : downtown]";"how long to get downtown";"how long to get downtown."
5740;transport;query;"direct me towards nearest [place_name : railway station]";"direct me towards nearest railway station";"Direct me towards nearest railway station."
8658;transport;query;"how long does it take to get the [transport_type : train] from [place_name : rome] to [place_name : paris]";"how long does it take to get the train from rome to paris";"How long does it take to get the train from Rome to Paris?"
8174;transport;query;"tell me the [transport_type : train] ticket price of [place_name : california] to [place_name : chicago]";"tell me the train ticket price of california to chicago";"Tell me the train ticket price of California to Chicago"
706;transport;query;"whats the best way to [place_name : france]";"whats the best way to france";"Whats the best way to france?"
15311;transport;query;"i want to go to [business_name : bank of america] give me directions";"i want to go to bank of america give me directions";"I want to go to Bank of America. Give me directions"
15517;transport;query;"how do i get from my house to the target along I forty";"how do i get from my house to the target along I forty";"how do i get from my house to the target along i-40"
25287;transport;query;"what is the amount for [transport_type : train] ticket booking";"what is the amount for train ticket booking";"What is the amount for train ticket booking?"
24112;transport;query;"when is the next [transport_type : train] to [place_name : london]";"when is the next train to london";"When is the next train to London?"
14560;transport;query;"what time does the first [transport_type : train] depart from [place_name : chicago]";"what time does the first train depart from chicago";"What time does the first train depart from Chicago?"
7339;transport;query;"what are the [transport_type : train] times [date : today]";"what are the train times today";"What are the train times today?"
21177;transport;query;"how far is [business_name : walmart] from here";"how far is walmart from here";"How far is Walmart from here?"
4569;transport;query;"what time are the trains going to [place_name : chennai] leaving";"what time are the trains going to chennai leaving";"What time are the trains going to Chennai leaving?"
18242;transport;query;"is the [time : four hundred and thirty pm] [transport_type : train] running late";"is the four hundred and thirty pm train running late";"Is the 4:30 PM train running late?"
25877;transport;query;"i would like to know the [transport_type : train] [transport_descriptor : timings] to [place_name : bournemouth] [date : tomorrow]";"i would like to know the train timings to bournemouth tomorrow";"I would like to know the train timmings to XXX [date : tomorrow]."
5742;transport;query;"show me the shortest route towards nearest [place_name : train station]";"show me the shortest route towards nearest train station";"Show me the shortest route towards nearest train station."
8933;transport;query;"next [transport_type : train] to [place_name : dc]";"next train to dc";"Next train to D.C."
24198;transport;query;"running [transport_type : train] status to [place_name : vienna]";"running train status to vienna";"running train status to.."
25878;transport;query;"could you list out the list of trains heading to [place_name : chester] [date : the day after]";"could you list out the list of trains heading to chester the day after";"Could you list out the list of trains heading to XX the day after?"
11977;transport;query;"how long does it take to get there";"how long does it take to get there";"How long does it take to get there"
7661;transport;query;"how do i get to [place_name : brighton]";"how do i get to brighton";"How do I get to Brighton?"
21735;transport;query;"can you reserve a ticket to [place_name : grand rapids] by [transport_type : train]";"can you reserve a ticket to grand rapids by train";"can you reserve a ticket to grand rapids by train?"
5150;transport;query;"can you get me [transport_type : train] ticket prices please";"can you get me train ticket prices please";"Can you get me train ticket prices, please?"
2846;transport;query;"where is the closest [place_name : train depot]";"where is the closest train depot";"where is the closest train depot"
26596;transport;query;"what time does the [transport_type : train] arrive in [place_name : sacremento]";"what time does the train arrive in sacremento";"What time does the train arrive in Sacremento?"
5741;transport;query;"show me the path of nearest [place_name : railway station]";"show me the path of nearest railway station";"Show me the path of nearest railway station."
14161;transport;query;"please send me info on how to go about purchasing a [transport_type : train] ticket to [place_name : new york]";"please send me info on how to go about purchasing a train ticket to new york";"Please send me info on how to go about purchasing a train ticket to New York"
16356;transport;query;"are there any trips to location a provided by the [transport_type : train]";"are there any trips to location a provided by the train";"Are there any trips to Location A provided by the train?"
20803;transport;query;"i want to go to [place_name : mcdo]";"i want to go to mcdo";"i want to go to mcdo."
22110;transport;query;"show trains and time to [place_name : ny]";"show trains and time to ny";"show trains and time to Ny"
13891;transport;query;"how much for a [transport_type : train] ticket";"how much for a train ticket";"How much for a train ticket?"
8410;transport;query;"what is the quickest way to my work [place_name : downtown] without hitting any traffic";"what is the quickest way to my work downtown without hitting any traffic";"What is the quickest way to my work downtown without hitting any traffic"
12261;transport;query;"give me directions for the place";"give me directions for the place";"Give me directions for the place"
18910;transport;query;"[transport_type : train] departure";"train departure";"train departure"
