answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
25773;qa;definition;"what is the definition of a [definition_word : probiotic]";"what is the definition of a probiotic";"What is the definition of a probiotic?"
25181;qa;definition;"how would you describe a [definition_word : ball]";"how would you describe a ball";"alexa how would you describe a ball?"
14592;qa;definition;"look up the definition to [definition_word : ambulance]";"look up the definition to ambulance";"look up the definition to ambulance"
20992;qa;definition;"could you please tell me the meaning for the item [definition_word : laptop]";"could you please tell me the meaning for the item laptop";"COULD YOU PLEASE TELL ME THE MEANING FOR THE ITEM LAPTOP."
20515;qa;definition;"siri what does [definition_word : obstacle] mean";"siri what does obstacle mean";"Siri, what does obstacle mean?"
25895;qa;definition;"how is a [definition_word : typhoon] defined";"how is a typhoon defined";"How is a typhoon defined?"
17773;qa;definition;"describe what a [definition_word : poltergeist] is";"describe what a poltergeist is";"Describe what a poltergeist is"
11498;qa;definition;"what does [definition_word : obsessed] mean";"what does obsessed mean";"What does obsessed mean?"
20048;qa;definition;"what is a [definition_word : shoal]";"what is a shoal";"What is a shoal?"
22242;qa;definition;"how would you describe the [definition_word : internet]";"how would you describe the internet";"How would you describe the internet?"
27138;qa;definition;"give me a description of [definition_word : iron fist] on netflix";"give me a description of iron fist on netflix";"Olly, give me a description of Iron Fist on netflix."
753;qa;definition;"tell me about it";"tell me about it";"Tell me about it"
22195;qa;definition;"what is [definition_word : piramid]";"what is piramid";"what is piramid"
25315;qa;definition;"how does the [definition_word : desk] look";"how does the desk look";"how does the desk look"
21179;qa;definition;"describe the [definition_word : computer] to me";"describe the computer to me";"Olly, describe the computer to me?"
18164;qa;definition;"define [definition_word : love] without invoking the term love";"define love without invoking the term love";"Define love without invoking the term love."
19230;qa;definition;"i would like to know the meaning of [definition_word : word]";"i would like to know the meaning of word";"I would like to know the meaning of word?"
5312;qa;definition;"what are the definitions of [definition_word : orange]";"what are the definitions of orange";"PDA, what are the definitions of orange?"
15557;qa;definition;"what does [definition_word : tacobell] stand for";"what does tacobell stand for";"What does tacobell stand for?"
