answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
13956;recommendation;movies;"play a movie i'll like";"play a movie i'll like";"play a movie I'll like"
4665;recommendation;movies;"what time will a movie be shown [date : tomorrow]";"what time will a movie be shown tomorrow";"what time will a movie be shown tomorrow"
7570;recommendation;movies;"what new movies available [date : today]";"what new movies available today";"what new movies available today?"
13955;recommendation;movies;"suggest a good genre movie that came out recently";"suggest a good genre movie that came out recently";"suggest a good genre movie that came out recently"
12568;recommendation;movies;"please recommend a movie";"please recommend a movie";"Please recommend a movie"
8960;recommendation;movies;"what is the highest rated movie [date : this week]";"what is the highest rated movie this week";"What is the highest rated movie this week"
12594;recommendation;movies;"recommend a movie for me";"recommend a movie for me";"Recommend a movie for me."
13053;recommendation;movies;"do you recommend any movies that are currently playing in me area";"do you recommend any movies that are currently playing in me area";"Do you recommend any movies that are currently playing in my area?"
12593;recommendation;movies;"what is the highest rated movie now out";"what is the highest rated movie now out";"What is the highest rated movie now out?"
2975;recommendation;movies;"what is the best movie to watch [date : this weekend]";"what is the best movie to watch this weekend";"What is the best movie to watch this weekend."
8857;recommendation;movies;"which [movie_type : rom com] movie can i watch in theatres around [place_name : new york]";"which rom com movie can i watch in theatres around new york";"Which rom-com movie can I watch in theatres around New York"
26797;recommendation;movies;"can you tell me what movies are playing at the movies [timeofday : tonight]";"can you tell me what movies are playing at the movies tonight";"Can you tell me what movies are playing at the movies tonight?"
12466;recommendation;movies;"what movies are playing at [place_name : theatres] near me";"what movies are playing at theatres near me";"What movies are playing at theatres near me"
7679;recommendation;movies;"show me theatre where [movie_name : pirates of caribbean] is playing";"show me theatre where pirates of caribbean is playing";"Show me theatre where pirates of Caribbean is playing"
15256;recommendation;movies;"what new movies are good";"what new movies are good";"What new movies are good?"
8961;recommendation;movies;"what is the biggest [movie_type : blockbuster] [date : this week]";"what is the biggest blockbuster this week";"What is the biggest blockbuster this week"
9797;recommendation;movies;"find an oscar nominee movie";"find an oscar nominee movie";"Find an Oscar nominee movie"
2399;recommendation;movies;"recommend a [event_name : movie] which is released [date : last Friday]";"recommend a movie which is released last Friday";"Recommend a movie which is released last Friday"
10203;recommendation;movies;"[movie_name : training day]";"training day";"Training Day"
9065;recommendation;movies;"is [movie_name : swat] a good movie";"is swat a good movie";"Olly is Swat a good movie"
9064;recommendation;movies;"how is the new movie [movie_name : swat]";"how is the new movie swat";"Olly how is the new movie SWAT"
19062;recommendation;movies;"what time does [movie_name : thor] start";"what time does thor start";"What time does *** start?"
10202;recommendation;movies;"[movie_name : logan]";"logan";"Logan"
22579;recommendation;movies;"what movies are playing at [business_name : carmike cinemas]";"what movies are playing at carmike cinemas";"Olly, what movies are playing at Carmike Cinemas?"
17930;recommendation;movies;"give me a movie for [timeofday : tonight]";"give me a movie for tonight";"Olly, give me a movie for tonight?"
16483;recommendation;movies;"what movies are playing near me";"what movies are playing near me";"Olly what movies are playing near me?"
13052;recommendation;movies;"recommend a movie playing in me area";"recommend a movie playing in me area";"Recommend a movie playing in my area."
2400;recommendation;movies;"recommend a [event_name : movie] with [movie_type : justin bieber]";"recommend a movie with justin bieber";"Recommend a movie with Justin Bieber."
17745;recommendation;movies;"what is a good movie to see right now";"what is a good movie to see right now";"What is a good movie to see right now"
17738;recommendation;movies;"recommend a [movie_type : romantic comedy] in me area";"recommend a romantic comedy in me area";"Olly, recommend a romantic comedy in my area"
9798;recommendation;movies;"what do you suggest that i watch [date : this weekend]";"what do you suggest that i watch this weekend";"What do you suggest that I watch this weekend?"
15504;recommendation;movies;"what film should i watch";"what film should i watch";"What film should I watch"
12570;recommendation;movies;"movies with good reviews";"movies with good reviews";"Movies with good rivews"
17929;recommendation;movies;"what's a good movie that's out right now";"what's a good movie that's out right now";"Olly, what's a good movie that's out right now?"
25770;recommendation;movies;"[movie_name : fast and the furious]";"fast and the furious";"fast and the furious"
16485;recommendation;movies;"what are good movies playing now";"what are good movies playing now";"Olly what are good movies playing now?"
