answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
129;general;affirm;"great response to command.";"great response to command.";"great response to command."
188;general;affirm;"yeap amazing response to the command.";"yeap amazing response to the command.";"yeap amazing response to the command."
375;general;affirm;"yes you've done your understanding correcly.";"yes you've done your understanding correcly.";"yes you've done your understanding correcly."
60;general;affirm;"yeap you have done answer exactly.";"yeap you have done answer exactly.";"yeap you have done answer exactly."
216;general;affirm;"you have understood my instructions perfectly.";"you have understood my instructions perfectly.";"you have understood my instructions perfectly."
467;general;affirm;"yeap excellent response to the command.";"yeap excellent response to the command.";"yeap excellent response to the command."
528;general;affirm;"yes you have gotten it exactly.";"yes you have gotten it exactly.";"yes you have gotten it exactly."
362;general;affirm;"you have done that perfectly.";"you have done that perfectly.";"you have done that perfectly."
157;general;affirm;"you've got the command exactly.";"you've got the command exactly.";"you've got the command exactly."
343;general;affirm;"you have got that exactly.";"you have got that exactly.";"you have got that exactly."
444;general;affirm;"yes you got command exactly.";"yes you got command exactly.";"yes you got command exactly."
311;general;affirm;"it was wonderful.";"it was wonderful.";"it was wonderful."
42;general;affirm;"fantastic response to command.";"fantastic response to command.";"fantastic response to command."
243;general;affirm;"you have done it correcly.";"you have done it correcly.";"you have done it correcly."
175;general;affirm;"correct response to the command.";"correct response to the command.";"correct response to the command."
400;general;affirm;"yes good response to command.";"yes good response to command.";"yes good response to command."
407;general;affirm;"yeah right.";"yeah right.";"yeah right."
80;general;affirm;"yes fantastic.";"yes fantastic.";"yes fantastic."
189;general;affirm;"your understanding was exact.";"your understanding was exact.";"your understanding was exact."
