answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
2059;qa;definition;"please define [definition_word : forensic]";"please define forensic";"Please define forensic"
2514;qa;definition;"tell about the origin of the word [definition_word : evolution]";"tell about the origin of the word evolution";"Tell about the origin of the word"
8995;qa;definition;"what's the definition of [definition_word : diverse]";"what's the definition of diverse";"What's the definition of diverse?"
18832;qa;definition;"what is [definition_word : love]";"what is love";"what is love"
20527;qa;definition;"what is a [definition_word : trebuchet]";"what is a trebuchet";"What is a trebuchet?"
17399;qa;definition;"what do you know about [definition_word : the statue of liberty]";"what do you know about the statue of liberty";"What do you know about the statue of Liberty"
12014;qa;definition;"google definition for me";"google definition for me";"google pda definition for me"
15522;qa;definition;"Define [definition_word : economics]";"Define economics";"Define Economics"
8529;qa;definition;"what does h2o stand for";"what does h2o stand for";"What does H2O stand for?"
7792;qa;definition;"meaning of word";"meaning of word";"meaning of word"
20764;qa;definition;"please tell me the definition of [definition_word : home]";"please tell me the definition of home";"Please tell me the definition of home"
26528;qa;definition;"how would you define a [definition_word : car]";"how would you define a car";"How would yo define object A?"
3623;qa;definition;"look up [definition_word : animal] and give me the definition";"look up animal and give me the definition";"Look up animal and give me the definition"
17274;qa;definition;"describe a [definition_word : rotor]";"describe a rotor";"Describe a rotor"
26010;qa;definition;"define [definition_word : the moon] for me";"define the moon for me";"Define the moon for me."
18866;qa;definition;"define [definition_word : flabbergasted]";"define flabbergasted";"Define flabbergasted."
26639;qa;definition;"find the meaning of [definition_word : promise]";"find the meaning of promise";"Find the meaning of promise."
23575;qa;definition;"define [definition_word : rumplestiltskin]";"define rumplestiltskin";"Define Rumplestiltskin."
22411;qa;definition;"what does a [definition_word : grapefruit] look like";"what does a grapefruit look like";"What does a grapefruit look like?"
23766;qa;definition;"give me the definition of the word [definition_word : fondle]";"give me the definition of the word fondle";"Give me the definition of the word fondle"
17307;qa;definition;"[definition_word : sanctimonious] definition";"sanctimonious definition";"Sanctimonious definition"
19811;qa;definition;"what does a [definition_word : sea lion] look like";"what does a sea lion look like";"What does a sea lion look like?"
26948;qa;definition;"define a phrase [definition_word : blue sky research]";"define a phrase blue sky research";"define a phrase blue sky research"
15812;qa;definition;"please tell me what a [definition_word : crankshaft] is";"please tell me what a crankshaft is";"Please tell me what a crankshaft is?"
7837;qa;definition;"define [definition_word : oscillate]";"define oscillate";"Define oscillate"
4941;qa;definition;"do you know the definition of [definition_word : school]";"do you know the definition of school";"Do you know the definition of school"
15637;qa;definition;"what does it look like";"what does it look like";"What does it look like?"
20960;qa;definition;"tell me what the word [definition_word : organism] means";"tell me what the word organism means";"Tell me what the word organism means"
18521;qa;definition;"can you describe to me what a [definition_word : pineapple] looks like";"can you describe to me what a pineapple looks like";"Can you describe to me what a pineapple looks like"
24299;qa;definition;"describe what a [definition_word : sphere] is";"describe what a sphere is";"describe what a sphere is"
15638;qa;definition;"describe [definition_word : joe] for me please";"describe joe for me please";"Describe (insert) for me please"
22241;qa;definition;"hey what's a [definition_word : book]";"hey what's a book";"Hey what's a book?"
19829;qa;definition;"give me the definition of [definition_word : carion]";"give me the definition of carion";"Give me the definition of carion."
23774;qa;definition;"please describe about [definition_word : microwave]";"please describe about microwave";"Please describe about microwave"
17774;qa;definition;"define [definition_word : loquaciousness]";"define loquaciousness";"Define loquaciousness"
22762;qa;definition;"what is the definition of [definition_word : inchoate]";"what is the definition of inchoate";"What is the definition of inchoate?"
17116;qa;definition;"what is a [definition_word : chair]";"what is a chair";"what is a chair"
23624;qa;definition;"what is the meaning of [definition_word : this word]";"what is the meaning of this word";"what is the meaning of this word"
20993;qa;definition;"please tell me what is the definition of [definition_word : cylinder]";"please tell me what is the definition of cylinder";"PLEASE TELL ME WHAT IS THE DEFINITION OF CYLINDER."
24604;qa;definition;"can you define [definition_word : conservative politics]";"can you define conservative politics";"can you define conservative politics"
26947;qa;definition;"describe a [definition_word : romantic love]";"describe a romantic love";"describe a romantic love"
26179;qa;definition;"what does a [definition_word : geranium] look like";"what does a geranium look like";"What does a geranium look like?"
26200;qa;definition;"what does this [definition_word : stitch long sleeved shirt] look like";"what does this stitch long sleeved shirt look like";"What does this Stitch long sleeved shirt look like"
22757;qa;definition;"definition of [definition_word : velocity]";"definition of velocity";"definition of velocity"
27267;qa;definition;"can you tell me what an [definition_word : chaise] is";"can you tell me what an chaise is";"Can you tell me what an X is?"
12789;qa;definition;"show meaning of [definition_word : clarion]";"show meaning of clarion";"Show meaning of clarion"
24194;qa;definition;"give me the description of a [definition_word : smartphone circuit]";"give me the description of a smartphone circuit";"Give me the description of a Smartphone circuit"
27266;qa;definition;"describe a [definition_word : chart]";"describe a chart";"Describe a..."
24939;qa;definition;"define what's a [definition_word : goalkeeper]";"define what's a goalkeeper";"Define what's├ö├ç├» a goalkeeper"
26473;qa;definition;"what is google";"what is google";"Alexa, what is google?"
17801;qa;definition;"define [definition_word : cpu]";"define cpu";"Define 'CPU'."
8016;qa;definition;"what is [definition_word : photosynthesis]";"what is photosynthesis";"What is photosynthesis"
26104;qa;definition;"could you describe that object please";"could you describe that object please";"Could you describe that object please."
23764;qa;definition;"give me the definition of the word [definition_word : armor]";"give me the definition of the word armor";"Give me the definition of the word armor"
20528;qa;definition;"tell me about [definition_word : medieval war engines]";"tell me about medieval war engines";"Tell me about medieval war engines."
26943;qa;definition;"hey what is the definition of [definition_word : recipe]";"hey what is the definition of recipe";"Hey, Olly. What is the definition of recipe?"
18833;qa;definition;"the definition of [definition_word : life]";"the definition of life";"the definition of life"
25773;qa;definition;"what is the definition of a [definition_word : probiotic]";"what is the definition of a probiotic";"What is the definition of a probiotic?"
25181;qa;definition;"how would you describe a [definition_word : ball]";"how would you describe a ball";"alexa how would you describe a ball?"
14592;qa;definition;"look up the definition to [definition_word : ambulance]";"look up the definition to ambulance";"look up the definition to ambulance"
20992;qa;definition;"could you please tell me the meaning for the item [definition_word : laptop]";"could you please tell me the meaning for the item laptop";"COULD YOU PLEASE TELL ME THE MEANING FOR THE ITEM LAPTOP."
20515;qa;definition;"siri what does [definition_word : obstacle] mean";"siri what does obstacle mean";"Siri, what does obstacle mean?"
25895;qa;definition;"how is a [definition_word : typhoon] defined";"how is a typhoon defined";"How is a typhoon defined?"
17773;qa;definition;"describe what a [definition_word : poltergeist] is";"describe what a poltergeist is";"Describe what a poltergeist is"
11498;qa;definition;"what does [definition_word : obsessed] mean";"what does obsessed mean";"What does obsessed mean?"
20048;qa;definition;"what is a [definition_word : shoal]";"what is a shoal";"What is a shoal?"
22242;qa;definition;"how would you describe the [definition_word : internet]";"how would you describe the internet";"How would you describe the internet?"
27138;qa;definition;"give me a description of [definition_word : iron fist] on netflix";"give me a description of iron fist on netflix";"Olly, give me a description of Iron Fist on netflix."
753;qa;definition;"tell me about it";"tell me about it";"Tell me about it"
22195;qa;definition;"what is [definition_word : piramid]";"what is piramid";"what is piramid"
25315;qa;definition;"how does the [definition_word : desk] look";"how does the desk look";"how does the desk look"
21179;qa;definition;"describe the [definition_word : computer] to me";"describe the computer to me";"Olly, describe the computer to me?"
18164;qa;definition;"define [definition_word : love] without invoking the term love";"define love without invoking the term love";"Define love without invoking the term love."
19230;qa;definition;"i would like to know the meaning of [definition_word : word]";"i would like to know the meaning of word";"I would like to know the meaning of word?"
5312;qa;definition;"what are the definitions of [definition_word : orange]";"what are the definitions of orange";"PDA, what are the definitions of orange?"
15557;qa;definition;"what does [definition_word : tacobell] stand for";"what does tacobell stand for";"What does tacobell stand for?"
23309;qa;definition;"definition for [definition_word : object name]";"definition for object name";"definition for object name"
19289;qa;definition;"what is the definition of [definition_word : problematic]";"what is the definition of problematic";"What is the definition of Problematic?"
14166;qa;definition;"please search for this word";"please search for this word";"please search for this word"
21062;qa;definition;"describe [definition_word : blanket]";"describe blanket";"describe blanket"
25164;qa;definition;"[definition_word : pontificate] definition";"pontificate definition";"alexa pontificate definition."
26874;qa;definition;"define the word [definition_word : novel]";"define the word novel";"Olly, define the word 'novel'."
20440;qa;definition;"what is [definition_word : laptop]";"what is laptop";"What is laptop"
26708;qa;definition;"describe a [definition_word : fifty inch smart tv]";"describe a fifty inch smart tv";"Describe a fifty inch smart TV."
8387;qa;definition;"what does the word labyrinth mean";"what does the word labyrinth mean";"What does the word labyrinth mean?"
15966;qa;definition;"what does it mean to be [definition_word : overbearing]";"what does it mean to be overbearing";"What does it mean to be overbearing?"
16843;qa;definition;"describe [definition_word : the statue of liberty]";"describe the statue of liberty";"Describe the Statue of Liberty."
11452;qa;definition;"define [definition_word : swerving]";"define swerving";"Define swerving."
26561;qa;definition;"what is [definition_word : computer]";"what is computer";"Alexa, what is computer?"
7553;qa;definition;"what is [definition_word : hurricane]";"what is hurricane";"What is hurricane"
7554;qa;definition;"tell me all about [definition_word : hurricane]";"tell me all about hurricane";"Tell me all about hurricane"
27413;qa;definition;"what does [definition_word : speaker] mean";"what does speaker mean";"What does speaker mean?"
22788;qa;definition;"look up word";"look up word";"Look up word"
6343;qa;definition;"what is the definition of [definition_word : session]";"what is the definition of session";"What is the definition of session"
25404;qa;definition;"describe a [definition_word : workhouse] for me";"describe a workhouse for me";"Describe a workhouse for me."
20739;qa;definition;"describe [definition_word : rock sand]";"describe rock sand";"describe rock sand"
15641;qa;definition;"describe [definition_word : london] for me please";"describe london for me please";"Describe (insert) for me please"
26008;qa;definition;"what defines a [definition_word : triangle]";"what defines a triangle";"What defines a triangle?"
26972;qa;definition;"give me the definition of [definition_word : arrow]";"give me the definition of arrow";"give me the definition of arrow"
20737;qa;definition;"what is [definition_word : rock sand]";"what is rock sand";"what is rock sand"
26562;qa;definition;"what is [definition_word : telekenesis]";"what is telekenesis";"Alexa, what is PDA?"
18272;qa;definition;"siri what is the definition of [definition_word : ziggurat]";"siri what is the definition of ziggurat";"Siri, what is the definition of ziggurat?"
27412;qa;definition;"what is this thing";"what is this thing";"What is this thing?"
26527;qa;definition;"please describe a [definition_word : car]";"please describe a car";"please describe object A."
23258;qa;definition;"can you tell me what [definition_word : haggis] looks like";"can you tell me what haggis looks like";"Can you tell me what haggis looks like?"
27190;qa;definition;"i need to get the definition of a word [definition_word : massive]";"i need to get the definition of a word massive";"I need to get the definition of a word"
7794;qa;definition;"origin of word";"origin of word";"origin of word"
16845;qa;definition;"give me the specs on [definition_word : the bugatti veyron]";"give me the specs on the bugatti veyron";"Give me the specs on the Bugatti Veyron."
24116;qa;definition;"whats the definition of [definition_word : indignation]";"whats the definition of indignation";"whats the definition of indignation"
25980;qa;definition;"could you explain the meaning of [definition_word : exorbitant] for me please";"could you explain the meaning of exorbitant for me please";"Could you explain the meaning of exorbitantfor me please?"
26180;qa;definition;"please describe an [definition_word : elephant] to me";"please describe an elephant to me";"Please describe an elephant to me."
15556;qa;definition;"what does [definition_word : potato] mean";"what does potato mean";"What does potato mean?"
17545;qa;definition;"what is this";"what is this";"what is this"
24585;qa;definition;"give me the description of a [definition_word : mobile battery functioning]";"give me the description of a mobile battery functioning";"Give me the description of a mobile battery functioning"
19387;qa;definition;"what is a [definition_word : banana]";"what is a banana";"what is a banana"
24897;qa;definition;"what is [definition_word : marketing]";"what is marketing";"what is marketing"
26942;qa;definition;"hey what is the definition of [definition_word : survey]";"hey what is the definition of survey";"Hey, Olly. What is the definition of survey?"
22340;qa;definition;"define [definition_word : god]";"define god";"Define God"
26560;qa;definition;"define [definition_word : television]";"define television";"Alexa, define Television"
20049;qa;definition;"how does a [definition_word : cheetah] look";"how does a cheetah look";"How does a cheetah look?"
18238;qa;definition;"find me a description of [definition_word : morel mushrooms]";"find me a description of morel mushrooms";"Find me a description of morel mushrooms."
26848;qa;definition;"what does [definition_word : snafu] mean";"what does snafu mean";"Olly, what does 'snafu' mean?"
19660;qa;definition;"[definition_word : mobile device] explanation";"mobile device explanation";"Mobile device explanation."
27219;qa;definition;"please search for [definition_word : dining tables]";"please search for dining tables";"please search for dining tables"
27136;qa;definition;"how would you describe [definition_word : the sun]";"how would you describe the sun";"Olly, how would you describe the sun?"
17802;qa;definition;"what is a [definition_word : monitor]";"what is a monitor";"What is a monitor?"
20738;qa;definition;"give details of [definition_word : rock sand]";"give details of rock sand";"give details of rock sand"
14067;qa;definition;"meaning of [definition_word : enthusiastic]";"meaning of enthusiastic";"Meaning of enthusiastic"
12013;qa;definition;"what does [definition_word : pda] mean";"what does pda mean";"what does 'pda' mean?"
19828;qa;definition;"what does [definition_word : triumph] mean";"what does triumph mean";"What does triumph mean?"
17400;qa;definition;"tell me about [definition_word : the sports stadium]";"tell me about the sports stadium";"Tell me about the sports stadium"
26850;qa;definition;"look up the word [definition_word : snafu]";"look up the word snafu";"Olly, look up the word 'snafu'."
14591;qa;definition;"can i get the definition to [definition_word : ambulance]";"can i get the definition to ambulance";"can i get the definition to ambulance"
17809;qa;definition;"object identifier";"object identifier";"object identifier"
26551;qa;definition;"description of [definition_word : iphone seven]";"description of iphone seven";"Description of Iphone 7"
21108;qa;definition;"what is the definition of this";"what is the definition of this";"What is the definition of this?"
15642;qa;definition;"what does [definition_word : happy] mean";"what does happy mean";"What does (insert) mean ?"
25896;qa;definition;"what does a [definition_word : beech tree] look like";"what does a beech tree look like";"What does a beech tree look like?"
27338;qa;definition;"can you define this word";"can you define this word";"PDA can you define this word"
18900;qa;definition;"how does merriam webster define [definition_word : ultra]";"how does merriam webster define ultra";"how does merriam webster define ultra?"
17318;qa;definition;"describe a [definition_word : tomatillo]";"describe a tomatillo";"Describe a tomatillo"
22758;qa;definition;"give description of [definition_word : statue of liberty]";"give description of statue of liberty";"give description of statue of liberty"
20865;qa;definition;"give me the definition of [definition_word : formidable]";"give me the definition of formidable";"Give me the definition of formidable."
21063;qa;definition;"[definition_word : blanket] definition";"blanket definition";"blanket definition"
23807;qa;definition;"tell me about [definition_word : rock]";"tell me about rock";"tell me about Rock.!"
20136;qa;definition;"search [definition_word : this object's] definition";"search this object's definition";"Search this object's definition"
7722;qa;definition;"google the word";"google the word";"google the word"
22525;qa;definition;"define [definition_word : alarm]";"define alarm";"Define alarm"
11917;qa;definition;"look up what this word means";"look up what this word means";"Look up what this word means"
