answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
5373;iot;hue_lightdim;"lower the lights in the [house_place : bedroom]";"lower the lights in the bedroom";"Lower the lights in the bedroom"
12437;iot;hue_lightdim;"dim the lights in my [house_place : bedroom]";"dim the lights in my bedroom";"Dim the lights in my bedroom"
6567;iot;hue_lightdim;"period the light should be in dim";"period the light should be in dim";"Period the light should be in dim"
20229;iot;hue_lightdim;"please turn down the lights in the [house_place : house]";"please turn down the lights in the house";"Alexa, please turn down the lights in the house."
11611;iot;hue_lightdim;"lower lights";"lower lights";"Lower lights"
47;iot;hue_lightdim;"dim the lights in the [house_place : kitchen]";"dim the lights in the kitchen";"dim the lights in the kitchen"
3745;iot;hue_lightdim;"dim the lights [change_amount : a bit]";"dim the lights a bit";"dim the lights a bit"
9269;iot;hue_lightdim;"lights down [change_amount : to seven]";"lights down to seven";"Alexa, lights down to 7"
19398;iot;hue_lightdim;"[house_place : bed room two] darken";"bed room two darken";"bed room 2 darken"
15078;iot;hue_lightdim;"please darken the lights";"please darken the lights";"Please darken the lights."
12294;iot;hue_lightdim;"lower lights please";"lower lights please";"lower lights please"
12293;iot;hue_lightdim;"i want a lower light";"i want a lower light";"I want a lower light"
