answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
16403;iot;hue_lightup;"light up";"light up";"light up"
1863;iot;hue_lightup;"lighten the light";"lighten the light";"Lighten the light"
14532;iot;hue_lightup;"i need the lights in here to be turned up to [time : seven]";"i need the lights in here to be turned up to seven";"I need the lights in here to be turned up to 7."
1943;iot;hue_lightup;"increase brightness [change_amount : by twenty percent]";"increase brightness by twenty percent";"increase brightness by 20 percent"
5801;iot;hue_lightup;"increase the light in the [house_place : room]";"increase the light in the room";"Increase the light in the room"
8203;iot;hue_lightup;"can you turn up the lights";"can you turn up the lights";"Can you turn up the lights?"
13682;iot;hue_lightup;"i would like all the lights on when i enter";"i would like all the lights on when i enter";"I would like all the lights on when I enter."
22731;iot;hue_lightup;"please arrange to make [device_type : all lights] to show brighter";"please arrange to make all lights to show brighter";"please arrange to make all lights to show  brighter"
15067;iot;hue_lightup;"brighten [house_place : living room] lights";"brighten living room lights";"Brighten living room lights"
12231;iot;hue_lightup;"raise all the lights on";"raise all the lights on";"raise all the lights on"
14128;iot;hue_lightup;"raise the lights";"raise the lights";"raise the lights"
7858;iot;hue_lightup;"brighten the light [change_amount : at seventy percent]";"brighten the light at seventy percent";"BRIGTEN THE LIGHT AT 70 PERCENT"
9639;iot;hue_lightup;"increase";"increase";"Increase the light level."
7275;iot;hue_lightup;"brighten the lights";"brighten the lights";"brighten the lights"
9637;iot;hue_lightup;"i need more light";"i need more light";"I need more light."
2910;iot;hue_lightup;"make the light more visible";"make the light more visible";"Make the light more visible."
22562;iot;hue_lightup;"olly brighten the lights";"olly brighten the lights";"Google, brighten the lights."
6231;iot;hue_lightup;"can you adjust the lighting for me to be brighter";"can you adjust the lighting for me to be brighter";"Can you adjust the lighting for me to be brighter?"
9507;iot;hue_lightup;"increase the intensity of the lighting in the [house_place : room]";"increase the intensity of the lighting in the room";"Increase the intensity of the lighting in the room"
7527;iot;hue_lightup;"i need some more lights";"i need some more lights";"I need some more lights."
6229;iot;hue_lightup;"can you brighten up the lights please";"can you brighten up the lights please";"Can you brighten up the lights please?"
9114;iot;hue_lightup;"light colour for [house_place : study room]";"light colour for study room";"light colour for study room"
27383;iot;hue_lightup;"make it brighter in here";"make it brighter in here";"Make it brighter in here"
607;iot;hue_lightup;"make lights brightener";"make lights brightener";"Make lights brightener"
4286;iot;hue_lightup;"can you increase the brightness in the [house_place : room]";"can you increase the brightness in the room";"Can you increase the brightness in the room?"
1778;iot;hue_lightup;"make the lights brighter";"make the lights brighter";"Olly make the lights brighter"
3855;iot;hue_lightup;"increase the brightness of the lights";"increase the brightness of the lights";"Cortana, increase the brightness of the lights."
20120;iot;hue_lightup;"can you make the [house_place : room] brighter";"can you make the room brighter";"Can you make the room brighter?"
20119;iot;hue_lightup;"brighten the lights a little bit";"brighten the lights a little bit";"Brighten the lights a little bit."
14608;iot;hue_lightup;"increase lighting";"increase lighting";"increase lighting"
23232;iot;hue_lightup;"brighten of lights in [house_place : living room]";"brighten of lights in living room";"brighten  of lights in living room"
4287;iot;hue_lightup;"please make the [house_place : room] brighter";"please make the room brighter";"Please make the room brighter."
11688;iot;hue_lightup;"retrieve the light for me";"retrieve the light for me";"Olly retrieve the light for me."
11010;iot;hue_lightup;"make this [house_place : room] brighter";"make this room brighter";"make this room brighter"
24354;iot;hue_lightup;"[device_type : every light] of [house_place : room] increase its intensity";"every light of room increase its intensity";"every light of room increase its intensity"
12230;iot;hue_lightup;"brighten the lights in this [house_place : room]";"brighten the lights in this room";"brighten the lights in this room"
14530;iot;hue_lightup;"please turn up the light a little";"please turn up the light a little";"Please turn up the light a little."
11008;iot;hue_lightup;"hey olly turn up the lights a little";"hey olly turn up the lights a little";"hey PDA turn up the lights a little"
10569;iot;hue_lightup;"pull up lights control";"pull up lights control";"Pull up lights control."
15068;iot;hue_lightup;"raise [house_place : living room] lights half way";"raise living room lights half way";"Raise living room lights half way"
16388;iot;hue_lightup;"turn up the brightness of the lights";"turn up the brightness of the lights";"Turn up the brightness of the lights."
16434;iot;hue_lightup;"it is too dark in here increase the brightness of the lights";"it is too dark in here increase the brightness of the lights";"It is too dark in here, increase the brightness of the lights."
8625;iot;hue_lightup;"a little brighter thanks";"a little brighter thanks";"a little brighter thanks"
11687;iot;hue_lightup;"i need the lights raised can you do that";"i need the lights raised can you do that";"I need the lights raised,  can you do that Olly?"
2909;iot;hue_lightup;"increase the light [change_amount : a little]";"increase the light a little";"Increase the light a little."
14610;iot;hue_lightup;"brighten up the lighting";"brighten up the lighting";"brighten up the lighting"
1862;iot;hue_lightup;"brighten the [device_type : lamp next to the sofa]";"brighten the lamp next to the sofa";"Brighten the lamp next to the sofa"
4285;iot;hue_lightup;"turn up the lights please";"turn up the lights please";"Turn up the lights please."
3853;iot;hue_lightup;"please turn the lights up";"please turn the lights up";"Cortana, please turn the lights up."
20052;iot;hue_lightup;"increase the light";"increase the light";"increase the light"
24984;iot;hue_lightup;"add light";"add light";"add light"
9018;iot;hue_lightup;"i can't see turn up the lights";"i can't see turn up the lights";"I can't see, turn up the lights."
3585;iot;hue_lightup;"lights brighter";"lights brighter";"Lights brighter"
22729;iot;hue_lightup;"please put [device_type : all the lights]";"please put all the lights";"Please put all the lights"
10400;iot;hue_lightup;"turn up the brightness";"turn up the brightness";"Turn up the brightness"
16828;iot;hue_lightup;"raise the [device_type : lamp's light]";"raise the lamp's light";"Raise the lamp's light."
4187;iot;hue_lightup;"brighten the lights in the [house_place : hallway]";"brighten the lights in the hallway";"Brighten the lights in the hallway"
12980;iot;hue_lightup;"increase lights please";"increase lights please";"Increase lights please"
11161;iot;hue_lightup;"switch up the color of the lights in the [house_place : house]";"switch up the color of the lights in the house";"Switch up the color of the lights in the house."
22563;iot;hue_lightup;"brighten the lights in [house_place : living room]";"brighten the lights in living room";"Alexa,  brighten the lights in living room."
4186;iot;hue_lightup;"turn up the lights in the [house_place : living room]";"turn up the lights in the living room";"Turn up the lights in the living room"
13209;iot;hue_lightup;"it's a bit dark increase lighting";"it's a bit dark increase lighting";"It's a bit dark, increase lighting"
5659;iot;hue_lightup;"please brighten the lights";"please brighten the lights";"Please brighten the lights"
10399;iot;hue_lightup;"raise the brightness of the lights";"raise the brightness of the lights";"Raise the brightness of the lights"
16389;iot;hue_lightup;"up the brightness on these lights";"up the brightness on these lights";"Up the brightness on these lights."
3584;iot;hue_lightup;"turn up lights";"turn up lights";"Turn up lights"
14272;iot;hue_lightup;"raise lights";"raise lights";"raie lights"
17827;iot;hue_lightup;"can you brighten the lights for me";"can you brighten the lights for me";"Can you brighten the lights for me?"
9638;iot;hue_lightup;"give me more light";"give me more light";"Give me more light."
23231;iot;hue_lightup;"please set the brightness of lightness appropriately in [house_place : kitchen]";"please set the brightness of lightness appropriately in kitchen";"please set the brightness of lightness appropriately in kitchen"
23467;iot;hue_lightup;"more bright";"more bright";"more bright"
24353;iot;hue_lightup;"brighten the light of [house_place : hall]";"brighten the light of hall";"brighten the light of hall"
18945;iot;hue_lightup;"please turn the lights brighter";"please turn the lights brighter";"Please turn the lights brighter."
5339;iot;hue_lightup;"please raise the light i am not comfortable at this";"please raise the light i am not comfortable at this";"PLZ RAISE THE LIGHT, I AM NOT COMFORTABLE AT THIS."
