answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
103;general;praise;"you did great job, musch appreciated.";"you did great job, musch appreciated.";"you did great job, musch appreciated."
129;general;praise;"it's fantastic, thanks.";"it's fantastic, thanks.";"it's fantastic, thanks."
18;general;praise;"you are so helpful, thank you so much, olly.";"you are so helpful, thank you so much, olly.";"you are so helpful, thank you so much, olly."
20;general;praise;"you are the best, thank you so much, olly.";"you are the best, thank you so much, olly.";"you are the best, thank you so much, olly."
260;general;praise;"it's excellent, appreciated.";"it's excellent, appreciated.";"it's excellent, appreciated."
460;general;praise;"great job, you have done well.";"great job, you have done well.";"great job, you have done well."
399;general;praise;"you did nice job, appreciated, olly.";"you did nice job, appreciated, olly.";"you did nice job, appreciated, olly."
538;general;praise;"that's useful, thank you very much.";"that's useful, thank you very much.";"that's useful, thank you very much."
424;general;praise;"you have done it correctly musch appreciated, olly.";"you have done it correctly musch appreciated, olly.";"you have done it correctly musch appreciated, olly."
631;general;praise;"that's nice job, thank you so much.";"that's nice job, thank you so much.";"that's nice job, thank you so much."
93;general;praise;"you are awesome,.";"you are awesome,.";"you are awesome,."
649;general;praise;"awesome work, you did well.";"awesome work, you did well.";"awesome work, you did well."
81;general;praise;"you are so helpful, thank you so much.";"you are so helpful, thank you so much.";"you are so helpful, thank you so much."
204;general;praise;"excellent job, you have done well.";"excellent job, you have done well.";"excellent job, you have done well."
756;general;praise;"you are my hero,.";"you are my hero,.";"you are my hero,."
217;general;praise;"that's nice one, thanks.";"that's nice one, thanks.";"that's nice one, thanks."
344;general;praise;"you are helpful, musch appreciated.";"you are helpful, musch appreciated.";"you are helpful, musch appreciated."
313;general;praise;"that's helpful, i appreciate it.";"that's helpful, i appreciate it.";"that's helpful, i appreciate it."
200;general;praise;"oh that's good, olly.";"oh that's good, olly.";"oh that's good, olly."
