answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
19740;transport;taxi;"request a driver for [transport_agency : uber] [time : in five minutes]";"request a driver for uber in five minutes";"Request a driver for Uber in 5 minutes"
18893;transport;taxi;"order me an [transport_agency : uber] ride please";"order me an uber ride please";"Order me n Uber ride please."
6841;transport;taxi;"call [transport_type : yellow cab]";"call yellow cab";"Call Yellow Cab"
10971;transport;taxi;"find an [transport_agency : uber] that can get me to the [place_name : airport] now";"find an uber that can get me to the airport now";"Find an Uber that can get me to the airport now."
12186;transport;taxi;"book me a [transport_type : taxi] from [place_name : castle street] to [place_name : airport]";"book me a taxi from castle street to airport";"book me a taxi from XXX to XXX destination"
6541;transport;taxi;"call a [transport_type : taxi]";"call a taxi";"Call a taxi"
7917;transport;taxi;"book a [transport_type : taxi]";"book a taxi";"Book a taxi"
17455;transport;taxi;"book an [transport_agency : uber] to pick me up outside of [place_name : long island bar] right now";"book an uber to pick me up outside of long island bar right now";"Book an Uber to pick me up outside of Long Island Bar right now."
14567;transport;taxi;"call a [transport_type : taxi] to pick me up at work";"call a taxi to pick me up at work";"Call a taxi to pick me up at work."
10969;transport;taxi;"find an [transport_agency : uber] driver available for [timeofday : tonight] after [time : ten pm]";"find an uber driver available for tonight after ten pm";"Find an uber driver available for tonight after 10 pm."
12472;transport;taxi;"book me an [transport_agency : uber]";"book me an uber";"PDA, book me an Uber."
71;transport;taxi;"schedule an [transport_agency : uber] in [time : twenty minutes] to [business_name : tesco] on [place_name : fifth street]";"schedule an uber in twenty minutes to tesco on fifth street";"Schedule an uber in 20 minutes to Tesco on 5th street"
14566;transport;taxi;"get me a [transport_type : taxi] to the [place_name : airport] right now";"get me a taxi to the airport right now";"Get me a taxi to the airport right now?"
21582;transport;taxi;"have a [transport_type : taxi] pick me up";"have a taxi pick me up";"Have a taxi pick me up."
13964;transport;taxi;"book me a [transport_agency : uber] for [date : tomorrow] [timeofday : night] at [time : six pm]";"book me a uber for tomorrow night at six pm";"Book me a Uber for tomorrow night at 6 pm."
23514;transport;taxi;"book for me an [transport_agency : uber] [transport_type : taxi] to [place_name : carmen drive]";"book for me an uber taxi to carmen drive";"Book for me an Uber taxi to Carmen Drive"
24516;transport;taxi;"[transport_agency : uber]";"uber";"uber"
