answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
21317;email;sendemail;"i want the email to be sent to my new email address [email_address : abc@gmail dot com]";"i want the email to be sent to my new email address abc@gmail dot com";"I want the email to be sent to my new email address, abc@gmail.com"
548;email;sendemail;"email my favourite contacts";"email my favourite contacts";"email my favourite contacts"
17667;email;sendemail;"i did not want you to send that text yet wait until i say send";"i did not want you to send that text yet wait until i say send";"I did not want you to send that text yet, wait until I say send."
6529;email;sendemail;"send an email to my [relation : boss] about my leave";"send an email to my boss about my leave";"Send an email to my boss about my leave"
12027;email;sendemail;"i need to edit [person : marie jones] email address to read";"i need to edit marie jones email address to read";"I need to edit Marie Jones' email address to read jonesm1980@yahoo.com."
6244;email;sendemail;"send an email to [person : peter] and ask him how is he now can i do something to help him";"send an email to peter and ask him how is he now can i do something to help him";"Send an email to Peter and ask him how is he now. Can I do something to help him."
16045;email;sendemail;"please send an email to [person : john] saying i'm on leave";"please send an email to john saying i'm on leave";"Please send an email to John saying I'm on Leave"
10466;email;sendemail;"send an email with the address you gave me to [person : jean] saying meet us here at [time : eight pm]";"send an email with the address you gave me to jean saying meet us here at eight pm";"PDA: Reply to Bill's email and add it to my contact list"
2237;email;sendemail;"compose a new email to [person : ray]";"compose a new email to ray";"Compose a new email to Ray"
11358;email;sendemail;"mail [email_address : macs@xorg]";"mail macs@xorg";"mail x@x.org"
9768;email;sendemail;"send a [event_name : birthday] email to my [relation : boss]";"send a birthday email to my boss";"Send a birthday email to my boss"
11485;email;sendemail;"start email";"start email";"Alexa start email."
6077;email;sendemail;"email my [relation : boss] that i will be late [date : today] because of an emergency and apologize to him for missing the [event_name : meeting]";"email my boss that i will be late today because of an emergency and apologize to him for missing the meeting";"Email my boss that I will be late today because of an emergency and apologize to him for missing the meeting."
5158;email;sendemail;"send an email to [person : rohit] saying i am busy tomorrow";"send an email to rohit saying i am busy tomorrow";"send an email to 'rohit' saying 'I am busy tommorrow'"
20835;email;sendemail;"reply email";"reply email";"reply email"
22282;email;sendemail;"send an email to [email_address : qerwerq@hotmail dot com]";"send an email to qerwerq@hotmail dot com";"Send an email to qerwerq@dfasdfa.com"
11806;email;sendemail;"please sent this email to my [relation : friend]";"please sent this email to my friend";"Please sent this email to my friend"
9610;email;sendemail;"send email to [relation : bro] and say hi come down for [meal_type : dinner] [timeofday : tonight]";"send email to bro and say hi come down for dinner tonight";"Send Email to Bro and say Hi come down for dinner tonight"
10953;email;sendemail;"send [relation : mom] the following email";"send mom the following email";"Alexa, send mom the following email"
