answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
8192;iot;hue_lighton;"hey turn on [device_type : disco lights] in my [house_place : apartment] and let the party begin";"hey turn on disco lights in my apartment and let the party begin";"Hey Alexa, turn on disco lights in my apartment and let the party begin"
15693;iot;hue_lighton;"overhead lights on please";"overhead lights on please";"Overhead lights on, please."
null;iot;hue_lighton;"switch on light";"switch on light";"null"
18943;iot;hue_lighton;"please turn the lights on";"please turn the lights on";"Please turn the lights on."
16149;iot;hue_lighton;"turn on the lights that are outdoors";"turn on the lights that are outdoors";"Turn on the lights that are outdoors."
27384;iot;hue_lighton;"i can't see anything";"i can't see anything";"I can't see anything"
14673;iot;hue_lighton;"it is dark";"it is dark";"It is dark, we need additional lighting, please adjust."
10189;iot;hue_lighton;"clap on";"clap on";"Clap on!"
9897;iot;hue_lighton;"i want to turn on the [device_type : blue lights]";"i want to turn on the blue lights";"I want to turn on the blue lights."
5975;iot;hue_lighton;"turn on [house_place : hall] lights";"turn on hall lights";"Turn on hall lights."
5800;iot;hue_lighton;"turn the lights on";"turn the lights on";"Turn the lights on"
9016;iot;hue_lighton;"turn the lights on brighter";"turn the lights on brighter";"Turn the lights on brighter"
1942;iot;hue_lighton;"it's too dark here";"it's too dark here";"it's too dark here"
1779;iot;hue_lighton;"it's too dark i can't even see my hands";"it's too dark i can't even see my hands";"Olly it's too dark I can't even see my hands"
24478;iot;hue_lighton;"turn on the [device_type : lights]";"turn on the lights";"Turn on the lights"
11342;iot;hue_lighton;"turn on the [device_type : lamp]";"turn on the lamp";"turn on the lamp"
13681;iot;hue_lighton;"please turn on the lights in my [house_place : house]";"please turn on the lights in my house";"Please turn on the lights in my house."
2382;iot;hue_lighton;"lights out";"lights out";"lights out"
13046;iot;hue_lighton;"please turn on all the outdoor lights";"please turn on all the outdoor lights";"pls turn on all the outdoor lights"
1685;iot;hue_lighton;"and the light began";"and the light began";"and the light began"
8468;iot;hue_lighton;"switch on all the lights";"switch on all the lights";"switch on all the lights"
1861;iot;hue_lighton;"light up the lights in the [house_place : kitchen]";"light up the lights in the kitchen";"Light up the lights in the kitchen"
18074;iot;hue_lighton;"turn the lights on full bright";"turn the lights on full bright";"Turn the lights on full bright."
20446;iot;hue_lighton;"it's dark in here";"it's dark in here";"Cortana, it's dark in here"
42;iot;hue_lighton;"and the darkness has fallen";"and the darkness has fallen";"and the darkness has fallen"
12953;iot;hue_lighton;"can you put the lights on the high setting";"can you put the lights on the high setting";"Can you put the lights on the high setting?"
10190;iot;hue_lighton;"lights on";"lights on";"Lights on!"
9858;iot;hue_lighton;"switch on the lights";"switch on the lights";"Switch on the lights"
20448;iot;hue_lighton;"turn all lights on";"turn all lights on";"Cortana, turn all lights on"
8624;iot;hue_lighton;"It's too dark in here";"It's too dark in here";"It's too dark in here"
13217;iot;hue_lighton;"please turn on my [house_place : balcony] lights";"please turn on my balcony lights";"pls turn on my balcony lights"
20447;iot;hue_lighton;"turn [house_place : corner] light on";"turn corner light on";"Cortana, turn corner light on"
5976;iot;hue_lighton;"turn on all upstairs lights";"turn on all upstairs lights";"Turn on all upstairs lights."
1777;iot;hue_lighton;"it's awfully dark here";"it's awfully dark here";"Olly It's awfully dark here"
7817;iot;hue_lighton;"put the [device_type : disco lights] on";"put the disco lights on";"Put the disco lights on"
