answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
241;general;commandstop;"will you shut up.";"will you shut up.";"will you shut up."
177;general;commandstop;"please can you shut off.";"please can you shut off.";"please can you shut off."
87;general;commandstop;"olly i would like you just cancel it.";"olly i would like you just cancel it.";"olly i would like you just cancel it."
10;general;commandstop;"olly that's enough, stop.";"olly that's enough, stop.";"olly that's enough, stop."
149;general;commandstop;"i would talk to you later on.";"i would talk to you later on.";"i would talk to you later on."
123;general;commandstop;"i like you just cancel.";"i like you just cancel.";"i like you just cancel."
100;general;commandstop;"olly will you shut off.";"olly will you shut off.";"olly will you shut off."
165;general;commandstop;"please can you cancel it.";"please can you cancel it.";"please can you cancel it."
235;general;commandstop;"olly that is enough, stop it.";"olly that is enough, stop it.";"olly that is enough, stop it."
69;general;commandstop;"would you please shut up.";"would you please shut up.";"would you please shut up."
110;general;commandstop;"olly can you please shut down.";"olly can you please shut down.";"olly can you please shut down."
131;general;commandstop;"olly that is enough.";"olly that is enough.";"olly that is enough."
35;general;commandstop;"olly i'd like you just cancel it.";"olly i'd like you just cancel it.";"olly i'd like you just cancel it."
74;general;commandstop;"would you just cancel it please.";"would you just cancel it please.";"would you just cancel it please."
166;general;commandstop;"would you please shut down.";"would you please shut down.";"would you please shut down."
276;general;commandstop;"that is all, stop it.";"that is all, stop it.";"that is all, stop it."
111;general;commandstop;"olly would you please shut off.";"olly would you please shut off.";"olly would you please shut off."
212;general;commandstop;"i would like you just cancel.";"i would like you just cancel.";"i would like you just cancel."
21;general;commandstop;"olly i will talk to you later.";"olly i will talk to you later.";"olly i will talk to you later."
