answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
3218;iot;wemo_on;"turn on the [device_type : wemo plug socket] to connect my charger to it";"turn on the wemo plug socket to connect my charger to it";"Turn on the Wemo plug socket to connect my charger to it"
1320;iot;wemo_on;"turn on the [device_type : plug]";"turn on the plug";"Turn on the plug."
20231;iot;wemo_on;"on all the button on dashboard";"on all the button on dashboard";"On all the button on dashboard"
23754;iot;wemo_on;"toggle [device_type : wemo plug socket] on";"toggle wemo plug socket on";"Toggle wemo plug socket on"
13934;iot;wemo_on;"[device_type : wemo] on";"wemo on";"wemo on"
18011;iot;wemo_on;"start new [device_type : smart socket]";"start new smart socket";"start new smart socket"
20328;iot;wemo_on;"make the [device_type : wemo] go on";"make the wemo go on";"Make the wemo go on"
7952;iot;wemo_on;"turn on [device_type : wemo plug] in [house_place : game room]";"turn on wemo plug in game room";"Turn on WeMo [name] in game room"
14881;iot;wemo_on;"i'd like you to turn turn on the tv";"i'd like you to turn turn on the tv";"I'd like you to turn turn on the TV."
20326;iot;wemo_on;"turn [device_type : wemo] on";"turn wemo on";"Turn wemo on"
2248;iot;wemo_on;"turn on the [device_type : plug socket one]";"turn on the plug socket one";"turn on the plug socket 1."
5987;iot;wemo_on;"switch on the [device_type : wemo plug]";"switch on the wemo plug";"switch on the wemo plug"
11751;iot;wemo_on;"turn on plug";"turn on plug";"turn on plug"
2154;iot;wemo_on;"switch the [device_type : smart plug] socket";"switch the smart plug socket";"Switch the smart plug socket."
1321;iot;wemo_on;"switch on the [device_type : plug]";"switch on the plug";"Switch on the plug."
14577;iot;wemo_on;"[device_type : wemo plug socket] turn on";"wemo plug socket turn on";"wemo plug socket turn on"
11750;iot;wemo_on;"turn on socket";"turn on socket";"turn on socket"
12842;iot;wemo_on;"please turn on my [device_type : wemo plug socket]";"please turn on my wemo plug socket";"Please turn on my wemo plug socket."
5013;iot;wemo_on;"start the [device_type : smart plug]";"start the smart plug";"start the smart plug"
17913;iot;wemo_on;"turn on [house_place : living room] radio";"turn on living room radio";"Turn on living room radio"
3219;iot;wemo_on;"turn on the [device_type : wemo plug socket] to plug in my dongle";"turn on the wemo plug socket to plug in my dongle";"Turn on the wemo plug socket to plug in my Dongle"
17911;iot;wemo_on;"turn on [house_place : kitchen] light";"turn on kitchen light";"Turn on kitchen light"
19865;iot;wemo_on;"please switch on my [device_type : wemo plug socket]";"please switch on my wemo plug socket";"Please switch on my wemo plug socket."
24022;iot;wemo_on;"turn on the [device_type : wemo]";"turn on the wemo";"turn on the wemo"
14638;iot;wemo_on;"start the laundry";"start the laundry";"olly start the laundry"
24024;iot;wemo_on;"turn on the [device_type : smart plug]";"turn on the smart plug";"turn on the smart plug"
1977;iot;wemo_on;"turn on the [device_type : smart charger]";"turn on the smart charger";"turn on the smart charger"
13045;iot;wemo_on;"please turn on my door lock";"please turn on my door lock";"pls turn on my door lock"
5353;iot;wemo_on;"turn on the socket";"turn on the socket";"Turn on the socket."
12566;iot;wemo_on;"could you please turn on the [device_type : plug]";"could you please turn on the plug";"Could you please turn on the plug?"
5354;iot;wemo_on;"make the socket available for me";"make the socket available for me";"Make the socket available for me"
15494;iot;wemo_on;"turn my [device_type : smart plug socket] on";"turn my smart plug socket on";"Turn my smart plug socket on."
6215;iot;wemo_on;"turn on [device_type : wemo]";"turn on wemo";"Turn on Wemo."
23752;iot;wemo_on;"turn [device_type : wemo plug socket] on";"turn wemo plug socket on";"Turn wemo plug socket on"
8838;iot;wemo_on;"[device_type : wemo socket] on";"wemo socket on";"Wemo socket on"
8458;iot;wemo_on;"turn my [house_place : bathroom] [device_type : plug] socket on";"turn my bathroom plug socket on";"Turn my bathroom plug socket on."
19263;iot;wemo_on;"activate the [device_type : wemo plug socket]";"activate the wemo plug socket";"Activate the wemo plug socket"
22142;iot;wemo_on;"please turn on [device_type : wemo socket]";"please turn on wemo socket";"Please turn on wemo socket"
18951;iot;wemo_on;"can you turn on the [device_type : wemo plug socket]";"can you turn on the wemo plug socket";"Can you turn on the demo plug socket?"
3971;iot;wemo_on;"please turn on my [device_type : smart plug socket]";"please turn on my smart plug socket";"Please turn on my smart plug socket."
7239;iot;wemo_on;"if switch is on then turn on else turn off";"if switch is on then turn on else turn off";"if switch is on then turn on else turn off"
5986;iot;wemo_on;"turn on the [device_type : wemo plug]";"turn on the wemo plug";"turn on the wemo plug"
15977;iot;wemo_on;"turn my [device_type : plug] on";"turn my plug on";"turn my plug on"
16148;iot;wemo_on;"i need to turn on the plug in my [house_place : office] for my [device_type : computer]";"i need to turn on the plug in my office for my computer";"I need to turn on the plug in my office for my computer."
14639;iot;wemo_on;"start the oven";"start the oven";"olly start the oven"
20230;iot;wemo_on;"on [device_type : mobile charger plug]";"on mobile charger plug";"On/off mobile charger plug"
18010;iot;wemo_on;"enable [device_type : smart socket]";"enable smart socket";"Enable smart socket"
7238;iot;wemo_on;"turn on when plugged in else turn off";"turn on when plugged in else turn off";"turn on when plugged in else turn off"
13935;iot;wemo_on;"times clapping sound times";"times clapping sound times";"*clapping sound*"
2153;iot;wemo_on;"turn the [device_type : smart plug] on";"turn the smart plug on";"Turn the smart plug on"
