answerid;scenario;intent;answer_annotation;answer_from_anno;answer_from_user
6049;general;quirky;"i had a relaxing day [date : today]";"i had a relaxing day today";"I had a relaxing day today"
22960;general;quirky;"i want a not only to direct me to an internet site but actually answer any given question";"i want a not only to direct me to an internet site but actually answer any given question";"I want a PDA not only to direct me to an internet site, but actually answer any given question"
22994;general;quirky;"can you feel";"can you feel";"can you feel?"
null;general;quirky;"have a anyinput day";"have a anyinput day";"xxx"
22490;general;quirky;"tell me about economy and gdp about [place_name : india] versus [place_name : china]";"tell me about economy and gdp about india versus china";"Tell me about economy and gdp about india vs china"
4465;general;quirky;"what is the best chocolate chip cookie recipe";"what is the best chocolate chip cookie recipe";"What is the best chocolate chip cookie recipe"
18265;general;quirky;"is it true the hanging tree really had someone hung from it";"is it true the hanging tree really had someone hung from it";"Is it true the hanging tree really had someone hung from it?"
null;general;quirky;"i am happy";"i am happy";"xxx"
13182;general;quirky;"nightime";"nightime";"Nightime"
null;general;quirky;"nice to meet you";"nice to meet you";"xxx"
2281;general;quirky;"what is the best method to decide what the best thing to do isre";"what is the best method to decide what the best thing to do isre";"what is the best method to decide what the best thing to do is....re:"
26676;general;quirky;"how can i make your day a little better";"how can i make your day a little better";"How can I make your day a little better?"
17210;general;quirky;"can you explain string theory to me";"can you explain string theory to me";"can you explain string theory to me"
10626;general;quirky;"what do you think i should have for [meal_type : breakfast]";"what do you think i should have for breakfast";"What do you think I should have for breakfast?"
613;general;quirky;"i really enjoyed sunny day [date : today]";"i really enjoyed sunny day today";"I really enjoyed sunny day today"
16842;general;quirky;"when i want it to take down notes";"when i want it to take down notes";"When I want it to take down notes"
21674;general;quirky;"what [person : rihanna] is doing";"what rihanna is doing";"what rihana is doing"
17370;general;quirky;"famous person biographies";"famous person biographies";"famous person biographies"
9803;general;quirky;"i hate how [time : long] the traffic jams get";"i hate how long the traffic jams get";"I hate how long the traffic jams get"
